source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
P0DP23	Q13507	CALM1	TRPC3	True	False	True	True	False	True
P46531	Q9Y219	NOTCH1	JAG2	True	False	True	False	False	False
Q9Y219	P46531	JAG2	NOTCH1	True	True	True	True	True	False
O00548	P46531	DLL1	NOTCH1	True	True	False	True	True	False
P05019	P08069	IGF1	IGF1R	True	True	False	True	True	False
P46531	P78504	NOTCH1	JAG1	True	True	False	False	False	False
P78504	P46531	JAG1	NOTCH1	True	True	True	True	True	False
P01135	P04626	TGFA	ERBB2	True	True	False	True	True	False
Q96HF1	P56705	SFRP2	WNT4	True	False	True	True	False	True
Q8N474	P56705	SFRP1	WNT4	True	True	True	True	False	True
Q96HF1	P04628	SFRP2	WNT1	True	False	True	True	False	True
Q8N474	P09544	SFRP1	WNT2	True	False	True	True	False	True
Q8N474	P04628	SFRP1	WNT1	True	True	True	True	True	False
P41221	Q14332	WNT5A	FZD2	True	True	True	True	True	False
Q9GZX6	Q08334	IL22	IL10RB	True	True	False	True	True	False
P01588	P19235	EPO	EPOR	True	True	False	True	True	False
P16619	P51681	CCL3L3	CCR5	True	True	False	True	True	False
Q9H2A7	O00574	CXCL16	CXCR6	True	True	False	True	True	False
P50591	O14798	TNFSF10	TNFRSF10C	True	True	True	True	True	False
P22301	Q13651	IL10	IL10RA	True	True	False	True	True	False
P01579	P15260	IFNG	IFNGR1	True	True	False	True	True	False
P01344	P11717	IGF2	IGF2R	True	True	False	True	True	False
P49771	P36888	FLT3LG	FLT3	True	True	False	True	True	False
P21583	P10721	KITLG	KIT	True	True	False	True	True	False
P01344	P08069	IGF2	IGF1R	True	True	False	True	True	False
Q07325	P49682	CXCL9	CXCR3	True	True	False	True	True	False
P13501	P51681	CCL5	CCR5	True	True	False	True	True	False
P80075	P51681	CCL8	CCR5	True	True	False	True	True	False
P13236	P51681	CCL4	CCR5	True	True	False	True	True	False
P05231	P40189	IL6	IL6ST	True	True	False	True	True	False
P00533	P01133	EGFR	EGF	True	True	False	False	False	False
P01133	P00533	EGF	EGFR	True	True	False	True	True	False
