"infercnv_subcluster","cnv_subclone","n_cells"
"observation.observation_s1","Subclone_01",473
"observation.observation_s10","Subclone_01",24
"observation.observation_s11","Subclone_01",96
"observation.observation_s12","Subclone_01",266
"observation.observation_s13","Subclone_01",172
"observation.observation_s14","Subclone_01",288
"observation.observation_s15","Subclone_01",212
"observation.observation_s16","Subclone_01",216
"observation.observation_s17","Subclone_01",196
"observation.observation_s18","Subclone_01",162
"observation.observation_s19","Subclone_01",120
"observation.observation_s2","Subclone_01",285
"observation.observation_s20","Subclone_01",327
"observation.observation_s21","Subclone_01",325
"observation.observation_s22","Subclone_01",47
"observation.observation_s23","Subclone_01",371
"observation.observation_s24","Subclone_01",148
"observation.observation_s25","Subclone_01",155
"observation.observation_s26","Subclone_01",72
"observation.observation_s27","Subclone_01",3
"observation.observation_s28","Subclone_01",63
"observation.observation_s29","Subclone_01",85
"observation.observation_s3","Subclone_01",199
"observation.observation_s30","Subclone_01",40
"observation.observation_s31","Subclone_01",54
"observation.observation_s32","Subclone_01",142
"observation.observation_s33","Subclone_01",5
"observation.observation_s34","Subclone_01",49
"observation.observation_s35","Subclone_01",2
"observation.observation_s36","Subclone_01",64
"observation.observation_s37","Subclone_01",49
"observation.observation_s38","Subclone_01",37
"observation.observation_s39","Subclone_01",135
"observation.observation_s4","Subclone_01",6
"observation.observation_s40","Subclone_01",39
"observation.observation_s41","Subclone_01",1
"observation.observation_s43","Subclone_01",7
"observation.observation_s44","Subclone_01",3
"observation.observation_s45","Subclone_01",4
"observation.observation_s46","Subclone_01",7
"observation.observation_s47","Subclone_01",3
"observation.observation_s48","Subclone_01",1
"observation.observation_s49","Subclone_01",3
"observation.observation_s5","Subclone_01",339
"observation.observation_s50","Subclone_01",2
"observation.observation_s6","Subclone_01",310
"observation.observation_s7","Subclone_01",116
"observation.observation_s8","Subclone_01",367
"observation.observation_s9","Subclone_01",411
"observation.observation_s42","Subclone_02",4
"observation.observation_s51","Subclone_03",1
"observation.observation_s52","Subclone_04",1
