"","Smooth_muscle_cells","CNV_Subclone_01","T_NK_¦Ã¦ÄT","Macrophages","T_NK_CD4+ T effector","T_NK_CD8+ T cytotoxic","Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1","T_NK_Th17","T_NK_CD8+ T effector","Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4","T_NK_CD4+ T naive","T cells","B_Bn_TCL1A","CNV_Subclone_02","T_NK_CD56dim cytotoxic NK","Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","T_NK_CD8+ T resident memory","CNV_Subclone_04","Myeloid_Macro-M2-like","Myeloid_Macro-MCEMP1","Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like","Myeloid_Macro-C3/CX3CR1","T_NK_MAIT","B cells","B_Classical-Bm_TXNIP","T_NK_CD56bright regulatory","Myeloid_cDC2","T_NK_CD4+ T regulatory","Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","B_PC_IGHG","Monocytes","Myeloid_cDC1","T_NK_CD8+ T CXCL13","DC","B_Bm_stress-response","CNV_Subclone_05","Myeloid_mDC_LAMP3","NK cells","B_Early-PC_MS4A1low"
"A2M",0.316128639918713,0.404592949066598,0.00515458646596422,0.736481398316,0.00408358359206851,0.00520114406782968,0.944579792067091,0.336508873989093,0.000657725653898838,0.0167602490286987,1.4382370982491,1.21188255417991,0.00422159418764735,0.0397861108110304,0.00159624723233322,0.641574551893433,0.0035322850185686,1.36011875129305,0.150036439305483,0.00681186310373399,0.604631220040623,1.31432523324029,0.145132784844093,1.17168118771485,0.00328016642707085,1.90156639356631,0.0086172903875445,0.650007504158969,0,0.00637870774001226,0.473299663879753,0.00389853438414867,1.70655049545144,0.630481805056722,0.0299528843494083,0.0367866688575227,0.114942123817777,0.00846419103287808,0.326451555807114,0,0.520279688123212,0.166205657190824,0.0173185419767675,0.00878515842886277
"AANAT",0.000413141265028075,0,0.000453754247790232,0,0,0,0,0,0.000809584780884927,0.00148187934511652,0,0,0,0,0,0,0.00128976221829366,0,0,0,0.000252864955725529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",0.230645531083176,0.0389888248052814,0.0024312835267064,0.363193496647521,0.00625354759827618,0.00215231186342338,0.989857311774295,0.444901948176265,0.00446266759908321,0.00315771528613522,0.668175906353003,0.869280404147101,0.00730464934787901,0.0268147305221678,0.0675097050216947,0.0982737693482406,0.00164546050072063,0.591664439115608,0.0219149848514463,0,0.0889439783975856,0.561694373687628,0.309065168838516,0.590351497403849,0.122239993346753,0.455787515894484,0.028576806064882,0.312581980360358,0.0232593339046125,0.0192930405233565,0.096243921092456,0.0083726058670684,0.896844145951866,0.0569915325975681,0.0129979217501461,0.12779825631157,0.0354209797431016,0,0.0661959339245226,0,0.0830557359158218,0.0456394558015112,0.0718927324378807,0.00794689884240304
"ACE",0.0187642481558778,0.0530167805487946,0.00684636919725468,0.0239792276691831,0.0252547806905603,0.0161334510585177,0.0782839565931334,0.0422629430082824,0.0419920706810284,0.00452194060033607,0.0320248541675964,0.0645158073049953,0.00685640187167288,0.00803566840847112,0,0.0109778686254598,0.00224704498476244,0.0109398790053516,0.00676537075787467,0.00545097531494309,0.0263945951656768,0.0258146804367907,0.0227953607883385,0.0281464663653125,0,0.00544418246487464,0.00504302688970769,0.0221121372827667,0.0202223627675281,0.00192450346584735,0.00439163514939389,0,0.0806749047633781,0.00414515622476877,0.00671275278448633,0.0139699954744731,0.0420557360557083,0,0.00604093176243068,0,0,0,0,0
"ACKR1",0.01852887851853,0.0322130922042071,0,0.0022260156312366,0,0,0.000263070286576335,0,0,0,0,0,0,0,0,0.0122461026692937,0,0,0.00935888899805267,0,0.0121458341043958,0,0,0.00128444231337429,0,0,0,0.0184143810411228,0,0,0,0,0.00234315264718143,0,0.00441051638469345,0,0,0,0,0,0,0.00635322778833466,0,0
"ACKR2",0.00183365660395742,9.904698605799e-05,0,0.000727454470398418,0,0,0,0.00121895861273272,0,0.0014437859441261,0,0,0,0,0,0.00232280924843989,0,0.00304505767105374,0.00138218629037599,0,0.00231296686020335,0,0,0.0037909757839034,0,0.0116980668379774,0,0.00346623158052475,0,0.00845944707744481,0.00330274062543044,0.00542538942819257,0,0.00353129080867451,0,0,0,0,0,0,0,0,0.019935525340177,0
"ACKR3",0.139813077881528,0.0712029831355493,0.000639694219697788,0.0400186005106321,0.00127382148797938,0.00410496837247139,0.0274258131723507,0.0170203849338915,0.00243526432494929,0.00298794370946567,0.0147547610650417,0.0905916165735918,0,0.00287256380144841,0.00369943051822464,0.0210143327265159,0.00178261956630128,0.148210947832841,0.00526252347703919,0.0034145550834485,0.00475725200034108,0.00195102056758235,0.0908535318448773,0.0280531049943735,0.000708192097675358,0.0495955960052932,0,0.0831069339488343,0.00478181174556273,0,0.0223823003859822,0,0.0474078053174826,0.00822854948044504,0.00466850331718128,0.0148296467347637,0,0,0.014908850992336,0.0198656927076639,0.00320006753233606,0.0584696149817512,0,0
"ACKR4",0.00736881323907936,0.00115143416151984,0,0.00244233755506564,0.00247233322499199,0.00240971543405996,0.00119323136188533,0,0,0,0,0.00074810279092403,0,0.00125322861238791,0.00136454375670595,0.00525685500112327,0,0,0.000464914793460004,0.00142244022610991,0.00197118571935796,0,0,0.000906320979379092,0,0.00186862609131439,0,0.00706868489698921,0,0,0,0,0.000905099616251035,0.00298914126495627,0,0.00291792041999169,0,0,0,0,0,0.00641335696311035,0,0
"ACTR2",0.382125216283361,0.322500690541627,0.645416911392478,0.705067795494022,0.54918032031113,0.575289420707741,1.08954495304032,1.19377021688795,0.552188122928448,0.45066415126102,0.825439955354273,1.00537745884928,0.451905785812865,0.479875652536632,0.550221347600088,0.407756459887116,0.67607412017102,0.822419410389855,0.300829866492623,0.600616370015887,0.451613717259369,0.640574010711533,1.05951815172198,1.07967250883825,0.945802347391029,0.928134855638736,0.588867552876718,0.75722955591438,0.657092945370947,0.541892890766332,0.981677353586414,0.640002878529965,0.952180749581672,1.06115468495275,0.102227488153755,1.10420441571523,0.818535956503503,0.669658264667552,0.904970528596603,0.395869813661838,0.349289395668201,0.793923798324394,0.324862927205159,0.461687374508593
"ACVR1",0.0911552993241876,0.0314537981911383,0.0104913573782015,0.0249522931748142,0.0286840376202716,0.00848585370804669,0.0298305620522461,0.0148104464724061,0.0398907759026563,0.00398531069551884,0.0248060645502497,0.0384895431996666,0.0239607182974579,0.0215450622488553,0,0.0647625301081525,0.0080438282322386,0.0344988337326232,0.0213071596727605,0.0117856920490665,0.065561309583373,0.0204921438857121,0.0263245992609618,0.0333758820770726,0.0258681142931655,0.0236119800984257,0.00338590038351673,0.0517234480583962,0.00170398019400938,0.00244390022460951,0.00807618268562653,0.0213270322774191,0.0407545098091266,0.00162620183003137,0.00812586213191044,0.03565784834025,0.00216598960038758,0.00783826335113212,0.0158627364957488,0,0.0748553081027933,0,0.0238596206887131,0.0214281353277031
