"","Smooth_muscle_cells","CNV_Subclone_01","T_NK_¦Ã¦ÄT","Macrophages","T_NK_CD4+ T effector","T_NK_CD8+ T cytotoxic","Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1","T_NK_Th17","T_NK_CD8+ T effector","Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4","T_NK_CD4+ T naive","T cells","B_Bn_TCL1A","CNV_Subclone_02","T_NK_CD56dim cytotoxic NK","Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","T_NK_CD8+ T resident memory","CNV_Subclone_04","Myeloid_Macro-M2-like","Myeloid_Macro-MCEMP1","Myeloid_Proliferating Myeloid","Myeloid_Monocyte-like","Myeloid_Macro-C3/CX3CR1","T_NK_MAIT","B cells","B_Classical-Bm_TXNIP","T_NK_CD56bright regulatory","Myeloid_cDC2","T_NK_CD4+ T regulatory","Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","B_PC_IGHG","Monocytes","Myeloid_cDC1","T_NK_CD8+ T CXCL13","DC","B_Bm_stress-response","CNV_Subclone_05","Myeloid_mDC_LAMP3","NK cells","B_Early-PC_MS4A1low"
"A2M",0.215444429548197,0.182640144665461,0.00347826086956522,0.455239711497667,0.00316312697695436,0.00341630063445583,0.641065028161802,0.270136307311029,0.000687285223367698,0.00648414985590778,0.728201099764336,0.727874276261373,0.00333889816360601,0.0345991561181435,0.00084530853761623,0.548085901027078,0.00192492781520693,0.722113502935421,0.144955925563173,0.00490196078431373,0.554445554445554,0.548755186721992,0.122941822173436,0.770179372197309,0.00235017626321974,0.879332477535302,0.00602409638554217,0.48103186646434,0,0.00332225913621262,0.386404293381038,0.00219298245614035,0.913669064748201,0.547683923705722,0.0391459074733096,0.036231884057971,0.145228215767635,0.00465116279069767,0.28436018957346,0,0.270833333333333,0.166666666666667,0.0131578947368421,0.0149253731343284
"AANAT",0.000670331143584931,0,0.000347826086956522,0,0,0,0,0,0.000687285223367698,0.000720461095100865,0,0,0,0,0,0,0.000962463907603465,0,0,0,0.000999000999000999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",0.214640032175895,0.0403857745629898,0.00173913043478261,0.30674586338566,0.00497062810664257,0.00146412884333821,0.704557091653866,0.378562577447336,0.00412371134020619,0.00144092219020173,0.420267085624509,0.608767576509512,0.00584307178631052,0.0185654008438819,0.0388841927303466,0.138188608776844,0.000962463907603465,0.382583170254403,0.0323212536728697,0,0.135864135864136,0.295643153526971,0.252469813391877,0.521300448430493,0.0916568742655699,0.317073170731707,0.019578313253012,0.312594840667678,0.018957345971564,0.0116279069767442,0.107334525939177,0.0043859649122807,0.705035971223022,0.0871934604904632,0.0213523131672598,0.130434782608696,0.045643153526971,0,0.0710900473933649,0,0.0729166666666667,0.0520833333333333,0.0394736842105263,0.0149253731343284
"ACE",0.0235956562541896,0.0421940928270042,0.00556521739130435,0.0322443784471786,0.0189787618617262,0.0112249877989263,0.0947260624679979,0.0495662949194548,0.0357388316151203,0.00216138328530259,0.0290652003142184,0.0719602977667494,0.00584307178631052,0.00759493670886076,0,0.0196078431372549,0.00192492781520693,0.00978473581213307,0.00783545543584721,0.00392156862745098,0.043956043956044,0.0176348547717842,0.0241492864983535,0.0448430493273543,0,0.00513478818998716,0.00451807228915663,0.0288315629742033,0.0173775671406003,0.00166112956810631,0.00715563506261181,0,0.105515587529976,0.00817438692098093,0.00711743772241993,0.0144927536231884,0.0746887966804979,0,0.00947867298578199,0,0,0,0,0
"ACKR1",0.0276176431156992,0.0204942736588306,0,0.00254560882477726,0,0,0.000512032770097286,0,0,0,0,0,0,0,0,0.0186741363211951,0,0,0.0117531831537708,0,0.022977022977023,0,0,0.00224215246636771,0,0,0,0.0166919575113809,0,0,0,0,0.00239808153477218,0,0.00355871886120996,0,0,0,0,0,0,0.0104166666666667,0,0
"ACKR2",0.00429011931894356,0.000301386377335744,0,0.000848536274925753,0,0,0,0.00185873605947955,0,0.000720461095100865,0,0,0,0,0,0.00466853408029879,0,0.00293542074363992,0.0019588638589618,0,0.003996003996004,0,0,0.00560538116591928,0,0.00898587933247754,0,0.00303490136570561,0,0.00498338870431894,0.00536672629695885,0.00219298245614035,0,0.00544959128065395,0,0,0,0,0,0,0,0,0.0131578947368421,0
"ACKR3",0.121061804531439,0.054249547920434,0.000347826086956522,0.0390326686465846,0.000903750564844103,0.00244021473889702,0.0317460317460317,0.0173482032218092,0.00206185567010309,0.00144092219020173,0.011783189316575,0.0794044665012407,0,0.00168776371308017,0.00253592561284869,0.0280112044817927,0.000962463907603465,0.100782778864971,0.00685602350636631,0.00196078431372549,0.00999000999000999,0.00103734439834025,0.0812294182217344,0.0325112107623318,0.00117508813160987,0.0372272143774069,0,0.0925644916540212,0.00315955766192733,0,0.0214669051878354,0,0.0575539568345324,0.00817438692098093,0.00711743772241993,0.0181159420289855,0,0,0.00947867298578199,0.00909090909090909,0.0104166666666667,0.0729166666666667,0,0
"ACKR4",0.00750770880815123,0.00180831826401447,0,0.00339414509970301,0.00180750112968821,0.00195217179111762,0.00153609831029186,0,0,0,0,0.000827129859387924,0,0.000843881856540084,0.00084530853761623,0.00746965452847806,0,0,0.000979431929480901,0.000980392156862745,0.003996003996004,0,0,0.00112107623318386,0,0.00128369704749679,0,0.0106221547799697,0,0,0,0,0.00239808153477218,0.00272479564032698,0,0.0036231884057971,0,0,0,0,0,0.0104166666666667,0,0
"ACTR2",0.369352460115297,0.237191078963231,0.389565217391304,0.490878235044548,0.357885223678265,0.337725719863348,0.774193548387097,0.806691449814126,0.420618556701031,0.20028818443804,0.542026708562451,0.708850289495451,0.303005008347245,0.315611814345992,0.298393913778529,0.468720821661998,0.403272377285852,0.540117416829746,0.27130264446621,0.358823529411765,0.565434565434565,0.327800829875519,0.728869374313941,0.802690582959641,0.601645123384254,0.603337612323492,0.376506024096386,0.655538694992413,0.418641390205371,0.327242524916944,0.787119856887299,0.375,0.808153477218225,0.844686648501362,0.156583629893238,0.807971014492754,0.809128630705394,0.362790697674419,0.725118483412322,0.181818181818182,0.239583333333333,0.729166666666667,0.184210526315789,0.641791044776119
"ACVR1",0.110872771148948,0.0352622061482821,0.00695652173913044,0.03097157403479,0.0221418888386805,0.00585651537335286,0.0389144905273938,0.016728624535316,0.0350515463917526,0.00216138328530259,0.0227808326787117,0.0421836228287841,0.0175292153589316,0.0177215189873418,0,0.0943043884220355,0.00577478344562079,0.0313111545988258,0.0323212536728697,0.00784313725490196,0.116883116883117,0.012448132780083,0.0285400658616905,0.0448430493273543,0.0223266745005875,0.0205391527599487,0.00301204819277108,0.0758725341426404,0.00157977883096367,0.00166112956810631,0.0107334525939177,0.0131578947368421,0.0743405275779376,0.00272479564032698,0.0142348754448399,0.0434782608695652,0.004149377593361,0.00465116279069767,0.018957345971564,0,0.0729166666666667,0,0.0131578947368421,0.0447761194029851
