"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"CNV_Subclone_03","Myeloid_cDC1","MIF","CD74",19.7182019711853,3.0661623920733,6.63227775258739,0.969637610186092,1
"CNV_Subclone_03","Myeloid_cDC2-like","MIF","CD74",18.151111607347,3.0661623920733,6.10518209895897,0.969637610186092,1
"CNV_Subclone_03","Myeloid_cDC2","MIF","CD74",17.8166412008264,3.0661623920733,5.99268195116116,0.969637610186092,1
"Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC1","MIF","CD74",17.6595386039092,2.70153675035519,6.63227775258739,0.985611510791367,1
"CNV_Subclone_04","Myeloid_cDC1","MIF","CD74",17.517751609575,2.66794014087478,6.63227775258739,0.99000999000999,1
"CNV_Subclone_03","Myeloid_mDC_LAMP3","MIF","CD74",17.3855221402807,3.0661623920733,5.84767373194563,0.969637610186092,1
"B_Early-PC_MS4A1low","Myeloid_cDC1","MIF","CD74",17.3430871997541,2.6149518833086,6.63227775258739,1,1
"CNV_Subclone_02","Myeloid_cDC1","MIF","CD74",16.8629205768003,2.56651718010494,6.63227775258739,0.990662931839402,1
"CNV_Subclone_03","DC","MIF","CD74",16.6663139740135,3.0661623920733,5.60576585781069,0.969637610186092,1
"Myeloid_Proliferating Myeloid","Myeloid_cDC1","MIF","CD74",16.4472819884433,2.51942695338774,6.63227775258739,0.984304932735426,1
"CNV_Subclone_03","B_Bn_TCL1A","MIF","CD74",16.3694696820624,3.0661623920733,5.52929115422946,0.969637610186092,0.995773457311919
"CNV_Subclone_03","Myeloid_Macro-C3/CX3CR1","MIF","CD74",16.3344990562441,3.0661623920733,5.49415889180462,0.969637610186092,1
"Smooth_muscle_cells","Myeloid_cDC1","MIF","CD74",16.3326703043017,2.67023686459798,6.63227775258739,0.922241587344148,1
"CNV_Subclone_03","B_Classical-Bm_TXNIP","MIF","CD74",16.277002056078,3.0661623920733,5.47481959932758,0.969637610186092,1
"Myeloid_Interferon-Responsive Myeloid","Myeloid_cDC2-like","MIF","CD74",16.2560590768986,2.70153675035519,6.10518209895897,0.985611510791367,1
"CNV_Subclone_04","Myeloid_cDC2-like","MIF","CD74",16.1255405051551,2.66794014087478,6.10518209895897,0.99000999000999,1
