"ligand","receptor"
"CALM1","TRPC3"
"NOTCH1","JAG2"
"JAG2","NOTCH1"
"DLL1","NOTCH1"
"IGF1","IGF1R"
"NOTCH1","JAG1"
"JAG1","NOTCH1"
"TGFA","ERBB2"
"SFRP2","WNT4"
"SFRP1","WNT4"
"SFRP2","WNT1"
"SFRP1","WNT2"
"SFRP1","WNT1"
"WNT5A","FZD2"
"IL22","IL10RB"
"EPO","EPOR"
"CXCL16","CXCR6"
"TNFSF10","TNFRSF10C"
"IL10","IL10RA"
"IFNG","IFNGR1"
"IGF2","IGF2R"
"FLT3LG","FLT3"
"KITLG","KIT"
"IGF2","IGF1R"
"CXCL9","CXCR3"
"CCL5","CCR5"
"CCL8","CCR5"
"CCL4","CCR5"
"IL6","IL6ST"
"EGFR","EGF"
"EGF","EGFR"
"IL1A","IL1R1"
"DKK1","LRP6"
"DKK1","LRP5"
"WNT5A","FZD5"
"GNAI2","MTNR1A"
"MTNR1A","GNAI2"
"CD28","CD86"
"ANXA1","FPR2"
"CD86","CD28"
"CD28","CD80"
"CD80","CD28"
"FPR2","ANXA1"
"TNFSF14","LTBR"
"CD40LG","CD40"
"LTA","TNFRSF1A"
"LTB","LTBR"
"NRG1","ERBB2"
"NDP","FZD4"
"NGF","NTRK1"
"IL4","IL4R"
"SFRP1","FZD6"
"TGFA","EGFR"
"MFNG","NOTCH2"
"CXCL10","CXCR3"
"CSF3","CSF3R"
"CSF2","CSF2RA"
"HGF","MET"
"TNF","TNFRSF1B"
"TNFSF9","TNFRSF9"
"CD27","CD70"
"CD70","CD27"
"FASLG","FAS"
"TNFSF10","TNFRSF10D"
"TNFRSF10B","TNFSF10"
"TNFSF10","TNFRSF10B"
"TNFRSF10A","TNFSF10"
"TNFSF10","TNFRSF10A"
"TNF","TNFRSF1A"
"DHH","PTCH1"
"IHH","PTCH1"
"GNRH1","GNRHR"
"WNT5A","ROR2"
"LGALS9","HAVCR2"
"JAG1","NOTCH2"
"NOTCH2","JAG1"
"JAG1","NOTCH3"
"NOTCH3","JAG1"
"TGFB1","ACVRL1"
"WNT4","FZD6"
"NOTCH2","JAG2"
"JAG2","NOTCH2"
"NOTCH3","JAG2"
"JAG2","NOTCH3"
"WNT1","LRP6"
"WNT1","RYK"
"IL6","IL6R"
"TGFB3","TGFBR2"
"TGFB3","TGFBR3"
"TGFB2","TGFBR3"
"TGFB2","TGFBR2"
"TGFB2","TGFBR1"
"WNT3A","RYK"
"CXCL11","CXCR3"
"DKK1","KREMEN1"
"WNT3A","FZD1"
"WNT2","FZD1"
"WNT3","FZD1"
"WNT5A","FZD1"
"ARF4","EGFR"
"DKK1","KREMEN2"
"RYK","FZD8"
"CTLA4","CD80"
"CD80","CTLA4"
"PSEN1","NOTCH1"
"IL1RN","IL1R1"
"WNT7A","FZD5"
"PSEN1","NOTCH3"
"IL2","IL2RG"
"IL2","IL2RB"
"IL2","IL2RA"
"DHH","PTCH2"
"PSEN1","NOTCH2"
"CCN3","NOTCH1"
"PLXNA1","NOTCH1"
"ROR2","FZD5"
"WNT3A","LRP6"
"CNTN1","NOTCH2"
"CNTN1","NOTCH1"
"IL1RN","IL1R2"
"CD86","CTLA4"
"IL5","IL5RA"
"CTLA4","CD86"
"IHH","PTCH2"
"IL1B","IL1R2"
"NGF","NGFR"
"ROR2","FZD2"
"IL7","IL7R"
"PSEN1","NOTCH4"
"ICOSLG","ICOS"
"ICOS","ICOSLG"
"IL1A","IL1R2"
"WNT1","LRP5"
"TGFB1","TGFBR2"
"TGFB1","TGFBR3"
"TGFB1","TGFBR1"
"DLL1","NOTCH2"
"DLL1","NOTCH3"
"NOTCH4","DLL4"
"DLL4","NOTCH4"
"IL1B","IL1R1"
"IL13","IL13RA2"
"LIF","LIFR"
"IL13","IL13RA1"
"BMP2","BMPR2"
"GDF5","BMPR2"
"PRL","PRLR"
"GH1","PRLR"
"GH1","GHR"
"IFNG","IFNGR2"
"TSLP","CRLF2"
"IL12A","IL12RB1"
"IFNB1","IFNAR1"
"NRG1","ERBB4"
"IFNB1","IFNAR2"
"IL15","IL15RA"
"NRG3","ERBB4"
"FRZB","WNT1"
"EGFR","AREG"
"AREG","EGFR"
"HBEGF","EGFR"
"NRG4","ERBB4"
"DLL3","NOTCH1"
"WNT5A","FZD4"
"IL23A","IL12RB1"
"DLL4","NOTCH1"
"IL23A","IL23R"
"PSEN1","NCSTN"
"LRIG1","EGFR"
"OSM","OSMR"
"IL21","IL21R"
"AMH","AMHR2"
"INHBA","ACVR2B"
"BMP7","ACVR2B"
"BMP6","ACVR2B"
"BMP2","ACVR2B"
"BMP7","BMPR2"
"BMP6","BMPR2"
"GDF6","BMPR2"
"BMP4","BMPR2"
"IL20","IL22RA1"
"IL24","IL22RA1"
