"interaction_group","n_cells"
"Smooth_muscle_cells",7459
"CNV_Subclone_01",3318
"T_NK_¦Ã¦ÄT",2875
"Macrophages",2357
"T_NK_CD4+ T effector",2213
"T_NK_CD8+ T cytotoxic",2049
"Myeloid_Macro-LYVE1",1953
"Myeloid_Macro-THBS1",1614
"T_NK_Th17",1455
"T_NK_CD8+ T effector",1388
"Myeloid_Macro-Inflammatory_M1",1273
"Myeloid_Macro-TIMD4",1209
"T_NK_CD4+ T naive",1198
"T cells",1185
"B_Bn_TCL1A",1183
"CNV_Subclone_02",1071
"T_NK_CD56dim cytotoxic NK",1039
"Myeloid_Macro-Inflammatory_TNF",1022
"CNV_Subclone_03",1021
"T_NK_CD8+ T resident memory",1020
"CNV_Subclone_04",1001
"Myeloid_Macro-M2-like",964
"Myeloid_Macro-MCEMP1",911
"Myeloid_Proliferating Myeloid",892
"Myeloid_Monocyte-like",851
"Myeloid_Macro-C3/CX3CR1",779
"T_NK_MAIT",664
"B cells",659
"B_Classical-Bm_TXNIP",633
"T_NK_CD56bright regulatory",602
"Myeloid_cDC2",559
"T_NK_CD4+ T regulatory",456
"Myeloid_Interferon-Responsive Myeloid",417
"Myeloid_cDC2-like",367
"B_PC_IGHG",281
"Monocytes",276
"Myeloid_cDC1",241
"T_NK_CD8+ T CXCL13",215
"DC",211
"B_Bm_stress-response",110
"CNV_Subclone_05",96
"Myeloid_mDC_LAMP3",96
"NK cells",76
"B_Early-PC_MS4A1low",67
