"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"CNV_Subclone_03","Myeloid_cDC1","MIF","CD74",19.7182019711853,3.0661623920733,6.63227775258739,0.969637610186092,1,"MIF -> CD74"
"Myeloid_Macro-MCEMP1","CNV_Subclone_02","TIMP1","CD63",7.99658990875457,4.4748490356526,1.88767337081777,0.998902305159166,0.947712418300654,"TIMP1 -> CD63"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_03","C3","IFITM3",6.55128495652731,2.03441182429775,3.74799257843814,0.875481386392811,0.981390793339863,"C3 -> IFITM3"
"CNV_Subclone_03","Myeloid_Macro-MCEMP1","RPS19","C5AR1",6.08347375406738,4.18973211623006,1.70847106399205,0.999020568070519,0.850713501646542,"RPS19 -> C5AR1"
"CNV_Subclone_02","Myeloid_cDC1","APP","CD74",5.43940229273617,1.04072382890921,6.63227775258739,0.788048552754435,1,"APP -> CD74"
"CNV_Subclone_04","T_NK_CD8+ T CXCL13","B2M","CD3D",4.85972584303144,2.55172149757382,2.1692571308914,0.978021978021978,0.897674418604651,"B2M -> CD3D"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","C3","IFITM1",4.10690385714989,2.03441182429775,2.52808718809496,0.875481386392811,0.912087912087912,"C3 -> IFITM1"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","C3","CD81",3.96478264222421,2.03441182429775,2.32353417917087,0.875481386392811,0.958041958041958,"C3 -> CD81"
"CNV_Subclone_04","Myeloid_Macro-THBS1","B2M","LILRB2",3.62279067623614,2.55172149757382,1.64881073755055,0.978021978021978,0.880421313506815,"B2M -> LILRB2"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","APOE","LSR",3.57965137209777,4.09195737669252,1.10175433007947,0.957637997432606,0.829131652661064,"APOE -> LSR"
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_04","HLA-B","CANX",3.54110307350778,4.4204729781061,0.97669901226289,1,0.82017982017982,"HLA-B -> CANX"
"CNV_Subclone_02","Myeloid_Macro-THBS1","HSP90AA1","LRP1",3.37289977437382,3.20838845629235,1.2995564784584,0.994397759103641,0.813506815365551,"HSP90AA1 -> LRP1"
"CNV_Subclone_02","Myeloid_Monocyte-like","CCN1","ITGB2",3.14850885090202,1.70391715725019,2.4975596714249,0.788982259570495,0.937720329024677,"CCN1 -> ITGB2"
"CNV_Subclone_04","Myeloid_mDC_LAMP3","B2M","HLA-F",3.0978285420756,2.55172149757382,1.40193473900249,0.978021978021978,0.885416666666667,"B2M -> HLA-F"
"CNV_Subclone_02","Myeloid_Macro-THBS1","PKM","CD44",2.76941306082421,1.39152690498933,2.3522579235153,0.866479925303455,0.976456009913259,"PKM -> CD44"
"CNV_Subclone_04","T_NK_CD56bright regulatory","B2M","KLRD1",2.76757259595496,2.55172149757382,1.53470309577031,0.978021978021978,0.722591362126246,"B2M -> KLRD1"
"T_NK_CD56bright regulatory","CNV_Subclone_04","KLRD1","B2M",2.76757259595496,1.53470309577031,2.55172149757382,0.722591362126246,0.978021978021978,"KLRD1 -> B2M"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","C3","IFITM2",2.75944189374985,2.03441182429775,1.69662585575725,0.875481386392811,0.913165266106443,"C3 -> IFITM2"
"CNV_Subclone_04","T_NK_CD8+ T resident memory","HLA-C","CD8A",2.66562282049005,1.30588771814237,2.52087206021365,0.862137862137862,0.93921568627451,"HLA-C -> CD8A"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","B2M","CD247",2.60297492591112,2.55172149757382,1.55255939204512,0.978021978021978,0.671799807507218,"B2M -> CD247"
"CNV_Subclone_04","T_NK_CD8+ T resident memory","HLA-A","CD8A",2.60154358492341,1.3629361377392,2.52087206021365,0.806193806193806,0.93921568627451,"HLA-A -> CD8A"
"CNV_Subclone_04","T_NK_CD8+ T resident memory","HLA-B","CD8A",2.48445074098887,1.32960069814269,2.52087206021365,0.789210789210789,0.93921568627451,"HLA-B -> CD8A"
"CNV_Subclone_04","Monocytes","B2M","LILRB1",2.30689021101783,2.55172149757382,1.23847402129728,0.978021978021978,0.746376811594203,"B2M -> LILRB1"
"CNV_Subclone_02","Myeloid_Interferon-Responsive Myeloid","SLPI","CD4",2.26551150839195,2.67070505185119,1.05690529633826,0.964519140989729,0.832134292565947,"SLPI -> CD4"
"CNV_Subclone_02","T_NK_CD4+ T naive","CALM2","SELL",2.20587223723483,1.92094743433875,1.58522947955353,0.958916900093371,0.75542570951586,"CALM2 -> SELL"
"CNV_Subclone_04","T_NK_CD8+ T CXCL13","HLA-C","CD3D",2.1923628711519,1.30588771814237,2.1692571308914,0.862137862137862,0.897674418604651,"HLA-C -> CD3D"
"CNV_Subclone_04","Myeloid_Macro-THBS1","MDK","LRP1",2.1595875581584,2.22986825201648,1.2995564784584,0.916083916083916,0.813506815365551,"MDK -> LRP1"
"CNV_Subclone_04","T_NK_CD8+ T CXCL13","HLA-A","CD3D",2.13966038984501,1.3629361377392,2.1692571308914,0.806193806193806,0.897674418604651,"HLA-A -> CD3D"
