"sample_type","cnv_subclone","n_cells","total_in_sample","fraction_in_sample"
"ascites","Subclone_01",471,562,0.838078291814947
"blood","Subclone_01",52,52,1
"pleural_effusion","Subclone_01",123,124,0.991935483870968
"tumor","Subclone_01",2672,5769,0.463165193274398
"ascites","Subclone_02",8,562,0.0142348754448399
"blood","Subclone_02",0,52,0
"pleural_effusion","Subclone_02",1,124,0.00806451612903226
"tumor","Subclone_02",1062,5769,0.18408736349454
"ascites","Subclone_03",25,562,0.0444839857651246
"blood","Subclone_03",0,52,0
"pleural_effusion","Subclone_03",0,124,0
"tumor","Subclone_03",996,5769,0.172646905876235
"ascites","Subclone_04",57,562,0.101423487544484
"blood","Subclone_04",0,52,0
"pleural_effusion","Subclone_04",0,124,0
"tumor","Subclone_04",944,5769,0.163633211995146
"ascites","Subclone_05",1,562,0.00177935943060498
"blood","Subclone_05",0,52,0
"pleural_effusion","Subclone_05",0,124,0
"tumor","Subclone_05",95,5769,0.0164673253596811
