"infercnv_subcluster","kmeans_cluster","cnv_subclone","n_cells"
"observation.observation_s1",4,"Subclone_01",473
"observation.observation_s11",4,"Subclone_01",96
"observation.observation_s13",4,"Subclone_01",172
"observation.observation_s14",4,"Subclone_01",288
"observation.observation_s16",4,"Subclone_01",216
"observation.observation_s21",4,"Subclone_01",325
"observation.observation_s23",4,"Subclone_01",371
"observation.observation_s28",4,"Subclone_01",63
"observation.observation_s29",4,"Subclone_01",85
"observation.observation_s3",4,"Subclone_01",199
"observation.observation_s30",4,"Subclone_01",40
"observation.observation_s31",4,"Subclone_01",54
"observation.observation_s32",4,"Subclone_01",142
"observation.observation_s34",4,"Subclone_01",49
"observation.observation_s35",4,"Subclone_01",2
"observation.observation_s36",4,"Subclone_01",64
"observation.observation_s38",4,"Subclone_01",37
"observation.observation_s39",4,"Subclone_01",135
"observation.observation_s4",4,"Subclone_01",6
"observation.observation_s40",4,"Subclone_01",39
"observation.observation_s41",4,"Subclone_01",1
"observation.observation_s42",4,"Subclone_01",4
"observation.observation_s43",4,"Subclone_01",7
"observation.observation_s44",4,"Subclone_01",3
"observation.observation_s45",4,"Subclone_01",4
"observation.observation_s46",4,"Subclone_01",7
"observation.observation_s47",4,"Subclone_01",3
"observation.observation_s48",4,"Subclone_01",1
"observation.observation_s49",4,"Subclone_01",3
"observation.observation_s50",4,"Subclone_01",2
"observation.observation_s52",4,"Subclone_01",1
"observation.observation_s6",4,"Subclone_01",310
"observation.observation_s7",4,"Subclone_01",116
"observation.observation_s15",3,"Subclone_02",212
"observation.observation_s18",3,"Subclone_02",162
"observation.observation_s20",3,"Subclone_02",327
"observation.observation_s27",3,"Subclone_02",3
"observation.observation_s8",3,"Subclone_02",367
"observation.observation_s17",2,"Subclone_03",196
"observation.observation_s2",2,"Subclone_03",285
"observation.observation_s22",2,"Subclone_03",47
"observation.observation_s24",2,"Subclone_03",148
"observation.observation_s33",2,"Subclone_03",5
"observation.observation_s5",2,"Subclone_03",339
"observation.observation_s51",2,"Subclone_03",1
"observation.observation_s12",1,"Subclone_04",266
"observation.observation_s19",1,"Subclone_04",120
"observation.observation_s25",1,"Subclone_04",155
"observation.observation_s37",1,"Subclone_04",49
"observation.observation_s9",1,"Subclone_04",411
"observation.observation_s10",5,"Subclone_05",24
"observation.observation_s26",5,"Subclone_05",72
