"sample_id","qc_scope","min_features","max_features","min_counts","max_counts","max_percent_mt","n_before","n_after_basic_qc"
"FT-SA23505","sample_wise",504,1260,1243,4447,9.45245922844393,3063,2016
"FT-SA23506","sample_wise",454,1114,893,3857,8.87435661536166,3129,2490
"FT-SA23508","sample_wise",529,1405,910,4054,4.78365338463454,10764,7480
"FT-SA23509","sample_wise",471,1401,695,4073,4.35771596882246,11572,8299
"FT-SA23510","sample_wise",200,3621,500,12115,5.10728055420253,8343,5957
"FT-SA23513","sample_wise",200,1387,500,4131,4.02153225815559,2448,1929
"FT-SA23514","sample_wise",200,2316,500,6596,17.2071051104148,4498,2998
"FT-SA23515","sample_wise",220,1714,500,4914,10.7400529627939,7137,4632
"FT-SA24027","sample_wise",200,2141,500,6508.5,4.61731156724682,5336,4165
"FT01","sample_wise",200,2440,500,8940.5,11.5560267943673,2270,1570
"FT03","sample_wise",200,1243,500,2923,6.47327650253295,6278,4716
"FT5414","sample_wise",200,1659,500,4340.5,16.1058502869698,7294,4896
