"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE154600","0",4169,"TUBA4A;CCL4;GZMH;RGCC;CD8B;GZMM;CCL4L2;RPS26;DUSP4;GZMK;CD8A;DDX24;CXCR4;EML4;CD52;HIST1H4C;CD3D;CTSW;CCL5;CST7","","","",""
"GSE154600","1",3186,"PKIB;MS4A4A;C15orf48;SPP1;SDS;MS4A6A;IFI30;CCL20;MARCH1;G0S2;CXCL10;TREM2;NLRP3;CALHM6;SPI1;LILRB4;C1QC;FCGR1A;MNDA;IL18","","","",""
"GSE154600","10",843,"CLDN11;CALB2;MMP11;DES;STEAP1;EGFL6;PLAU;CTHRC1;MEG3;BICC1;PDGFRA;FAP;SNAI2;SLC12A8;GAS1;SULF1;CDH11;GLT8D2;BNC2;PDPN","","","",""
"GSE154600","11",684,"MT1H;S100A8;MT1G;DNAAF1;HAMP;SMIM25;S100A9;FCN1;MARCO;PDK4;AQP9;CLEC4E;CD300E;CD163;CCL20;EREG;APOC1;MRC1;C5AR1;PILRA","","","",""
"GSE154600","12",623,"CLEC14A;ACKR1;RAMP3;EMCN;TM4SF18;ADGRL4;PCDH17;ECSCR;CXorf36;CDH5;PLVAP;CALCRL;FABP4;CLDN5;RAMP2;ESM1;ROBO4;PCAT19;FAM167B;CD34","","","",""
"GSE154600","13",570,"RGS5;CCDC102B;FAM162B;ABCC9;HIGD1B;KCNJ8;PLAC9;TBX2;TFPI;GUCY1A1;GJC1;CYGB;AC100793.2;SEPT4;LHFPL6;MAP3K7CL;RASL12;PLXDC1;SOD3;PDGFRB","","","",""
"GSE154600","14",432,"KLRF1;TRDC;KRT81;KLRC1;KLRD1;KRT86;KLRB1;GNLY;MATK;PRF1;GZMB;AREG;NKG7;IL2RB;CTSW;CLIC3;CMC1;CD7;CD247;LDLRAD4","","","",""
"GSE154600","15",401,"S100A2;FAM104B;SMIM22;WFDC2;HIST1H1C;CRYAB;SLPI;HSD17B10;S100A1;TIMM17B;VBP1;S100A13;TSR2;BEX2;NDUFB11;SLIRP;CLDN7;C12orf75;NBDY;DBI","","","",""
"GSE154600","16",386,"IGHGP;IGLC3;IGHG1;IGLC7;IGKC;MZB1;IGHG3;IGHG2;IGHG4;IGLC2;IGHM;IGHA1;FKBP11;XBP1;SSR4;JCHAIN;PRDX4;SEC11C;S100A1;NME4","","","",""
"GSE154600","17",371,"IGHGP;IGHG2;IGHA1;IGHG1;IGLC2;IGKC;DERL3;IGHG3;IGLC3;MZB1;JCHAIN;IGHG4;SSR4;FKBP11;SEC11C;PRDX4;CD79A;FKBP2;XBP1;HSPG2","","","",""
"GSE154600","18",367,"LINC01781;TNFRSF13C;BLK;BANK1;VPREB3;CD19;MS4A1;STAG3;CD79A;ARHGAP24;P2RX5;BCL11A;IRF8;GNG7;ADAM28;LY9;IGHM;CD79B;CLECL1;SMIM14","","","",""
