"sample_id","seurat_cluster","n_cells"
"P01_Time1","0",0
"P01_Time2","0",0
"P02_Time1","0",0
"P02_Time2","0",0
"P02_Time3","0",0
"P03_Time1","0",0
"P03_Time2","0",0
"P03_Time3","0",0
"P04_Time1","0",0
"P04_Time2","0",0
"P04_Time3","0",0
"P05_Time1","0",3049
"P05_Time2","0",3534
"P05_Time3","0",3787
"P06_Time1","0",0
"P06_Time2","0",0
"P06_Time3","0",2
"P07_Time1","0",0
"P07_Time2","0",0
"P08_Time1","0",0
"P08_Time2","0",0
"P08_Time3","0",1
"P09_Time1","0",0
"P09_Time2","0",1
"P09_Time3","0",3
"P10_Pre-treatment","0",0
"P11_Pre-treatment","0",0
"P12_Pre-treatment","0",2
"P13_Pre-treatment","0",0
"P14_Pre-treatment","0",0
"P15_Pre-treatment","0",1
"P16_Pre-treatment","0",20
"P17_Pre-treatment","0",12
"P18_Post-treatment","0",0
"P19_Post-treatment","0",1
"P20_Post-treatment","0",1
"P21_Post-treatment","0",3
"P23_Post-treatment","0",1
"P24_Post-treatment","0",0
"P01_Time1","1",0
"P01_Time2","1",0
"P02_Time1","1",0
"P02_Time2","1",0
"P02_Time3","1",0
"P03_Time1","1",0
"P03_Time2","1",0
"P03_Time3","1",0
"P04_Time1","1",3022
"P04_Time2","1",3782
"P04_Time3","1",36
"P05_Time1","1",0
"P05_Time2","1",2
"P05_Time3","1",6
"P06_Time1","1",4
"P06_Time2","1",4
"P06_Time3","1",6
"P07_Time1","1",55
"P07_Time2","1",24
"P08_Time1","1",22
"P08_Time2","1",3
"P08_Time3","1",7
"P09_Time1","1",5
"P09_Time2","1",1
"P09_Time3","1",2
"P10_Pre-treatment","1",6
"P11_Pre-treatment","1",14
"P12_Pre-treatment","1",17
"P13_Pre-treatment","1",14
"P14_Pre-treatment","1",2
"P15_Pre-treatment","1",47
"P16_Pre-treatment","1",74
"P17_Pre-treatment","1",68
"P18_Post-treatment","1",10
"P19_Post-treatment","1",143
"P20_Post-treatment","1",46
"P21_Post-treatment","1",32
"P23_Post-treatment","1",6
"P24_Post-treatment","1",8
"P01_Time1","10",0
"P01_Time2","10",0
"P02_Time1","10",0
"P02_Time2","10",0
"P02_Time3","10",0
"P03_Time1","10",0
"P03_Time2","10",0
"P03_Time3","10",0
"P04_Time1","10",0
"P04_Time2","10",0
"P04_Time3","10",0
"P05_Time1","10",0
"P05_Time2","10",0
"P05_Time3","10",1
"P06_Time1","10",31
"P06_Time2","10",4
"P06_Time3","10",27
"P07_Time1","10",0
"P07_Time2","10",0
"P08_Time1","10",0
"P08_Time2","10",0
"P08_Time3","10",0
"P09_Time1","10",1157
"P09_Time2","10",1696
"P09_Time3","10",1358
"P10_Pre-treatment","10",0
"P11_Pre-treatment","10",0
"P12_Pre-treatment","10",2
"P13_Pre-treatment","10",0
"P14_Pre-treatment","10",0
"P15_Pre-treatment","10",5
"P16_Pre-treatment","10",1
"P17_Pre-treatment","10",1
"P18_Post-treatment","10",0
"P19_Post-treatment","10",1
"P20_Post-treatment","10",1
"P21_Post-treatment","10",2
"P23_Post-treatment","10",0
"P24_Post-treatment","10",0
"P01_Time1","11",0
"P01_Time2","11",0
"P02_Time1","11",0
"P02_Time2","11",0
"P02_Time3","11",0
"P03_Time1","11",0
"P03_Time2","11",0
"P03_Time3","11",0
"P04_Time1","11",2
"P04_Time2","11",4
"P04_Time3","11",0
"P05_Time1","11",1
"P05_Time2","11",0
"P05_Time3","11",1
"P06_Time1","11",0
"P06_Time2","11",0
"P06_Time3","11",1
"P07_Time1","11",3
"P07_Time2","11",0
"P08_Time1","11",0
"P08_Time2","11",1
"P08_Time3","11",1
"P09_Time1","11",1
"P09_Time2","11",1
"P09_Time3","11",1
"P10_Pre-treatment","11",4
"P11_Pre-treatment","11",3305
"P12_Pre-treatment","11",2
"P13_Pre-treatment","11",1
"P14_Pre-treatment","11",0
"P15_Pre-treatment","11",11
"P16_Pre-treatment","11",6
"P17_Pre-treatment","11",1
"P18_Post-treatment","11",0
"P19_Post-treatment","11",3
"P20_Post-treatment","11",3
"P21_Post-treatment","11",4
"P23_Post-treatment","11",1
"P24_Post-treatment","11",1
"P01_Time1","12",0
"P01_Time2","12",0
"P02_Time1","12",0
"P02_Time2","12",0
"P02_Time3","12",0
"P03_Time1","12",0
"P03_Time2","12",0
"P03_Time3","12",0
"P04_Time1","12",0
"P04_Time2","12",1
"P04_Time3","12",0
"P05_Time1","12",0
"P05_Time2","12",0
"P05_Time3","12",0
"P06_Time1","12",0
"P06_Time2","12",0
"P06_Time3","12",2
"P07_Time1","12",0
"P07_Time2","12",0
"P08_Time1","12",0
"P08_Time2","12",0
"P08_Time3","12",0
"P09_Time1","12",0
"P09_Time2","12",0
"P09_Time3","12",0
"P10_Pre-treatment","12",0
"P11_Pre-treatment","12",0
"P12_Pre-treatment","12",1
"P13_Pre-treatment","12",0
"P14_Pre-treatment","12",0
"P15_Pre-treatment","12",2
"P16_Pre-treatment","12",3
"P17_Pre-treatment","12",5
"P18_Post-treatment","12",0
"P19_Post-treatment","12",0
"P20_Post-treatment","12",0
"P21_Post-treatment","12",1
"P23_Post-treatment","12",2772
"P24_Post-treatment","12",2
"P01_Time1","13",0
"P01_Time2","13",0
"P02_Time1","13",0
"P02_Time2","13",0
"P02_Time3","13",0
"P03_Time1","13",0
"P03_Time2","13",0
"P03_Time3","13",0
"P04_Time1","13",288
"P04_Time2","13",58
"P04_Time3","13",2
"P05_Time1","13",0
"P05_Time2","13",9
"P05_Time3","13",8
"P06_Time1","13",4
"P06_Time2","13",90
"P06_Time3","13",68
"P07_Time1","13",62
"P07_Time2","13",142
"P08_Time1","13",482
"P08_Time2","13",65
"P08_Time3","13",25
"P09_Time1","13",1
"P09_Time2","13",7
"P09_Time3","13",2
"P10_Pre-treatment","13",133
"P11_Pre-treatment","13",26
"P12_Pre-treatment","13",8
"P13_Pre-treatment","13",155
"P14_Pre-treatment","13",52
"P15_Pre-treatment","13",25
"P16_Pre-treatment","13",320
"P17_Pre-treatment","13",367
"P18_Post-treatment","13",4
"P19_Post-treatment","13",13
"P20_Post-treatment","13",4
"P21_Post-treatment","13",11
"P23_Post-treatment","13",53
"P24_Post-treatment","13",158
"P01_Time1","14",0
"P01_Time2","14",0
"P02_Time1","14",0
"P02_Time2","14",0
"P02_Time3","14",0
"P03_Time1","14",0
"P03_Time2","14",0
"P03_Time3","14",0
"P04_Time1","14",2
"P04_Time2","14",0
"P04_Time3","14",0
"P05_Time1","14",8
"P05_Time2","14",9
"P05_Time3","14",15
"P06_Time1","14",1
"P06_Time2","14",0
"P06_Time3","14",0
"P07_Time1","14",3
"P07_Time2","14",1
"P08_Time1","14",9
"P08_Time2","14",0
"P08_Time3","14",0
"P09_Time1","14",1
"P09_Time2","14",3
"P09_Time3","14",0
"P10_Pre-treatment","14",3
"P11_Pre-treatment","14",1
"P12_Pre-treatment","14",12
"P13_Pre-treatment","14",6
"P14_Pre-treatment","14",10
"P15_Pre-treatment","14",1
"P16_Pre-treatment","14",869
"P17_Pre-treatment","14",1039
"P18_Post-treatment","14",0
"P19_Post-treatment","14",10
"P20_Post-treatment","14",568
"P21_Post-treatment","14",9
"P23_Post-treatment","14",2
"P24_Post-treatment","14",37
"P01_Time1","15",0
"P01_Time2","15",0
"P02_Time1","15",0
"P02_Time2","15",0
"P02_Time3","15",0
"P03_Time1","15",0
"P03_Time2","15",0
"P03_Time3","15",0
"P04_Time1","15",7
"P04_Time2","15",12
"P04_Time3","15",1562
"P05_Time1","15",1
"P05_Time2","15",0
"P05_Time3","15",0
"P06_Time1","15",0
"P06_Time2","15",7
"P06_Time3","15",1
"P07_Time1","15",612
"P07_Time2","15",221
"P08_Time1","15",1
"P08_Time2","15",2
"P08_Time3","15",0
"P09_Time1","15",12
"P09_Time2","15",1
"P09_Time3","15",1
"P10_Pre-treatment","15",0
"P11_Pre-treatment","15",3
"P12_Pre-treatment","15",1
"P13_Pre-treatment","15",3
"P14_Pre-treatment","15",0
"P15_Pre-treatment","15",18
"P16_Pre-treatment","15",15
"P17_Pre-treatment","15",8
"P18_Post-treatment","15",6
"P19_Post-treatment","15",1
"P20_Post-treatment","15",12
"P21_Post-treatment","15",2
"P23_Post-treatment","15",13
"P24_Post-treatment","15",9
"P01_Time1","16",0
"P01_Time2","16",0
"P02_Time1","16",0
"P02_Time2","16",0
"P02_Time3","16",0
"P03_Time1","16",0
"P03_Time2","16",0
"P03_Time3","16",0
"P04_Time1","16",0
"P04_Time2","16",0
"P04_Time3","16",0
"P05_Time1","16",0
"P05_Time2","16",0
"P05_Time3","16",0
"P06_Time1","16",0
"P06_Time2","16",0
"P06_Time3","16",0
"P07_Time1","16",0
"P07_Time2","16",0
"P08_Time1","16",1
"P08_Time2","16",0
"P08_Time3","16",0
"P09_Time1","16",0
"P09_Time2","16",0
"P09_Time3","16",0
"P10_Pre-treatment","16",0
