"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,11.0753638200256,0.883,0.001,0,"30","SPRR3"
0,10.154314369768,0.37,0,0,"30","NDUFC2-KCTD14"
0,9.48001064415543,0.611,0.001,0,"30","RPL36A-HNRNPH2"
0,9.16816758977495,0.975,0.004,0,"30","MUC21"
0,9.11418877244033,0.5,0.001,0,"30","POC1B-GALNT4"
0,8.92111713771577,0.623,0.001,0,"30","LUZP6"
0,8.63988937090386,0.981,0.005,0,"30","CEACAM5"
0,8.6220229618196,0.457,0.001,0,"30","OVCA2"
0,8.60588787131991,0.488,0.001,0,"30","CCL22"
0,8.58229046915909,0.636,0.001,0,"30","PIGY"
0,8.44109608356453,0.265,0.001,0,"30","EIF3CL"
0,8.35859999407545,0.426,0.001,0,"30","ST20-MTHFS"
0,8.29270744615326,1,0.033,0,"30","PSCA"
0,8.20007259111154,0.846,0.001,0,"30","SLX1B"
0,8.06260252050232,1,0.015,0,"30","FCRLB"
0,7.90101956522156,0.815,0.003,0,"30","FUT6"
0,7.87275259045017,0.488,0.001,0,"30","GREM2"
0,7.81206596395588,0.494,0.001,0,"30","BCL2L2-PABPN1"
0,7.78695642930259,0.519,0.001,0,"30","MRLN"
0,7.76133627259936,0.864,0.002,0,"30","HIST2H2AA3"
0,16.1095681900903,0.344,0,0,"29","AMY1C"
0,14.4960713522693,0.74,0.001,0,"29","AMY1A"
0,14.0802575962048,0.288,0,0,"29","AMY1B"
0,11.1987575046466,0.6,0,0,"29","FMO3"
0,10.4152546684457,0.935,0.003,0,"29","C4A"
0,9.63756484408723,0.94,0.002,0,"29","HIST2H2AA3"
0,9.50953931204698,0.498,0.001,0,"29","PIGY"
0,9.17071264349031,0.4,0.001,0,"29","LUZP6"
0,8.98158804912144,0.228,0.001,0,"29","OVCA2"
0,8.73499105492676,0.344,0.001,0,"29","ST20-MTHFS"
0,8.6385834240854,0.423,0.001,0,"29","BCL2L2-PABPN1"
0,8.61181913705065,0.312,0.001,0,"29","RPL36A-HNRNPH2"
0,7.93048548579738,0.237,0.001,0,"29","POC1B-GALNT4"
0,7.79849507362857,0.242,0.001,0,"29","SERF1B"
0,7.67051909136842,0.2,0.001,0,"29","RPL17-C18orf32"
0,7.46278804312774,0.558,0.004,0,"29","NPIPB3"
0,7.23963617501833,0.27,0.001,0,"29","NPIPA8"
