"dataset_id","seurat_cluster","n_cells","top_markers","cell_type_manual","cell_subtype_manual","confidence","notes"
"GSE158722","0",10418,"AOC1;LY6D;LYPD2;VSTM2L;UPK2;KRT16;KRT17;HLA-G;TNNT2;TMEM176A;MXRA8;KRT13;KRT4;CDC42EP5;DHRS9;CRISP3;SLITRK6;TMEM176B;MFGE8;CLIC3","","","",""
"GSE158722","1",7468,"SST;OXTR;IGFBP5;ERP27;H2AFJ;ANXA6;MT1H;KRT23;LARP6;MT1G;RAB40B;ETFRF1;MLF2;LDHB;PEG10;SLC25A10;RAMP1;DOK5;CLU;LRIF1","","","",""
"GSE158722","10",4287,"PDE4C;ZNF320;ABCF2;STARD3;CBS;ERBB2;CALB1;ZC3H11A;C11orf95;ST6GALNAC6;GRB7;HIST1H2BK;ATG9A;PTPRS;ASMTL;ERFE;ZBED6;PGAP3;FAM118A;ANKRD13B","","","",""
"GSE158722","11",3359,"NPY;B4GALNT3;MAP2;SLC6A12;WNK1;DPEP3;APOA1;CCDC77;DTNA;LAMA3;UCHL1;COL6A1;ALPL;ZNF692;ITFG2;SH3BP5L;HTR3A;KDM5A;TTC39C;OSBPL1A","","","",""
"GSE158722","12",2789,"CRLF1;SFRP1;FGF9;AGR2;L1CAM;CLDN9;ACSL4;PCSK1N;SCD;SSR4;FAM107A;CADM1;SIX1;ITM2C;CHPF;CXCL17;ZNF117;AQP5;ABHD2;LPCAT1","","","",""
"GSE158722","13",2642,"RBFOX1;GRIA2;PDGFRA;PAPPA;PIEZO2;THBS2;CDON;CDH11;ST3GAL5;PDLIM3;FLRT2;ALDH1A3;VCAM1;CEMIP;MTSS1;ABI3BP;DDR2;MAF;LAMA4;MCTP2","","","",""
"GSE158722","14",2619,"NCCRP1;MUC5B;CSDE1;ITGA2;CST6;NRAS;LRRTM1;POP4;FAM83A;GPRC5A;CAMK2N1;BCAS2;SIKE1;MALL;F3;TGM2;URI1;C19orf12;PLEKHF1;UQCRFS1","","","",""
"GSE158722","15",2531,"CD3D;FGFBP2;CD3G;CD8A;CXCR3;BCL11B;ITK;IL7R;ITM2A;GZMH;CD3E;CD6;GZMK;S1PR4;RHOH;CD2;RNF125;PDE3B;CXCR4;CD247","","","",""
"GSE158722","16",2347,"S100A7;ADGRG2;ZNF486;C10orf99;LY6G6C;S100A9;S100A8;ADIRF;SOX18;PIFO;CRABP1;FAM3B;IDO1;HEBP2;PPIL6;CXCL17;CCNO;DPEP3;HOXD8;BATF","","","",""
"GSE158722","17",2107,"CNR1;SLC13A2;FAIM2;ACHE;CYP4F3;CST1;SGCD;SATB2;CREB3L1;PLVAP;HOXD1;TMC5;CACNB1;DMBT1;TSPYL2;ACPP;INTS6;INSR;DAAM2;ITGA7","","","",""
"GSE158722","18",1889,"DEFB123;TBX10;ITGA10;MTRNR2L8;ECE2;MAGEA4;LBHD1;ALDOA;SCO2;MYOM1;IGF2;PRR4;BEX1;RPL23A;ALDOC;RAB34;RAD50;RNASEH2A;BOLA2-SMG1P6;SDF2","","","",""
