"package","installed","version"
"copykat",FALSE,NA
"CaSpER",TRUE,"0.2.0"
"liana",FALSE,NA
"nichenetr",TRUE,"2.2.1.1"
"Seurat",TRUE,"4.0.2"
"SeuratObject",TRUE,"4.0.4"
"transport",TRUE,"0.14-7"
"httr2",TRUE,"0.1.1"
"randomForest",TRUE,"4.6-14"
"DiagrammeR",TRUE,"1.0.9"
"ggnewscale",TRUE,"0.4.7"
"ggridges",TRUE,"0.5.3"
"leiden",TRUE,"0.3.9"
"miniUI",TRUE,"0.1.1.1"
"plotly",TRUE,"4.10.0"
"shiny",TRUE,"1.7.1"
"spatstat.core",TRUE,"2.4-2"
"signal",TRUE,"0.7-7"
"mclust",TRUE,"6.1.3"
"bslib",TRUE,"0.3.1"
"sass",TRUE,"0.4.1"
