"pkg","installed","version","load_status","load_message"
"Seurat",TRUE,"4.0.2","OK",""
"dplyr",TRUE,"1.1.4","OK",""
"tidyr",TRUE,"1.3.1","OK",""
"ggplot2",TRUE,"3.3.5","OK",""
"patchwork",TRUE,"1.1.1","OK",""
"pheatmap",TRUE,"1.0.13","OK",""
"remotes",TRUE,"2.4.0","OK",""
"SingleCellExperiment",TRUE,"1.12.0","OK",""
"scDblFinder",TRUE,"1.4.0","OK",""
"ComplexHeatmap",TRUE,"2.6.2","OK",""
"msigdbr",TRUE,"7.5.1","OK",""
"UCell",TRUE,"1.0.0","OK",""
"limma",TRUE,"3.46.0","OK",""
"edgeR",TRUE,"3.32.1","OK",""
"fgsea",TRUE,"1.16.0","OK",""
"clusterProfiler",TRUE,"3.18.1","OK",""
"org.Hs.eg.db",TRUE,"3.12.0","OK",""
"liana",TRUE,"0.1.11","OK",""
"OmnipathR",TRUE,"3.13.25","OK",""
"CellChat",TRUE,"1.6.1","OK",""
"nichenetr",TRUE,"2.2.1.1","OK",""
"scTenifoldKnk",TRUE,"1.0.1","OK",""
"copykat",TRUE,"1.2.5","OK",""
"CaSpER",TRUE,"0.2.0","OK",""
"xgboost",TRUE,"1.4.1.1","OK",""
