"pkg","installed","version"
"copykat",FALSE,NA
"CaSpER",FALSE,NA
"liana",FALSE,NA
"nichenetr",FALSE,NA
"Seurat",FALSE,NA
"SeuratObject",TRUE,"4.0.4"
"parallelDist",FALSE,NA
"dlm",FALSE,NA
"mixtools",FALSE,NA
"MCMCpack",FALSE,NA
"transport",FALSE,NA
"httr2",FALSE,NA
"later",TRUE,"1.4.8"
"logger",FALSE,NA
"fdrtool",FALSE,NA
"ROCR",TRUE,"1.0-12"
"randomForest",FALSE,NA
"DiagrammeR",FALSE,NA
"mlrMBO",FALSE,NA
"parallelMap",FALSE,NA
"emoa",FALSE,NA
"DiceKriging",FALSE,NA
"ggnewscale",FALSE,NA
"fitdistrplus",FALSE,NA
"ggridges",FALSE,NA
"ica",TRUE,"1.0-3"
"leiden",FALSE,NA
"miniUI",FALSE,NA
"plotly",FALSE,NA
"RANN",TRUE,"2.6.2"
"RcppAnnoy",TRUE,"0.0.23"
"scattermore",TRUE,"1.2"
"sctransform",FALSE,NA
"shiny",FALSE,NA
"spatstat.core",FALSE,NA
"spatstat.geom",FALSE,NA
"uwot",FALSE,NA
"RcppProgress",TRUE,"0.4.2"
"signal",FALSE,NA
"pheatmap",FALSE,NA
"reshape",FALSE,NA
"mclust",FALSE,NA
"intergraph",FALSE,NA
"ape",TRUE,"5.8-1"
"GOstats",FALSE,NA
