"cnv_subclone","state","event","n_regions"
"Subclone_01",1,"loss",3
"Subclone_01",2,"loss",281
"Subclone_01",4,"gain",557
"Subclone_01",5,"gain",119
"Subclone_01",6,"gain",17
"Subclone_02",1,"loss",2
"Subclone_02",2,"loss",57
"Subclone_02",4,"gain",96
"Subclone_02",5,"gain",37
"Subclone_02",6,"gain",3
"Subclone_03",2,"loss",81
"Subclone_03",4,"gain",148
"Subclone_03",5,"gain",49
"Subclone_03",6,"gain",5
"Subclone_04",2,"loss",67
"Subclone_04",4,"gain",97
"Subclone_04",5,"gain",32
"Subclone_05",2,"loss",23
"Subclone_05",4,"gain",35
"Subclone_05",5,"gain",15
