"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Macro-THBS1",325,176.58291556557,0.543332047894062,10.9656835559985,"MIF","CD74"
"Smooth_muscle_cells","Myeloid_Macro-THBS1",431,156.159967291165,0.362320109724281,10.141765206809,"MIF","CD74"
"T_NK_CD56dim cytotoxic NK","T_NK_CD8+ T resident memory",74,153.093955379049,2.06883723485201,10.466100055738,"HLA-B","CD8A"
"Myeloid_Macro-C3/CX3CR1","Myeloid_Macro-THBS1",276,152.685501773876,0.55320833976042,8.85129310227331,"TYROBP","CD44"
"T_NK_CD56dim cytotoxic NK","T_NK_CD8+ T CXCL13",75,151.656518183117,2.02208690910822,10.2890197606987,"B2M","CD3D"
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Macro-LYVE1",344,151.521029222001,0.440468108203491,8.66295063240229,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","T_NK_CD8+ T resident memory",139,151.362980583155,1.08894230635364,9.05499023181235,"B2M","CD3D"
"Myeloid_Interferon-Responsive Myeloid","T_NK_CD8+ T CXCL13",142,148.746217398571,1.04750857322937,9.71355075245327,"B2M","CD3D"
"Myeloid_Proliferating Myeloid","Myeloid_Macro-THBS1",312,147.471264313747,0.472664308697908,10.2129332870349,"MIF","CD74"
"Myeloid_Macro-THBS1","Myeloid_Macro-THBS1",277,146.876440397664,0.530239857031277,8.65466510133438,"VIM","CD44"
"Myeloid_Interferon-Responsive Myeloid","Monocytes",354,143.782940962784,0.40616649989487,9.83241395372967,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Macro-THBS1",267,143.529190448547,0.537562511043248,9.1472565369901,"MIF","CD74"
"Myeloid_Macro-LYVE1","Myeloid_Macro-THBS1",291,140.752425827406,0.483685312121671,8.92707897723327,"VIM","CD44"
"T_NK_CD56bright regulatory","T_NK_CD8+ T resident memory",75,140.00251092521,1.86670014566947,9.2648556468662,"HLA-B","CD8A"
"Myeloid_Macro-TIMD4","Myeloid_Macro-THBS1",259,139.132382509811,0.537190666061047,8.3876929953037,"VIM","CD44"
"T_NK_CD56bright regulatory","T_NK_CD8+ T CXCL13",75,138.128634836618,1.8417151311549,9.63304432263353,"B2M","CD3D"
"T_NK_CD8+ T resident memory","T_NK_CD8+ T resident memory",68,137.393076445244,2.02048641831241,9.92924468839867,"HLA-B","CD8A"
"Myeloid_Macro-MCEMP1","Myeloid_Macro-THBS1",244,136.978074365649,0.561385550678889,8.91708339770999,"TIMP1","CD63"
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Interferon-Responsive Myeloid",351,136.545086930022,0.389017341680974,13.2318108501226,"MIF","CD74"
"Myeloid_cDC2-like","Myeloid_Macro-THBS1",255,136.290050034,0.534470784447058,7.83860983695159,"VIM","CD44"
"T_NK_CD8+ T resident memory","T_NK_CD8+ T CXCL13",70,135.510772699542,1.93586818142203,10.398144187176,"B2M","CD3D"
"Myeloid_cDC2","Myeloid_Macro-THBS1",284,135.236679207301,0.476185490166553,8.37345610257542,"VIM","CD44"
"Myeloid_Macro-C3/CX3CR1","Myeloid_Macro-LYVE1",291,133.273360102609,0.457984055335427,7.89961235128192,"TYROBP","CD44"
