"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Myeloid_Macro-MCEMP1","CNV_Subclone_02","TIMP1","CD63",7.99658990875457,4.4748490356526,1.88767337081777,0.998902305159166,0.947712418300654
"Myeloid_Macro-MCEMP1","CNV_Subclone_04","TIMP1","CD63",7.10654046378524,4.4748490356526,1.67696768720093,0.998902305159166,0.948051948051948
"Myeloid_Macro-THBS1","CNV_Subclone_02","TIMP1","CD63",6.83219739099763,3.83093224274777,1.88767337081777,0.996902106567534,0.947712418300654
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_03","C3","IFITM3",6.55128495652731,2.03441182429775,3.74799257843814,0.875481386392811,0.981390793339863
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","C3","IFITM3",6.43156658377478,2.03441182429775,3.62796633032427,0.875481386392811,0.995331465919701
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","C3","IFITM3",6.08535515844428,2.03441182429775,3.47214608066637,0.875481386392811,0.984015984015984
"Myeloid_Macro-THBS1","CNV_Subclone_04","TIMP1","CD63",6.07174905424836,3.83093224274777,1.67696768720093,0.996902106567534,0.948051948051948
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_05","C3","IFITM3",6.00586331099934,2.03441182429775,3.44376124929823,0.875481386392811,0.979166666666667
"Myeloid_Macro-MCEMP1","CNV_Subclone_05","TIMP1","CD63",5.79383374351321,4.4748490356526,1.75257861975601,0.998902305159166,0.739583333333333
"Monocytes","CNV_Subclone_02","TIMP1","CD63",5.60980992516602,3.19362939463983,1.88767337081777,0.981884057971015,0.947712418300654
"Smooth_muscle_cells","CNV_Subclone_02","TIMP1","CD63",5.35811692855591,3.23772741439177,1.88767337081777,0.925056978147205,0.947712418300654
"Myeloid_Macro-LYVE1","CNV_Subclone_02","TIMP1","CD63",5.20155432610332,2.9714694815471,1.88767337081777,0.978494623655914,0.947712418300654
"Monocytes","CNV_Subclone_04","TIMP1","CD63",4.98541774459275,3.19362939463983,1.67696768720093,0.981884057971015,0.948051948051948
"Myeloid_Macro-THBS1","CNV_Subclone_05","TIMP1","CD63",4.95018704697714,3.83093224274777,1.75257861975601,0.996902106567534,0.739583333333333
"Myeloid_Macro-TIMD4","CNV_Subclone_02","TIMP1","CD63",4.90296255185652,2.86631305816624,1.88767337081777,0.95616211745244,0.947712418300654
"Myeloid_cDC2-like","CNV_Subclone_02","TIMP1","CD63",4.87568141576817,2.77070802147011,1.88767337081777,0.983651226158038,0.947712418300654
"Smooth_muscle_cells","CNV_Subclone_04","TIMP1","CD63",4.76173909090777,3.23772741439177,1.67696768720093,0.925056978147205,0.948051948051948
"Myeloid_Macro-LYVE1","CNV_Subclone_04","TIMP1","CD63",4.62260247365711,2.9714694815471,1.67696768720093,0.978494623655914,0.948051948051948
"Myeloid_cDC2","CNV_Subclone_02","TIMP1","CD63",4.51456993763692,2.57421142782217,1.88767337081777,0.980322003577818,0.947712418300654
"Myeloid_Macro-TIMD4","CNV_Subclone_04","TIMP1","CD63",4.35724504629733,2.86631305816624,1.67696768720093,0.95616211745244,0.948051948051948
"Myeloid_cDC2-like","CNV_Subclone_04","TIMP1","CD63",4.33300039955139,2.77070802147011,1.67696768720093,0.983651226158038,0.948051948051948
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_01","C3","IFITM3",4.2721078231191,2.03441182429775,2.95416812059711,0.875481386392811,0.811934900542496
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","C3","IFITM1",4.10690385714989,2.03441182429775,2.52808718809496,0.875481386392811,0.912087912087912
"Monocytes","CNV_Subclone_05","TIMP1","CD63",4.06452080324128,3.19362939463983,1.75257861975601,0.981884057971015,0.739583333333333
"Smooth_muscle_cells","CNV_Subclone_03","C3","IFITM3",4.04438010253578,1.77828994116317,3.74799257843814,0.61831344684274,0.981390793339863
"Myeloid_cDC2","CNV_Subclone_04","TIMP1","CD63",4.01208193798723,2.57421142782217,1.67696768720093,0.980322003577818,0.948051948051948
"Smooth_muscle_cells","CNV_Subclone_02","C3","IFITM3",3.97047298234772,1.77828994116317,3.62796633032427,0.61831344684274,0.995331465919701
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","C3","CD81",3.96478264222421,2.03441182429775,2.32353417917087,0.875481386392811,0.958041958041958
"Smooth_muscle_cells","CNV_Subclone_05","TIMP1","CD63",3.88215964762303,3.23772741439177,1.75257861975601,0.925056978147205,0.739583333333333
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","C3","IFITM1",3.8741358115049,2.03441182429775,2.36746422640784,0.875481386392811,0.918767507002801
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_03","C3","IFITM1",3.84857136160759,2.03441182429775,2.52422500720413,0.875481386392811,0.856023506366308
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","C3","CD81",3.83070314389772,2.03441182429775,2.2298818832002,0.875481386392811,0.964519140989729
"Myeloid_Macro-LYVE1","CNV_Subclone_05","TIMP1","CD63",3.76872408328717,2.9714694815471,1.75257861975601,0.978494623655914,0.739583333333333
"Smooth_muscle_cells","CNV_Subclone_04","C3","IFITM3",3.75674230063128,1.77828994116317,3.47214608066637,0.61831344684274,0.984015984015984
"Smooth_muscle_cells","CNV_Subclone_05","C3","IFITM3",3.70766868404255,1.77828994116317,3.44376124929823,0.61831344684274,0.979166666666667
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_03","C3","IFITM3",3.69574240837839,1.43416416017616,3.74799257843814,0.700587084148728,0.981390793339863
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_02","C3","IFITM3",3.62820630360206,1.43416416017616,3.62796633032427,0.700587084148728,0.995331465919701
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","APOE","LSR",3.57965137209777,4.09195737669252,1.10175433007947,0.957637997432606,0.829131652661064
"Myeloid_Macro-TIMD4","CNV_Subclone_05","TIMP1","CD63",3.55238297827782,2.86631305816624,1.75257861975601,0.95616211745244,0.739583333333333
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_04","HLA-B","CANX",3.54110307350778,4.4204729781061,0.97669901226289,1,0.82017982017982
"Myeloid_cDC2-like","CNV_Subclone_05","TIMP1","CD63",3.53261675684673,2.77070802147011,1.75257861975601,0.983651226158038,0.739583333333333
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_02","APOE","LSR",3.51223544437952,4.1004796220267,1.10175433007947,0.937649880095923,0.829131652661064
"T_NK_¦Ã¦ÄT","CNV_Subclone_04","HLA-B","CANX",3.45668644384488,4.32110495347941,0.97669901226289,0.998608695652174,0.82017982017982
"T_NK_CD8+ T cytotoxic","CNV_Subclone_04","HLA-B","CANX",3.43981950553438,4.29403743921932,0.97669901226289,1,0.82017982017982
"T_NK_CD8+ T CXCL13","CNV_Subclone_04","HLA-B","CANX",3.43310255092419,4.28565244851638,0.97669901226289,1,0.82017982017982
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_04","C3","IFITM3",3.43289984763967,1.43416416017616,3.47214608066637,0.700587084148728,0.984015984015984
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_02","APOE","LSR",3.39964782180304,3.88899790977879,1.10175433007947,0.956947162426614,0.829131652661064
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_05","C3","IFITM3",3.38805652397537,1.43416416017616,3.44376124929823,0.700587084148728,0.979166666666667
"T_NK_CD8+ T resident memory","CNV_Subclone_04","HLA-B","CANX",3.35946328588965,4.20196533074783,0.97669901226289,0.998039215686275,0.82017982017982
"T_NK_MAIT","CNV_Subclone_04","HLA-B","CANX",3.33408060826613,4.16204016932736,0.97669901226289,1,0.82017982017982
"Myeloid_cDC2","CNV_Subclone_05","TIMP1","CD63",3.2709777468387,2.57421142782217,1.75257861975601,0.980322003577818,0.739583333333333
"T_NK_Th17","CNV_Subclone_04","HLA-B","CANX",3.22992305502676,4.03201694210055,0.97669901226289,1,0.82017982017982
"Myeloid_cDC1","CNV_Subclone_04","HLA-B","CANX",3.21875569262225,4.01807636406001,0.97669901226289,1,0.82017982017982
"T_NK_CD4+ T effector","CNV_Subclone_04","HLA-B","CANX",3.19302247351725,3.98955832371785,0.97669901226289,0.999096249435156,0.82017982017982
"T_NK_CD4+ T regulatory","CNV_Subclone_04","HLA-B","CANX",3.16794233211062,3.97206575113009,0.97669901226289,0.995614035087719,0.82017982017982
"Myeloid_mDC_LAMP3","CNV_Subclone_04","HLA-B","CANX",3.14430671802078,4.00865291444611,0.97669901226289,0.979166666666667,0.82017982017982
"T_NK_CD56bright regulatory","CNV_Subclone_04","HLA-B","CANX",3.13467372106166,3.94588728199074,0.97669901226289,0.991694352159468,0.82017982017982
"B_Classical-Bm_TXNIP","CNV_Subclone_04","HLA-B","CANX",3.12832612978437,3.91136932770985,0.97669901226289,0.998420221169036,0.82017982017982
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","APOE","LSR",3.04856332221311,4.09195737669252,0.966188323835561,0.957637997432606,0.805194805194805
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","HLA-B","CANX",3.00432702360914,3.75039815265884,0.97669901226289,1,0.82017982017982
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_02","APOE","LSR",3.00191254747592,3.58465465969532,1.10175433007947,0.916732128829536,0.829131652661064
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","APOE","LSR",2.99114942817394,4.1004796220267,0.966188323835561,0.937649880095923,0.805194805194805
"T_NK_CD56dim cytotoxic NK","CNV_Subclone_02","HLA-B","CANX",2.97887396779548,4.4204729781061,0.906692017358372,1,0.743230625583567
"T_NK_CD4+ T naive","CNV_Subclone_04","HLA-B","CANX",2.96305404071673,3.7081616398321,0.97669901226289,0.997495826377296,0.82017982017982
"Myeloid_cDC1","CNV_Subclone_02","TIMP1","CD63",2.95869265460867,1.77936669314232,1.88767337081777,0.929460580912863,0.947712418300654
