"source","relative","target","action","category"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260708-2331.log","omnipathr-log\omnipathr-20260708-2331.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260708-2331.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260708-2335.log","omnipathr-log\omnipathr-20260708-2335.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260708-2335.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260708-2341.log","omnipathr-log\omnipathr-20260708-2341.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260708-2341.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260708-2358.log","omnipathr-log\omnipathr-20260708-2358.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260708-2358.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260709-0002.log","omnipathr-log\omnipathr-20260709-0002.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260709-0002.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260709-0003.log","omnipathr-log\omnipathr-20260709-0003.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260709-0003.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260709-0017.log","omnipathr-log\omnipathr-20260709-0017.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260709-0017.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\omnipathr-log\omnipathr-20260709-0020.log","omnipathr-log\omnipathr-20260709-0020.log","D:\OC_spatiogenomics\infercnv\90_environment_install_logs\codex_2026-07-05_omnipathr_logs\omnipathr-20260709-0020.log","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\analysis_notes_subclone_cellchat_status.txt","outputs\analysis_notes_subclone_cellchat_status.txt","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\reports\analysis_notes_subclone_cellchat_status.txt","moved_to_classified_main_directory","promoted_unique_2026_07_05"
"D:\OC_spatiogenomics\infercnv\99_codex_results_from_c\2026-07-05_list-files-home-shpc-006-oc\outputs\infercnv_cell_to_subclone.csv","outputs\infercnv_cell_to_subclone.csv","D:\OC_spatiogenomics\infercnv\01_integrated_oc_cnv_clone_definition\integrated_oc_plan_analysis\source_outputs\early_infercnv_subclone_outputs\infercnv_cell_to_subclone.csv","moved_to_classified_main_directory","promoted_unique_2026_07_05"
