"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"MSLN",0.822904687096245,7.16658276547687e-14,52,0.765981069277632,1.11802011592933,3.83842172918941e-10
"COX20",0.797611346507921,1.46515943931075e-12,52,0.822707519196087,0.47652709208774,2.79233112569001e-09
"S100A13",0.797020954575871,1.56403909205938e-12,52,0.956639101772828,0.677279459958297,2.79233112569001e-09
"NDUFB9",0.780254307625778,9.18102931821804e-12,52,0.846205263760685,0.708751692071466,1.2293398257094e-08
"TSTD1",0.7769219452682,1.28146963981962e-11,52,0.684894108361413,0.556293332469895,1.37271027817477e-08
"WFDC2",0.766714025217766,3.43830865805878e-11,52,0.690377735589647,1.44163441228285,3.01018422716522e-08
"ADSS",0.76527944629539,3.93414667478651e-11,52,0.822707519196087,0.252961779768176,3.01018422716522e-08
"C1orf35",0.761375531095685,5.64927351891462e-11,52,0.775764110249457,0.298901177119428,3.78218862091334e-08
"RPS5",0.754832525507958,1.02045889160395e-10,52,0.733542408150376,0.73018114839731,5.55834294100276e-08
"SLC39A4",0.753963844829495,1.1022749547702e-10,52,0.886253319999228,0.413154217726207,5.55834294100276e-08
"NDUFS8",0.753568253135749,1.14155661596397e-10,52,0.660225291773525,0.513527403574918,5.55834294100276e-08
"COX6C",0.750458286070735,1.49992288021147e-10,52,0.851757122704842,0.530141120832275,6.69465578867717e-08
"TACSTD2",0.745760024887234,2.24883617578323e-10,52,0.664494954453923,0.571595739811855,8.90254461959102e-08
"ELF3",0.745358801950374,2.32702809324635e-10,52,0.706306433696128,0.812741221460526,8.90254461959102e-08
"KCNK15",0.739824463588396,3.70501873062647e-10,52,0.653047156211015,0.411395420525765,1.32293868808236e-07
"AAAS",0.709672066902182,3.85815498381024e-09,52,0.607581561972936,0.35065952362564,1.29151738083048e-06
"SCX",0.70455669192533,5.57697482805921e-09,52,0.860565600252449,0.422059940278842,1.70228533535492e-06
"PRKRA",0.704064947208625,5.77569114245404e-09,52,0.561120942324857,0.281940802715166,1.70228533535492e-06
"MVB12A",0.703437997709973,6.03872691780124e-09,52,0.564136842507123,0.205861077306428,1.70228533535492e-06
"SDHC",0.700514920148452,7.42112116629037e-09,52,0.605094011867236,0.509713829624441,1.96873521600265e-06
"BTG2",0.6996812205585,7.86697461252576e-09,52,0.749811439343343,0.61646486691525,1.96873521600265e-06
"ATPAF1",0.699286662579401,8.08666444213189e-09,52,0.730709690358428,0.248202668685841,1.96873521600265e-06
"COX4I1",0.697971992318657,8.86110266274361e-09,52,0.529663087656049,0.635395576366943,2.06348112441977e-06
"OPN3",0.696920005374959,9.53055024887201e-09,52,0.822707519196087,0.223016239595586,2.12690113053994e-06
