"","CNV_burden","EMT","Hypoxia","KRAS_UP","KRAS_DN","LAPTM5_axis","LAPTM5_expr","Proliferation","Immune_modulatory","TF_SNAI2","TF_ATF3","TF_HIF1A","TF_STAT3","TF_MYC","TF_FOXM1","TF_RELA"
"CNV_burden",1,-0.19827273521809,0.196278122081459,0.287909835358785,0.159267556066534,-0.277468025582026,-0.277468025582026,0.0585788949010786,-0.0721341326497486,-0.360405284710767,0.267384378772069,0.181747127848056,0.102013692815697,0.163465486267076,-0.0434037459581694,0.0241703240164113
"EMT",-0.19827273521809,1,0.128083293984435,0.245518099765121,0.261314894221406,0.192611805609224,0.192611805609224,0.0948585324275045,0.35194650445918,0.698402054811714,0.21789183917865,0.101292591875118,0.28425285232179,0.0820111779261137,0.0911283145325718,0.245050057686625
"Hypoxia",0.196278122081459,0.128083293984435,1,0.207303094328687,0.217537852390469,0.154388749347475,0.154388749347475,0.2796067315467,0.273093963459535,0.135253061232551,0.174275420484608,0.819385500635968,0.249610730455452,0.333320093591581,0.193391744293977,0.261046675912411
"KRAS_UP",0.287909835358785,0.245518099765121,0.207303094328687,1,0.762818935990957,0.0584784161207309,0.0584784161207309,0.07427330985693,0.310730158855595,0.159727115913353,0.928733888225404,0.230219170764636,0.662513275313132,0.249802210297911,-0.00279540232369401,0.357444904966183
"KRAS_DN",0.159267556066534,0.261314894221406,0.217537852390469,0.762818935990957,1,0.225862639238421,0.225862639238421,0.148346435444492,0.453036946043257,0.271397005694249,0.837603575203483,0.250782514163545,0.822211189515402,0.224901214947891,0.0876558932161248,0.488674950701152
"LAPTM5_axis",-0.277468025582026,0.192611805609224,0.154388749347475,0.0584784161207309,0.225862639238421,1,1,0.250025459121256,0.434262617084698,0.367614006660787,0.0788924784181893,0.134411353554637,0.251386744640809,0.188943817941834,0.223763727430414,0.358829231596788
"LAPTM5_expr",-0.277468025582026,0.192611805609224,0.154388749347475,0.0584784161207309,0.225862639238421,1,1,0.250025459121256,0.434262617084698,0.367614006660787,0.0788924784181893,0.134411353554637,0.251386744640809,0.188943817941834,0.223763727430414,0.358829231596788
"Proliferation",0.0585788949010786,0.0948585324275045,0.2796067315467,0.07427330985693,0.148346435444492,0.250025459121256,0.250025459121256,1,0.30026878485358,0.176958787253287,0.0688623776588043,0.209910706039705,0.17668114463584,0.732845108807343,0.599804235388782,0.243152483901467
"Immune_modulatory",-0.0721341326497486,0.35194650445918,0.273093963459535,0.310730158855595,0.453036946043257,0.434262617084698,0.434262617084698,0.30026878485358,1,0.481487662808766,0.327272405303977,0.252984631227536,0.497075798668956,0.254435649892577,0.256159150968406,0.474510994040778
"TF_SNAI2",-0.360405284710767,0.698402054811714,0.135253061232551,0.159727115913353,0.271397005694249,0.367614006660787,0.367614006660787,0.176958787253287,0.481487662808766,1,0.153892345124758,0.111168515109935,0.321411869319985,0.103413057046914,0.195029523507996,0.32701808455759
"TF_ATF3",0.267384378772069,0.21789183917865,0.174275420484608,0.928733888225404,0.837603575203483,0.0788924784181893,0.0788924784181893,0.0688623776588043,0.327272405303977,0.153892345124758,1,0.220151516062559,0.679205388023553,0.168683636358418,0.0195178110558987,0.383267480100768
"TF_HIF1A",0.181747127848056,0.101292591875118,0.819385500635968,0.230219170764636,0.250782514163545,0.134411353554637,0.134411353554637,0.209910706039705,0.252984631227536,0.111168515109935,0.220151516062559,1,0.261104907804032,0.255928804150505,0.148401610996151,0.247672137122872
"TF_STAT3",0.102013692815697,0.28425285232179,0.249610730455452,0.662513275313132,0.822211189515402,0.251386744640809,0.251386744640809,0.17668114463584,0.497075798668956,0.321411869319985,0.679205388023553,0.261104907804032,1,0.241076111812451,0.0956833432775606,0.48454609686847
"TF_MYC",0.163465486267076,0.0820111779261137,0.333320093591581,0.249802210297911,0.224901214947891,0.188943817941834,0.188943817941834,0.732845108807343,0.254435649892577,0.103413057046914,0.168683636358418,0.255928804150505,0.241076111812451,1,0.317215803300741,0.256672463277704
"TF_FOXM1",-0.0434037459581694,0.0911283145325718,0.193391744293977,-0.00279540232369401,0.0876558932161248,0.223763727430414,0.223763727430414,0.599804235388782,0.256159150968406,0.195029523507996,0.0195178110558987,0.148401610996151,0.0956833432775606,0.317215803300741,1,0.187554624776822
"TF_RELA",0.0241703240164113,0.245050057686625,0.261046675912411,0.357444904966183,0.488674950701152,0.358829231596788,0.358829231596788,0.243152483901467,0.474510994040778,0.32701808455759,0.383267480100768,0.247672137122872,0.48454609686847,0.256672463277704,0.187554624776822,1
