"pb_group","sample_id","CNV_clone"
"31V1|Subclone_01","31V1","Subclone_01"
"31V1|Subclone_03","31V1","Subclone_03"
"31V1|Subclone_02","31V1","Subclone_02"
"31V1|Subclone_04","31V1","Subclone_04"
"31V1|Subclone_05","31V1","Subclone_05"
"30V1|Subclone_01","30V1","Subclone_01"
"30V1|Subclone_04","30V1","Subclone_04"
"30V1|Subclone_03","30V1","Subclone_03"
"30V1|Subclone_02","30V1","Subclone_02"
"30V1|Subclone_05","30V1","Subclone_05"
"30V2|Subclone_01","30V2","Subclone_01"
"30V2|Subclone_02","30V2","Subclone_02"
"30V3|Subclone_01","30V3","Subclone_01"
