"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","focus_axis"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_02","APOE","LRP1",0.18343247082584,4.09195737669252,0.189185279884369,0.957637997432606,0.247432306255836,"APOE_LRP1"
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_02","APOE","LRP1",0.179977868992052,4.1004796220267,0.189185279884369,0.937649880095923,0.247432306255836,"APOE_LRP1"
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_02","APOE","LRP1",0.174208529006993,3.88899790977879,0.189185279884369,0.956947162426614,0.247432306255836,"APOE_LRP1"
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_02","APOE","LRP1",0.15382733639335,3.58465465969532,0.189185279884369,0.916732128829536,0.247432306255836,"APOE_LRP1"
"Myeloid_Macro-TIMD4","CNV_Subclone_02","APOE","LRP1",0.137715354982653,3.15043830983566,0.189185279884369,0.933829611248966,0.247432306255836,"APOE_LRP1"
"Myeloid_Proliferating Myeloid","CNV_Subclone_02","APOE","LRP1",0.130307743850256,3.04672829705103,0.189185279884369,0.913677130044843,0.247432306255836,"APOE_LRP1"
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_04","APOE","LRP1",0.0822751972609519,4.09195737669252,0.121485497207599,0.957637997432606,0.172827172827173,"APOE_LRP1"
"Myeloid_Macro-LYVE1","CNV_Subclone_02","APOE","LRP1",0.0808464404194869,2.28215410583998,0.189185279884369,0.756784434203789,0.247432306255836,"APOE_LRP1"
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_04","APOE","LRP1",0.0807257003477098,4.1004796220267,0.121485497207599,0.937649880095923,0.172827172827173,"APOE_LRP1"
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_04","APOE","LRP1",0.0781379710149527,3.88899790977879,0.121485497207599,0.956947162426614,0.172827172827173,"APOE_LRP1"
"Myeloid_Macro-M2-like","CNV_Subclone_02","APOE","LRP1",0.0762774996569413,2.39821678138958,0.189185279884369,0.679460580912863,0.247432306255836,"APOE_LRP1"
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_04","APOE","LRP1",0.0689963690120388,3.58465465969532,0.121485497207599,0.916732128829536,0.172827172827173,"APOE_LRP1"
