dataset_id,cluster,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v
"GSE147082","0",821,6,6,"PT-4806",327,0.398294762484775,0.810680079204126,0.725525598591184,3.6433270092483,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","1",747,6,6,"PT-3401",709,0.949129852744311,0.143143999542264,0.0979446568066107,1.1085794320112,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","10",381,6,6,"PT-3401",236,0.619422572178478,0.545851749537914,0.527593499631444,2.11682099890631,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","11",375,3,6,"PT-4806",373,0.994666666666667,0.0206106670746042,0.0106239999999999,1.01073808137654,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","12",311,6,6,"PT-3401",252,0.810289389067524,0.363745884576276,0.322639344092803,1.47631840036633,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","13",238,6,6,"PT-6885",152,0.638655462184874,0.626066349461418,0.550278935103453,2.22360053387768,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","14",201,6,6,"PT-5150",81,0.402985074626866,0.753167059181033,0.698745080567313,3.31944786788267,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","15",162,6,6,"PT-4806",55,0.339506172839506,0.839629959388053,0.745694253924707,3.93227449805214,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","16",152,6,6,"PT-5150",49,0.322368421052632,0.839234215308006,0.752943213296399,4.04765241765943,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","17",96,5,6,"PT-3401",27,0.28125,0.814439416441023,0.754340277777778,4.07067137809187,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","18",45,5,6,"PT-3401",31,0.688888888888889,0.501481788078331,0.473086419753086,1.89784442361762,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","19",32,3,6,"PT-3401",26,0.8125,0.316480979494279,0.314453125,1.45868945868946,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","2",660,2,6,"PT-3232",659,0.998484848484848,0.00633496309668467,0.0030257116620751,1.00303489437739,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","20",27,2,6,"PT-3401",26,0.962962962962963,0.0884106225485941,0.0713305898491086,1.0768094534712,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","3",625,6,6,"PT-3401",219,0.3504,0.825226893947897,0.74573824,3.93295476283968,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","4",556,3,6,"PT-2834",551,0.991007194244604,0.0320202526465828,0.0178626882666529,1.01818756710824,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","5",532,6,6,"PT-3401",334,0.627819548872181,0.558230628372568,0.535254960710046,2.15171742667295,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","6",448,5,6,"PT-6885",216,0.482142857142857,0.592404267538722,0.59423828125,2.46450060168472,"mixed",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","7",442,1,6,"PT-2834",442,1,0,0,1,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","8",406,4,6,"PT-2834",401,0.987684729064039,0.0443027964153391,0.0244242762503337,1.02503575648281,"strong_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE147082","9",388,6,6,"PT-3401",296,0.762886597938144,0.402055130964132,0.381602720799235,1.61708344074933,"moderate_sample_dominance",0.716354464491963,0.716354464491963,NA,NA
"GSE154600","0",4169,4,5,"T76",4162,0.998320940273447,0.00870534634541653,0.00335409196515579,1.00336537975836,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","1",3186,5,5,"T59",3092,0.970495919648462,0.105031973980747,0.0578551249601501,1.06140788587074,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","10",843,4,5,"T59",801,0.950177935943061,0.129966868037366,0.0949076126188878,1.10485958554298,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","11",684,4,5,"T89",445,0.650584795321637,0.530985524133238,0.501821073150713,2.00731092004325,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","12",623,5,5,"T76",330,0.529695024077047,0.79557342353467,0.647588817120081,2.83759440273137,"mixed",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","13",570,5,5,"T76",391,0.685964912280702,0.62361818204627,0.496805170821791,1.98730182031709,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","14",432,1,5,"T59",432,1,0,0,1,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA
"GSE154600","15",401,5,5,"T89",205,0.511221945137157,0.664038312839905,0.598665431185129,2.49168668164562,"mixed",0.853084075735489,0.853084075735489,NA,NA
