dataset_id,status,PC,variance_explained,sample_eta_squared,patient_eta_squared,timepoint_eta_squared,treatment_eta_squared,nCount_spearman,nFeature_spearman,percent_mt_spearman,doublet_score_spearman,message
"GSE147082","COMPLETE",1,0.144678367649702,0.214854597738819,0.214854597738819,NA,NA,0.199105335409584,0.272305571364492,NA,0.180956843530963,""
"GSE147082","COMPLETE",2,0.0990207375289587,0.0973750304595187,0.0973750304595187,NA,NA,-0.0755408722768866,-0.16085019958118,NA,0.00628351357799098,""
"GSE147082","COMPLETE",3,0.0660194619081305,0.139338306911484,0.139338306911484,NA,NA,0.261978690394928,0.368938291787343,NA,0.23666369652604,""
"GSE147082","COMPLETE",4,0.0618643473706319,0.489601694478954,0.489601694478954,NA,NA,0.00116611236143791,-0.0657208982612803,NA,0.278553091987282,""
"GSE147082","COMPLETE",5,0.0544938141627787,0.532010034885374,0.532010034885374,NA,NA,0.179898106477961,0.126463399972077,NA,0.0824575738900746,""
"GSE147082","COMPLETE",6,0.0381641734810605,0.032632021767495,0.032632021767495,NA,NA,0.024315161794102,0.0983980064725205,NA,-0.106855152231556,""
"GSE147082","COMPLETE",7,0.0367032166306018,0.0109666139954654,0.0109666139954654,NA,NA,-0.0964176481620963,0.0288070968247726,NA,-0.0567428570729818,""
"GSE147082","COMPLETE",8,0.0297697370632076,0.0715820764034333,0.0715820764034333,NA,NA,0.0328232166699713,-0.0398578281451253,NA,-0.0834805675289045,""
"GSE147082","COMPLETE",9,0.0273073855982497,0.0420499042165772,0.0420499042165772,NA,NA,0.0491164268578341,-0.0572828478838541,NA,-0.0282343992134021,""
"GSE147082","COMPLETE",10,0.0260176448291542,0.245905998157003,0.245905998157003,NA,NA,-0.157067113897572,-0.175663836659336,NA,0.0824833312660337,""
"GSE147082","COMPLETE",11,0.0246140151657231,0.0713482960986877,0.0713482960986877,NA,NA,0.132977306966427,0.095193855721934,NA,0.157450040149067,""
"GSE147082","COMPLETE",12,0.0241890920263496,0.0769846712374687,0.0769846712374687,NA,NA,-0.201457493161548,-0.170690836810358,NA,0.0580577074316334,""
"GSE147082","COMPLETE",13,0.0203691884518369,0.00891261278877698,0.00891261278877698,NA,NA,-0.0244271870096259,-0.100888289413703,NA,-0.00101740552051524,""
"GSE147082","COMPLETE",14,0.0191210769833923,0.0656569127309235,0.0656569127309235,NA,NA,-0.0433714619474295,-0.0549600780514222,NA,-0.00760026980555999,""
"GSE147082","COMPLETE",15,0.0185568161506058,0.153839225615768,0.153839225615768,NA,NA,-0.0108187807840644,-0.03146263196224,NA,0.174394512529494,""
"GSE147082","COMPLETE",16,0.0166942219305451,0.115621148664442,0.115621148664442,NA,NA,0.0281863911659015,0.0455747965422497,NA,-0.183835902199461,""
"GSE147082","COMPLETE",17,0.0164458098799462,0.00991166471381759,0.00991166471381759,NA,NA,-0.182702363321315,-0.195071978120835,NA,-0.1061141902783,""
"GSE147082","COMPLETE",18,0.0155361508357447,0.0783048847184371,0.0783048847184371,NA,NA,0.106895635800462,0.0924713861077818,NA,-0.0172021376131325,""
"GSE147082","COMPLETE",19,0.0141992793582405,0.0686562172684068,0.0686562172684068,NA,NA,0.0160526830472821,0.066363129978388,NA,-0.0500472944604714,""
"GSE147082","COMPLETE",20,0.0139050608986278,0.102158282940089,0.102158282940089,NA,NA,-0.0346774992656481,-0.0526676375734874,NA,0.0274894029493715,""
"GSE147082","COMPLETE",21,0.0127087149159875,0.0627393018495892,0.0627393018495892,NA,NA,-0.0763853356130685,-0.0980083805550953,NA,-0.02316742317002,""
"GSE147082","COMPLETE",22,0.0121463005905274,0.0296603235662293,0.0296603235662293,NA,NA,-0.133528550281842,-0.15151815843138,NA,-0.0884245430115048,""
"GSE147082","COMPLETE",23,0.0114792585222179,0.0226877081385868,0.0226877081385868,NA,NA,-0.047595927346922,-0.0505682239374461,NA,-0.0692699401008382,""
"GSE147082","COMPLETE",24,0.0103061835403869,0.040981605217744,0.040981605217744,NA,NA,-0.00171275810526823,-0.00752173659587123,NA,-0.0472346023963713,""
"GSE147082","COMPLETE",25,0.0100479190116876,0.0232126833559142,0.0232126833559142,NA,NA,-0.0228212767843689,-0.0416670491208016,NA,-0.0274133846423394,""
"GSE147082","COMPLETE",26,0.0096386759634447,0.0381297093527227,0.0381297093527227,NA,NA,0.180559500024831,0.231872116100844,NA,0.101434673733357,""
"GSE147082","COMPLETE",27,0.00903274031749227,0.0118295793296089,0.0118295793296089,NA,NA,-0.0999041353551523,-0.103728985090843,NA,-0.0872259769090105,""
"GSE147082","COMPLETE",28,0.00875474192163161,0.0419456109069626,0.0419456109069626,NA,NA,-0.0856903924365073,-0.114358313279775,NA,0.00502475256693228,""
"GSE147082","COMPLETE",29,0.00856695632390535,0.0199901996218514,0.0199901996218514,NA,NA,-0.107902248774086,-0.130987389628438,NA,-0.0165046030712907,""
"GSE147082","COMPLETE",30,0.00850362129835754,0.00689054174571726,0.00689054174571726,NA,NA,-0.0522202286879081,-0.0465657524480756,NA,-0.0188004763384983,""
"GSE154600","COMPLETE",1,0.221623722751138,0.332618753536341,0.332618753536341,NA,NA,0.38496665882405,0.438387674886943,0.214647572472146,0.0643510582286529,""
"GSE154600","COMPLETE",2,0.158441541467884,0.165964162117021,0.165964162117021,NA,NA,0.232293399692657,0.353677470489225,-0.0606720576582459,0.260831128706413,""
"GSE154600","COMPLETE",3,0.0803124954432592,0.299884558055037,0.299884558055037,NA,NA,0.0903948084342632,-0.0423896833438526,0.345519352877234,-0.0687169993737375,""
"GSE154600","COMPLETE",4,0.0502726492064552,0.0325244887444357,0.0325244887444357,NA,NA,0.091558668394276,0.181857148970877,-0.1386075284543,0.0664865711835896,""
"GSE154600","COMPLETE",5,0.0426759705150092,0.501037713142185,0.501037713142185,NA,NA,0.0477945271917149,0.14402250664988,-0.0157090239732944,0.107038588403567,""
"GSE154600","COMPLETE",6,0.0302220655564345,0.0174217324104921,0.0174217324104921,NA,NA,0.0116393524088316,0.0055243720366029,0.128931149837339,-0.0691841873016739,""
"GSE154600","COMPLETE",7,0.0242857767521641,0.386647655061995,0.386647655061995,NA,NA,-0.11105092440853,-0.19153668413018,-0.0514804339435651,-0.197204324687948,""
"GSE154600","COMPLETE",8,0.0231210602226144,0.307601435207263,0.307601435207263,NA,NA,-0.377790625741568,-0.413536002293234,0.170224668657013,-0.345421432624115,""
"GSE154600","COMPLETE",9,0.0203086552457581,0.0717174395209248,0.0717174395209248,NA,NA,0.0366510818066326,0.00360843215112647,-0.180261555027793,0.038231792437312,""
"GSE154600","COMPLETE",10,0.0190528244748232,0.126729054628301,0.126729054628301,NA,NA,0.183026066453811,0.24713296426924,0.077588752803548,0.103818202246461,""
"GSE154600","COMPLETE",11,0.0179099868815259,0.103862708394813,0.103862708394813,NA,NA,0.17367442847699,0.188328772270278,0.0255836223886271,0.109952308987128,""
"GSE154600","COMPLETE",12,0.0169098883010684,0.0362705495062908,0.0362705495062908,NA,NA,0.0946547061433529,0.0938284402419099,0.000541380783217982,0.142355368891644,""
"GSE154600","COMPLETE",13,0.0161958918745654,0.110043326660273,0.110043326660273,NA,NA,0.319112031492759,0.260197153917133,0.143122790696697,0.143664019446781,""
"GSE154600","COMPLETE",14,0.0135312964932987,0.0647504748150926,0.0647504748150926,NA,NA,0.127131701712797,0.0838994584001798,-0.0366231836289539,0.0426060321233021,""
"GSE154600","COMPLETE",15,0.0128926564989993,0.00634755554276335,0.00634755554276335,NA,NA,0.0679264246047844,0.0281086910612464,0.0650097321462692,0.0385976968280289,""
"GSE154600","COMPLETE",16,0.0123630213078232,0.0111379741942372,0.0111379741942372,NA,NA,0.0958028548638237,0.119636829219768,-0.131405156895462,0.14773505384282,""
"GSE154600","COMPLETE",17,0.0119433406100689,0.017508799697348,0.017508799697348,NA,NA,-0.0163859708310233,-0.0317604469242625,-0.002778355453573,-0.0469556074085049,""
"GSE154600","COMPLETE",18,0.0110791752113008,0.00857296273116481,0.00857296273116481,NA,NA,-0.0431201015236162,-0.0481217762849093,-0.00879756948957585,-0.0246633051911738,""
"GSE154600","COMPLETE",19,0.0107728189544327,0.0105305472301506,0.0105305472301506,NA,NA,-0.0394450704720732,-0.0749360050378035,0.106459114647296,-0.0590847544852678,""
"GSE154600","COMPLETE",20,0.0101417349027068,0.0204683230575904,0.0204683230575904,NA,NA,-0.121387989506847,-0.0585282838613256,-0.0305534349294726,-0.0972577167403857,""
"GSE154600","COMPLETE",21,0.0100938380270993,0.00111926880931607,0.00111926880931607,NA,NA,-0.00406980399555365,0.0530656323845652,0.051449681696053,0.0159176068307272,""
"GSE154600","COMPLETE",22,0.00954194065567933,0.0081147893264361,0.0081147893264361,NA,NA,0.022010925835055,-0.0125514740333816,-0.0660591355392005,-0.0292159885926662,""
"GSE154600","COMPLETE",23,0.00930003135623061,0.0213790521853144,0.0213790521853144,NA,NA,-0.0272362468133184,0.0266295644407055,0.0352908237028485,-0.0341173117626257,""
"GSE154600","COMPLETE",24,0.00891489843067507,0.0163086198752663,0.0163086198752663,NA,NA,-0.0758116954720892,-0.0403402535847036,0.00266295600443224,-0.0599588294389791,""
"GSE154600","COMPLETE",25,0.00874187378144691,0.0197540671797,0.0197540671797,NA,NA,-0.094823798335151,-0.0728051977944894,0.00512915935386785,-0.071186004396956,""
"GSE154600","COMPLETE",26,0.00802179245241356,0.0249707200368203,0.0249707200368203,NA,NA,0.0858499796445389,0.0212108951428529,-0.171220910287242,0.0396755684639373,""
"GSE154600","COMPLETE",27,0.00786265592462965,0.0278173072248519,0.0278173072248519,NA,NA,-0.0969158103629493,-0.0779135900380396,-0.0783619181015345,-0.0773786796663032,""
"GSE154600","COMPLETE",28,0.00754369308985659,0.0303725884378087,0.0303725884378087,NA,NA,-0.175513395508085,-0.146722031498329,0.105492731391912,-0.101767597577504,""
"GSE154600","COMPLETE",29,0.00729742819217166,0.020687691270328,0.020687691270328,NA,NA,-0.137454773793913,-0.0995063716507843,-0.00642980443593024,-0.0287373318999324,""
"GSE154600","COMPLETE",30,0.00688401006502884,0.0189753044631474,0.0189753044631474,NA,NA,0.0520329281403981,0.0203161680890759,-0.114681159025148,0.0405256927124702,""
"GSE158722","SKIPPED_MEMORY_GUARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Object 6.25 GB exceeds 2.50 GB load guard"
