feature_id,symbol,source
"MT.ND6","MT-ND6","rownames_gene_symbol_dot_separator"
"MT.CO2","MT-CO2","rownames_gene_symbol_dot_separator"
"MT.CYB","MT-CYB","rownames_gene_symbol_dot_separator"
"MT.ND2","MT-ND2","rownames_gene_symbol_dot_separator"
"MT.ND5","MT-ND5","rownames_gene_symbol_dot_separator"
"MT.CO1","MT-CO1","rownames_gene_symbol_dot_separator"
"MT.ND3","MT-ND3","rownames_gene_symbol_dot_separator"
"MT.ND4","MT-ND4","rownames_gene_symbol_dot_separator"
"MT.ND1","MT-ND1","rownames_gene_symbol_dot_separator"
"MT.ATP6","MT-ATP6","rownames_gene_symbol_dot_separator"
"MT.CO3","MT-CO3","rownames_gene_symbol_dot_separator"
"MT.TL1","MT-TL1","rownames_gene_symbol_dot_separator"
"MT.TF","MT-TF","rownames_gene_symbol_dot_separator"
"MT.TV","MT-TV","rownames_gene_symbol_dot_separator"
"MT.RNR2","MT-RNR2","rownames_gene_symbol_dot_separator"
"MT.TI","MT-TI","rownames_gene_symbol_dot_separator"
"MT.TM","MT-TM","rownames_gene_symbol_dot_separator"
"MT.TW","MT-TW","rownames_gene_symbol_dot_separator"
"MT.TA","MT-TA","rownames_gene_symbol_dot_separator"
"MT.TC","MT-TC","rownames_gene_symbol_dot_separator"
"MT.TY","MT-TY","rownames_gene_symbol_dot_separator"
"MT.TD","MT-TD","rownames_gene_symbol_dot_separator"
"MT.TG","MT-TG","rownames_gene_symbol_dot_separator"
"MT.TR","MT-TR","rownames_gene_symbol_dot_separator"
"MT.TH","MT-TH","rownames_gene_symbol_dot_separator"
"MT.TS2","MT-TS2","rownames_gene_symbol_dot_separator"
"MT.TL2","MT-TL2","rownames_gene_symbol_dot_separator"
"MT.TE","MT-TE","rownames_gene_symbol_dot_separator"
"MT.TT","MT-TT","rownames_gene_symbol_dot_separator"
"MT.TP","MT-TP","rownames_gene_symbol_dot_separator"
"MT.RNR1","MT-RNR1","rownames_gene_symbol_dot_separator"
"MT.ND4L","MT-ND4L","rownames_gene_symbol_dot_separator"
"MT.ATP8","MT-ATP8","rownames_gene_symbol_dot_separator"
