feature_id,symbol,source
"RPS20","RPS20","rownames_case_insensitive_RPS_RPL"
"RPL26L1","RPL26L1","rownames_case_insensitive_RPS_RPL"
"RPL18","RPL18","rownames_case_insensitive_RPS_RPL"
"RPL31","RPL31","rownames_case_insensitive_RPS_RPL"
"RPS6KA2","RPS6KA2","rownames_case_insensitive_RPS_RPL"
"RPS5","RPS5","rownames_case_insensitive_RPS_RPL"
"RPL6","RPL6","rownames_case_insensitive_RPS_RPL"
"RPLP0","RPLP0","rownames_case_insensitive_RPS_RPL"
"RPL3","RPL3","rownames_case_insensitive_RPS_RPL"
"RPS6KA5","RPS6KA5","rownames_case_insensitive_RPS_RPL"
"RPS16","RPS16","rownames_case_insensitive_RPS_RPL"
"RPS19","RPS19","rownames_case_insensitive_RPS_RPL"
"RPL18A","RPL18A","rownames_case_insensitive_RPS_RPL"
"RPL28","RPL28","rownames_case_insensitive_RPS_RPL"
"RPL19","RPL19","rownames_case_insensitive_RPS_RPL"
"RPS6KB1","RPS6KB1","rownames_case_insensitive_RPS_RPL"
"RPL34","RPL34","rownames_case_insensitive_RPS_RPL"
"RPS13","RPS13","rownames_case_insensitive_RPS_RPL"
"RPS12","RPS12","rownames_case_insensitive_RPS_RPL"
"RPL24","RPL24","rownames_case_insensitive_RPS_RPL"
"RPS15","RPS15","rownames_case_insensitive_RPS_RPL"
"RPL22","RPL22","rownames_case_insensitive_RPS_RPL"
"RPS6KA1","RPS6KA1","rownames_case_insensitive_RPS_RPL"
"RPS25","RPS25","rownames_case_insensitive_RPS_RPL"
"RPL21","RPL21","rownames_case_insensitive_RPS_RPL"
"RPL5","RPL5","rownames_case_insensitive_RPS_RPL"
"RPS10","RPS10","rownames_case_insensitive_RPS_RPL"
"RPL23","RPL23","rownames_case_insensitive_RPS_RPL"
"RPL36","RPL36","rownames_case_insensitive_RPS_RPL"
"RPL27","RPL27","rownames_case_insensitive_RPS_RPL"
"RPS15A","RPS15A","rownames_case_insensitive_RPS_RPL"
"RPS6KC1","RPS6KC1","rownames_case_insensitive_RPS_RPL"
"RPL35","RPL35","rownames_case_insensitive_RPS_RPL"
"RPS6","RPS6","rownames_case_insensitive_RPS_RPL"
"RPLP1","RPLP1","rownames_case_insensitive_RPS_RPL"
"RPS24","RPS24","rownames_case_insensitive_RPS_RPL"
"RPL3L","RPL3L","rownames_case_insensitive_RPS_RPL"
"RPS2","RPS2","rownames_case_insensitive_RPS_RPL"
"RPS11","RPS11","rownames_case_insensitive_RPS_RPL"
"RPL13A","RPL13A","rownames_case_insensitive_RPS_RPL"
"RPL11","RPL11","rownames_case_insensitive_RPS_RPL"
"RPS8","RPS8","rownames_case_insensitive_RPS_RPL"
"RPS27A","RPS27A","rownames_case_insensitive_RPS_RPL"
"RPL32","RPL32","rownames_case_insensitive_RPS_RPL"
"RPS3A","RPS3A","rownames_case_insensitive_RPS_RPL"
"RPL37","RPL37","rownames_case_insensitive_RPS_RPL"
"RPL7L1","RPL7L1","rownames_case_insensitive_RPS_RPL"
"RPL10","RPL10","rownames_case_insensitive_RPS_RPL"
"RPL7","RPL7","rownames_case_insensitive_RPS_RPL"
"RPL7A","RPL7A","rownames_case_insensitive_RPS_RPL"
"RPS3","RPS3","rownames_case_insensitive_RPS_RPL"
"RPL30","RPL30","rownames_case_insensitive_RPS_RPL"
"RPL8","RPL8","rownames_case_insensitive_RPS_RPL"
"RPL26","RPL26","rownames_case_insensitive_RPS_RPL"
"RPL29","RPL29","rownames_case_insensitive_RPS_RPL"
"RPS6KA4","RPS6KA4","rownames_case_insensitive_RPS_RPL"
"RPL22L1","RPL22L1","rownames_case_insensitive_RPS_RPL"
"RPL9","RPL9","rownames_case_insensitive_RPS_RPL"
"RPL39L","RPL39L","rownames_case_insensitive_RPS_RPL"
"RPS14","RPS14","rownames_case_insensitive_RPS_RPL"
"RPL10L","RPL10L","rownames_case_insensitive_RPS_RPL"
"RPL36AL","RPL36AL","rownames_case_insensitive_RPS_RPL"
"RPL27A","RPL27A","rownames_case_insensitive_RPS_RPL"
"RPL13","RPL13","rownames_case_insensitive_RPS_RPL"
"RPSA","RPSA","rownames_case_insensitive_RPS_RPL"
"RPS9","RPS9","rownames_case_insensitive_RPS_RPL"
"RPS21","RPS21","rownames_case_insensitive_RPS_RPL"
"RPS7","RPS7","rownames_case_insensitive_RPS_RPL"
"RPL38","RPL38","rownames_case_insensitive_RPS_RPL"
"RPL4","RPL4","rownames_case_insensitive_RPS_RPL"
"RPL15","RPL15","rownames_case_insensitive_RPS_RPL"
"RPS6KB2","RPS6KB2","rownames_case_insensitive_RPS_RPL"
"RPS6KA3","RPS6KA3","rownames_case_insensitive_RPS_RPL"
"RPLP2","RPLP2","rownames_case_insensitive_RPS_RPL"
"RPS27","RPS27","rownames_case_insensitive_RPS_RPL"
"RPS17","RPS17","rownames_case_insensitive_RPS_RPL"
"RPL35A","RPL35A","rownames_case_insensitive_RPS_RPL"
