cluster,dataset_id,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v,top_markers,top_author_celltype,top_author_celltype_fraction,median_nCount,median_nFeature,median_percent_mt,doublet_fraction,median_doublet_score,median_S_score,median_G2M_score,likely_interpretation,interpretation_basis,dominant_patient,dominant_patient_fraction,dominant_timepoint,dominant_timepoint_fraction
"0","GSE154600",4169,4,5,"T76",4162,0.998320940273447,0.00870534634541653,0.00335409196515579,1.00336537975836,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"TUBA4A;CCL4;GZMH;RGCC;CD8B;GZMM;CCL4L2;RPS26;DUSP4;GZMK;CD8A;DDX24;CXCR4;EML4;CD52;HIST1H4C;CD3D;CTSW;CCL5;CST7;PABPC1;MALAT1;GZMA;TRBC2;CD3E;ITM2A;MYADM;APOBEC3G;ITM2C;YPEL5;CD69;DNAJB1;SRSF7;TRBC1;LEPROTL1;KMT2E;SELENOK;ACAP1;FYN;SLA;PTPRC;JUND;SLPI;AMD1;FNBP1;SERTAD1;NCL;RBMX;TNFAIP3;MT-ND4L","LYMPH",0.927692769276928,1211,593,5.99326599326599,0,0.000644254847429693,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.998320940273447,NA,NA
"1","GSE154600",3186,5,5,"T59",3092,0.970495919648462,0.105031973980747,0.0578551249601501,1.06140788587074,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"PKIB;MS4A4A;C15orf48;SPP1;SDS;MS4A6A;IFI30;CCL20;MARCH1;G0S2;CXCL10;TREM2;NLRP3;CALHM6;SPI1;LILRB4;C1QC;FCGR1A;MNDA;IL18;OLR1;CCL3L1;CYBB;GK;C1QB;IGSF6;MSR1;C1QA;THBD;PHACTR1;CH25H;FNIP2;PLEK;APOE;MS4A7;IL4I1;CXCL8;CD86;C1orf162;RNASE6;LY86;INSIG1;VSIG4;FPR1;CCL3;CD300A;MXD1;SERPINA1;CD14;HLA-DQB1","MYE",0.997670549084859,2172,1019.5,4.12360578501671,0,0.0237766588106751,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.970495919648462,NA,NA
"10","GSE154600",843,4,5,"T59",801,0.950177935943061,0.129966868037366,0.0949076126188878,1.10485958554298,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"CLDN11;CALB2;MMP11;DES;STEAP1;EGFL6;PLAU;CTHRC1;MEG3;BICC1;PDGFRA;FAP;SNAI2;SLC12A8;GAS1;SULF1;CDH11;GLT8D2;BNC2;PDPN;COL3A1;COL5A2;GJB2;POSTN;EFEMP1;LUM;NUAK1;PDLIM3;DDR2;ANTXR1;PLAT;SFRP4;LXN;PTGIS;ENAH;RIN2;APCDD1;MMP2;PDGFRL;TPBG;C1S;DCN;DCBLD2;CFI;IGF1;FBLN1;CPXM1;VCAN;MMP14;FKBP7","STROM",0.991576413959085,3781,1609,3.90334572490706,0,0.0151308570057154,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",0.950177935943061,NA,NA
"11","GSE154600",684,4,5,"T89",445,0.650584795321637,0.530985524133238,0.501821073150713,2.00731092004325,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"MT1H;S100A8;MT1G;DNAAF1;HAMP;SMIM25;S100A9;FCN1;MARCO;PDK4;AQP9;CLEC4E;CD300E;CD163;CCL20;EREG;APOC1;MRC1;C5AR1;PILRA;ACSL1;SIGLEC1;LYZ;MT2A;CSTA;MT1X;SAP30;LILRB2;SLC11A1;ITGAM;MPEG1;LST1;CFD;DMXL2;IRAK3;LILRB3;KCNMA1;NLRP3;TYROBP;FGR;MT1M;FPR3;TLR4;THBS1;HLA-DQA2;ANPEP;SLAMF8;CYBB;THBD;TTYH3","MYE",1,4483,1356.5,4.95257299680295,0,0.0259076496586204,NA,NA,"likely_shared_lineage","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.650584795321637,NA,NA
"12","GSE154600",623,5,5,"T76",330,0.529695024077047,0.79557342353467,0.647588817120081,2.83759440273137,"mixed",0.853084075735489,0.853084075735489,NA,NA,"CLEC14A;ACKR1;RAMP3;EMCN;TM4SF18;ADGRL4;PCDH17;ECSCR;CXorf36;CDH5;PLVAP;CALCRL;FABP4;CLDN5;RAMP2;ESM1;ROBO4;PCAT19;FAM167B;CD34;RBP7;ADCY4;ESAM;TIE1;VWF;GPIHBP1;SOX18;NOTCH4;CAVIN2;APLN;CHST1;MMRN2;COL15A1;FLT1;CYYR1;LY6H;PCDH12;EGFL7;IL3RA;ADGRF5;INSR;ANGPT2;AQP1;TCIM;PECAM1;ACVRL1;GNG11;PGF;PALMD;ENG","ENDO",0.872897196261682,2766,1277,5.47632629777524,0,0.00969010498374701,NA,NA,"likely_shared_lineage","dominance=mixed; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.529695024077047,NA,NA
"13","GSE154600",570,5,5,"T76",391,0.685964912280702,0.62361818204627,0.496805170821791,1.98730182031709,"moderate_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"RGS5;CCDC102B;FAM162B;ABCC9;HIGD1B;KCNJ8;PLAC9;TBX2;TFPI;GUCY1A1;GJC1;CYGB;AC100793.2;SEPT4;LHFPL6;MAP3K7CL;RASL12;PLXDC1;SOD3;PDGFRB;EBF1;OLFML2A;CD248;GJA4;TINAGL1;HSD11B2;NOTCH3;TDO2;CSPG4;FOXS1;C11orf96;COL5A3;MMP9;EDNRA;IGFBP7;ASPN;COX4I2;TNFAIP6;MCAM;CD36;ADAMTS4;ADGRF5;PTGIR;PRKG1;NID1;GGT5;ARHGEF17;DLC1;ANGPT2;NDUFA4L2","STROM",0.986964618249534,3243,1309.5,5.73069989649649,0,0.00820301985368133,NA,NA,"mixed_or_uncertain","dominance=moderate_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.685964912280702,NA,NA
"14","GSE154600",432,1,5,"T59",432,1,0,0,1,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"KLRF1;TRDC;KRT81;KLRC1;KLRD1;KRT86;KLRB1;GNLY;MATK;PRF1;GZMB;AREG;NKG7;IL2RB;CTSW;CLIC3;CMC1;CD7;CD247;LDLRAD4;GPR65;CHST12;MAFF;HOPX;TNFRSF18;DUSP2;APOBEC3G;CCL4;GZMA;VPS37B;REL;CD69;MAP3K8;EVL;GZMM;SYTL3;CST7;PTPN7;SLA;CD96;SOCS1;CD83;DDIT4;CORO1A;PIK3IP1;PIK3R1;FAM49B;EIF5A;LIMD2;KDM6B","LYMPH",0.977900552486188,977,595,4.40333789018,0,0.00100924412254244,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=TRUE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T59",1,NA,NA
"15","GSE154600",401,5,5,"T89",205,0.511221945137157,0.664038312839905,0.598665431185129,2.49168668164562,"mixed",0.853084075735489,0.853084075735489,NA,NA,"S100A2;FAM104B;SMIM22;WFDC2;HIST1H1C;CRYAB;SLPI;HSD17B10;S100A1;TIMM17B;VBP1;S100A13;TSR2;BEX2;NDUFB11;SLIRP;CLDN7;C12orf75;NBDY;DBI;CHCHD5;MT1G;FUNDC2;CDKN2A;PQBP1;NUPR1;MAL2;C19orf33;SEC61G;CD24;UXT;MT1F;PCSK1N;ANXA4;ROMO1;COX17;TXN;MRPL52;MT1E;BEX3;CLDN3;DPM3;RPA3;CLDN4;IGFBP2;LSM5;TCEAL9;C1orf122;NDUFB1;QPRT","EPI",0.532075471698113,1313,621,2.69138755980861,0,0.000708978215698153,NA,NA,"mixed_or_uncertain","dominance=mixed; epithelial_marker_program=TRUE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T89",0.511221945137157,NA,NA
"16","GSE154600",386,2,5,"T77",385,0.99740932642487,0.0111945575721237,0.00516792397111332,1.00519477014829,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"IGHGP;IGLC3;IGHG1;IGLC7;IGKC;MZB1;IGHG3;IGHG2;IGHG4;IGLC2;IGHM;IGHA1;FKBP11;XBP1;SSR4;JCHAIN;PRDX4;SEC11C;S100A1;NME4;TPPP3;PUF60;UQCRH;RAB13;HES1;FXR1;IMPDH2;SNHG25;C19orf33;TUBB;RBP1;MANF;LSM2;SNCG;APOC1;CUTA;PRDX6;ID1;COX5B;HSPD1;ATP5ME;RPL35A;UQCRB;CLU;RPS20;RPL31;RPL29;RPL4;MRPL41;MT-ND1","LYMPH",0.5625,973.5,387,3.70327106740153,0,0.00104578939499334,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T77",0.99740932642487,NA,NA
"17","GSE154600",371,2,5,"T76",370,0.997304582210243,0.0115807003341668,0.00537630502539233,1.00540536592136,"strong_sample_dominance",0.853084075735489,0.853084075735489,NA,NA,"IGHGP;IGHG2;IGHA1;IGHG1;IGLC2;IGKC;DERL3;IGHG3;IGLC3;MZB1;JCHAIN;IGHG4;SSR4;FKBP11;SEC11C;PRDX4;CD79A;FKBP2;XBP1;HSPG2;SLPI;COMP;SDF2L1;SELENOS;HTRA1;MANF;COL4A2;WFDC2;RABAC1;TIMP3;RARRES2;NDUFA4L2;THBS2;LGALS1;RPS27L","STROM",0.779761904761905,1564,438,3.50076103500761,0,0.000604993023443967,NA,NA,"mixed_or_uncertain","dominance=strong_sample_dominance; epithelial_marker_program=FALSE; shared_lineage_marker_program=FALSE; qc_outlier_flag=FALSE; cell_level_qc_available=TRUE","T76",0.997304582210243,NA,NA
