dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","B_Plasma_like","C_RPCA","1",490,5,"T77",158,0.322448979591837,0.906508998691942,0.752319866722199,4.03746552767875,"mixed"
"GSE154600","B_Plasma_like","C_RPCA","4",173,3,"T59",164,0.947976878612717,0.147593832612029,0.0998362791940928,1.11090902342155,"strong_sample_dominance"
"GSE154600","B_Plasma_like","C_RPCA","9",52,5,"T59",37,0.711538461538462,0.585169687888528,0.465236686390533,1.86998616874136,"moderate_sample_dominance"
"GSE154600","B_Plasma_like","C_RPCA","7",110,5,"T59",40,0.363636363636364,0.893084416601687,0.735206611570248,3.77652933832709,"mixed"
"GSE154600","B_Plasma_like","C_RPCA","8",70,1,"T59",70,1,0,0,1,"moderate_sample_dominance"
"GSE154600","B_Plasma_like","C_RPCA","0",494,5,"T89",205,0.41497975708502,0.849743313648801,0.705658181579767,3.39741055269386,"mixed"
"GSE154600","B_Plasma_like","C_RPCA","6",137,5,"T77",59,0.430656934306569,0.768959071932061,0.656188395758964,2.90856965752363,"mixed"
"GSE154600","B_Plasma_like","C_RPCA","2",314,5,"T77",276,0.878980891719745,0.330079217949319,0.223437056270031,1.2877256223389,"strong_sample_dominance"
"GSE154600","B_Plasma_like","C_RPCA","3",201,5,"T89",108,0.537313432835821,0.746119711479916,0.628895324373159,2.69465750683652,"mixed"
"GSE154600","B_Plasma_like","C_RPCA","5",144,2,"T76",133,0.923611111111111,0.167673415601806,0.14110725308642,1.16428972487367,"strong_sample_dominance"
