dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Combined_broad_lineages","A_uncorrected","1",3168,5,"T59",3070,0.969065656565657,0.109308293538216,0.0606044663809815,1.06451432246809,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","4",2330,3,"T59",2318,0.994849785407725,0.0220885418056244,0.0102591685240104,1.01036551003833,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","14",420,1,"T59",420,1,0,0,1,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","8",1503,3,"T59",1500,0.998003992015968,0.00973811868450127,0.00398581856026259,1.00400176888496,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","21",321,3,"T59",243,0.757009345794393,0.362535658981912,0.370842674275289,1.58942757099446,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","10",884,4,"T59",802,0.907239819004525,0.237464072179087,0.172629041174423,1.20864769222679,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","28",113,5,"T59",76,0.672566371681416,0.598637567024522,0.503250058736001,2.01308529087183,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","12",602,5,"T76",317,0.526578073089701,0.794329912174414,0.648116466705666,2.8418493773721,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","3",3067,5,"T76",3008,0.980762960547766,0.0754751478505274,0.0380090807526592,1.03951085191365,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","13",565,5,"T76",389,0.688495575221239,0.619248128689347,0.493457592607095,1.97416837248997,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","22",273,4,"T89",165,0.604395604395604,0.594034147989724,0.554924928551302,2.24681197431491,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","27",126,5,"T59",88,0.698412698412698,0.556099208864724,0.469009826152683,1.88327402135231,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","19",346,5,"T77",211,0.609826589595376,0.623940149628315,0.556099435330282,2.25275676489406,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","17",360,2,"T76",359,0.997222222222222,0.0118825367566983,0.00554012345679,1.00557098741484,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","18",351,5,"T89",188,0.535612535612536,0.548549848611704,0.53683005819758,2.15903475106461,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","2",3093,4,"T89",1612,0.521176850953767,0.441778691128889,0.501874376283691,2.00752571718639,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","16",371,4,"T89",216,0.582210242587601,0.457117847982497,0.495302998379843,1.98138684555256,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","20",338,3,"T90",184,0.544378698224852,0.439317496595149,0.498739539932075,1.99497083784445,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","0",3881,4,"T76",3873,0.997938675599072,0.0105319181828694,0.00411680634671197,1.00413382450166,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","6",1563,3,"T77",1558,0.996801023672425,0.0147409723372796,0.0063823978118428,1.00642339447066,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","11",687,4,"T89",445,0.647743813682678,0.533286449188681,0.504393297017389,2.01772896529022,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","7",1509,1,"T76",1509,1,0,0,1,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","24",258,1,"T76",258,1,0,0,1,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","29",70,2,"T76",69,0.985714285714286,0.0465230579282295,0.0281632653061223,1.02897942041159,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","25",196,2,"T76",195,0.994897959183674,0.0198940011240386,0.01015201999167,1.01025614053542,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","5",1854,3,"T77",1851,0.998381877022654,0.00810569941633776,0.00323217300940626,1.00324265382759,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","15",378,2,"T77",377,0.997354497354497,0.01139700908437,0.00527700792251062,1.00530500246253,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","26",171,2,"T77",170,0.994152046783626,0.02230532048714,0.0116275093191069,1.01176429881319,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","A_uncorrected","23",273,3,"T89",155,0.567765567765568,0.584111283539679,0.566088368286171,2.30461671665791,"mixed"
"GSE154600","Combined_broad_lineages","A_uncorrected","9",929,2,"T90",925,0.995694294940797,0.0172439731236006,0.0085743319262932,1.00864848692384,"strong_sample_dominance"
