dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Combined_broad_lineages","B_harmony_sample","1",4518,5,"T59",2418,0.535192563081009,0.71106655235569,0.611369778375064,2.57314008112599,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","13",310,5,"T59",113,0.364516129032258,0.882932640832811,0.739063475546306,3.83234965704259,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","6",1127,5,"T59",474,0.42058562555457,0.839071733292528,0.701801155630649,3.35346705355233,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","14",263,5,"T59",231,0.878326996197719,0.323572190734066,0.223770764359757,1.28827922743104,"strong_sample_dominance"
"GSE154600","Combined_broad_lineages","B_harmony_sample","2",3957,5,"T77",1818,0.459438968915845,0.837689181633147,0.692829902753565,3.25552522515798,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","10",764,5,"T59",248,0.324607329842932,0.930833311186196,0.757085880321263,4.11668124241826,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","3",3914,5,"T76",2975,0.760091977516607,0.421210570948264,0.378796004751101,1.60977715476432,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","B_harmony_sample","15",163,5,"T59",87,0.533742331288344,0.788819204026067,0.646994617787647,2.83281799765433,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","0",5613,5,"T76",2390,0.425797256369143,0.916002940041945,0.735161741330612,3.7758894995921,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","4",3802,5,"T76",1212,0.318779589689637,0.952658206300479,0.770090411729921,4.34953586548675,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","7",1023,5,"T59",708,0.69208211143695,0.575904377954934,0.48137223144318,1.92816517091379,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","B_harmony_sample","9",965,5,"T59",437,0.452849740932643,0.873943455866126,0.709712475502698,3.44486040773445,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","11",609,5,"T76",321,0.527093596059113,0.794711973987143,0.648051531353723,2.84132504922202,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","5",1265,5,"T59",462,0.365217391304348,0.952050113416676,0.764606227249293,4.24820074173775,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","12",564,5,"T76",387,0.686170212765958,0.622475440053864,0.496120667974448,1.98460213873049,"moderate_sample_dominance"
"GSE154600","Combined_broad_lineages","B_harmony_sample","8",1017,5,"T77",385,0.378564405113078,0.835553029268316,0.701469318536695,3.34973944754459,"mixed"
"GSE154600","Combined_broad_lineages","B_harmony_sample","16",126,5,"T59",88,0.698412698412698,0.556099208864724,0.469009826152683,1.88327402135231,"moderate_sample_dominance"
