dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Epithelial_like","C_RPCA","4",519,5,"T59",478,0.921001926782274,0.231485654224504,0.149769268750859,1.1761513236893,"strong_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","0",765,5,"T59",699,0.913725490196078,0.248954979833594,0.162614379084967,1.19419294411489,"strong_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","3",532,5,"T59",521,0.979323308270677,0.0775564035578544,0.0407668607609248,1.04249942906817,"strong_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","10",94,4,"T59",88,0.936170212765957,0.187603084922306,0.122000905387053,1.1389533384893,"moderate_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","2",586,5,"T77",521,0.889078498293515,0.306828894383608,0.205983762187096,1.25942008787436,"strong_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","1",623,5,"T77",453,0.727126805778491,0.574684357922092,0.447887171533176,1.81122398980825,"moderate_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","8",180,4,"T77",106,0.588888888888889,0.59201345667966,0.54537037037037,2.19959266802444,"mixed"
"GSE154600","Epithelial_like","C_RPCA","5",488,5,"T90",309,0.633196721311475,0.690446574234145,0.556621203977425,2.25540781149373,"moderate_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","6",337,5,"T90",140,0.415430267062315,0.790147604082921,0.687705271685055,3.20210336369019,"mixed"
"GSE154600","Epithelial_like","C_RPCA","7",209,5,"T90",193,0.923444976076555,0.231770548179412,0.145646848744305,1.17047616495619,"strong_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","11",74,3,"T76",71,0.959459459459459,0.121447900187138,0.0785244704163624,1.08521601268331,"moderate_sample_dominance"
"GSE154600","Epithelial_like","C_RPCA","9",105,5,"T77",83,0.79047619047619,0.452218651738901,0.35609977324263,1.55303563882237,"moderate_sample_dominance"
