dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Fibroblast_like","A_uncorrected","2",832,4,"T59",791,0.950721153846154,0.131462620359437,0.0940360345784024,1.10379666097938,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","5",548,5,"T76",381,0.695255474452555,0.605611643586069,0.484349192817945,1.93929687701806,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","9",152,3,"T76",92,0.605263157894737,0.505155307000014,0.509954986149585,2.04062886415828,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","0",2080,3,"T76",2071,0.995673076923077,0.0191625794399575,0.00862564718934911,1.00870069632616,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","10",143,4,"T76",85,0.594405594405594,0.463358270847645,0.493227052667612,1.97327028852649,"mixed"
"GSE154600","Fibroblast_like","A_uncorrected","13",29,3,"T76",24,0.827586206896552,0.339229799218014,0.294887039239001,1.41821247892074,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","7",203,4,"T76",197,0.970443349753695,0.101334365237814,0.0578999733068019,1.06145841382686,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","3",738,5,"T76",654,0.886178861788618,0.304225420134915,0.210328214393255,1.26634890371783,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","6",338,5,"T76",301,0.890532544378698,0.299896995337248,0.203249185952873,1.25509755668835,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","4",572,3,"T76",561,0.980769230769231,0.0647109032064395,0.0378319233214339,1.03931945388589,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","11",86,2,"T76",83,0.965116279069768,0.0940257498577096,0.0673336938885882,1.07219483908379,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","1",1654,3,"T76",1651,0.998186215235792,0.00895707987226697,0.00362245203815026,1.00363562190413,"strong_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","12",31,2,"T76",30,0.967741935483871,0.0885438737908275,0.0624349635796044,1.06659267480577,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","A_uncorrected","8",154,2,"T77",153,0.993506493506494,0.0243438171962045,0.0129026817338505,1.01307133703545,"strong_sample_dominance"
