dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Fibroblast_like","B_harmony_sample","1",2136,5,"T76",1630,0.76310861423221,0.378003873906394,0.367304650787639,1.58053951438855,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","2",852,5,"T76",652,0.765258215962441,0.477929090519874,0.386332076968855,1.6295458218846,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","4",561,5,"T76",380,0.677361853832442,0.624684597207759,0.503315635118089,2.01335107505901,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","5",427,5,"T76",315,0.737704918032787,0.493736525975823,0.415644247486686,1.71128631094843,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","10",80,4,"T59",63,0.7875,0.420803633917183,0.3546875,1.54963680387409,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","0",2237,5,"T76",2068,0.924452391595887,0.219587256122499,0.143254954019339,1.16720838327739,"strong_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","3",607,4,"T76",556,0.915980230642504,0.205006573578094,0.155826179471243,1.18459015866382,"strong_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","12",33,4,"T76",27,0.818181818181818,0.392607926649995,0.314049586776859,1.4578313253012,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","7",198,5,"T76",100,0.505050505050505,0.702736823019516,0.634169982654831,2.73350997071538,"mixed"
"GSE154600","Fibroblast_like","B_harmony_sample","6",207,5,"T76",195,0.942028985507246,0.178122444118101,0.111321151018694,1.12526589458757,"strong_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","8",94,2,"T76",85,0.904255319148936,0.196112682639868,0.173155273879583,1.20941691760197,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","9",90,3,"T76",86,0.955555555555556,0.128500114108972,0.085679012345679,1.09370780448285,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","B_harmony_sample","11",38,4,"T76",33,0.868421052631579,0.328178252463929,0.239612188365651,1.31511839708561,"moderate_sample_dominance"
