dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Fibroblast_like","C_RPCA","7",350,5,"T59",275,0.785714285714286,0.475381310144919,0.366089795918367,1.57751049527391,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","6",476,5,"T76",285,0.598739495798319,0.546986976578089,0.51756584986936,2.07282175138142,"mixed"
"GSE154600","Fibroblast_like","C_RPCA","0",1922,5,"T76",1680,0.874089490114464,0.258641714653552,0.221997658959569,1.28534317604069,"strong_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","2",710,5,"T76",550,0.774647887323944,0.449974843730809,0.371529458440786,1.59116447609308,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","5",476,5,"T76",365,0.766806722689076,0.498213214674531,0.390279641268272,1.64009612878941,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","8",245,5,"T77",106,0.43265306122449,0.905853898405983,0.7285964181591,3.68454975139648,"mixed"
"GSE154600","Fibroblast_like","C_RPCA","1",1704,3,"T76",1675,0.982981220657277,0.056211560227176,0.0334954759858053,1.03465630543217,"strong_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","4",550,4,"T76",507,0.921818181818182,0.188010566075201,0.145190082644628,1.16985072318045,"strong_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","13",31,3,"T76",24,0.774193548387097,0.389431783870735,0.362122788761707,1.56769983686786,"moderate_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","10",98,4,"T76",58,0.591836734693878,0.621094847081245,0.570387338608913,2.32767813863306,"mixed"
"GSE154600","Fibroblast_like","C_RPCA","9",214,5,"T76",205,0.957943925233645,0.141641298236693,0.0817975369027861,1.08908442330559,"strong_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","3",691,3,"T76",653,0.945007235890014,0.152879244325871,0.105181148569263,1.11754462749761,"strong_sample_dominance"
"GSE154600","Fibroblast_like","C_RPCA","11",48,5,"T59",15,0.3125,0.948527982599524,0.769097222222222,4.33082706766917,"mixed"
"GSE154600","Fibroblast_like","C_RPCA","12",45,4,"T76",41,0.911111111111111,0.243798889969307,0.166913580246914,1.20035566093657,"moderate_sample_dominance"
