dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Myeloid_like","A_uncorrected","0",1406,4,"T59",1399,0.9950213371266,0.0224452173631054,0.00992191562678957,1.01002134658204,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","2",733,4,"T59",724,0.987721691678036,0.0492418724013885,0.0243518851121091,1.02495970088038,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","7",284,5,"T59",277,0.975352112676056,0.0913924688101231,0.0485022812933941,1.0509746690295,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","14",62,4,"T59",42,0.67741935483871,0.528478206849073,0.478147762747138,1.91625124626122,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","4",495,3,"T59",489,0.987878787878788,0.044113080225853,0.0239893888378736,1.02457902461666,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","12",140,3,"T59",138,0.985714285714286,0.0526755801864208,0.0282653061224489,1.02908747243516,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","5",349,5,"T59",215,0.616045845272206,0.602976213866422,0.538813310235548,2.1683192993075,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","13",73,5,"T59",56,0.767123287671233,0.524309651528266,0.395571401763933,1.65445513815585,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","3",641,5,"T77",619,0.965678627145086,0.118692622606149,0.0670607791550352,1.07188118760223,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","16",31,3,"T59",29,0.935483870967742,0.176419521723855,0.122788761706556,1.13997627520759,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","8",252,4,"T76",242,0.96031746031746,0.12586176295289,0.0770660115898211,1.08350110902576,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","1",1359,3,"T76",1357,0.998528329654157,0.00751067128485567,0.00294009197127476,1.00294876160158,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","15",34,1,"T76",34,1,0,0,1,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","6",318,4,"T89",250,0.786163522012579,0.350225094602441,0.340117083976108,1.51542035066687,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","10",180,2,"T77",179,0.994444444444444,0.0213676183568294,0.0110493827160494,1.01117283565321,"strong_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","11",142,2,"T89",89,0.626760563380282,0.410489448250621,0.467863519143027,1.87921714818267,"moderate_sample_dominance"
"GSE154600","Myeloid_like","A_uncorrected","9",222,2,"T89",205,0.923423423423423,0.167963922890013,0.141425208992777,1.1647208961573,"strong_sample_dominance"
