dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Myeloid_like","B_harmony_sample","1",1043,5,"T59",995,0.953978906999041,0.150799357144009,0.0892017182531767,1.09793795183945,"strong_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","8",365,5,"T59",278,0.761643835616438,0.442731210133341,0.38293113154438,1.62056465837074,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","3",728,5,"T59",438,0.601648351648352,0.713266964035754,0.583938383045526,2.40349015446292,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","11",62,4,"T59",42,0.67741935483871,0.528478206849073,0.478147762747138,1.91625124626122,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","7",407,5,"T59",314,0.771498771498772,0.506328840704846,0.387192195546004,1.63183300331984,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","4",641,5,"T59",329,0.513260530421217,0.792787888409984,0.652198568441958,2.87520380672475,"mixed"
"GSE154600","Myeloid_like","B_harmony_sample","2",794,5,"T59",455,0.573047858942065,0.755732282040463,0.614095641746347,2.59131564236625,"mixed"
"GSE154600","Myeloid_like","B_harmony_sample","9",348,5,"T59",170,0.488505747126437,0.64992621434459,0.592069626106487,2.45139872879641,"mixed"
"GSE154600","Myeloid_like","B_harmony_sample","6",458,5,"T59",183,0.399563318777293,0.808660982870839,0.694256402433211,3.27071444163782,"mixed"
"GSE154600","Myeloid_like","B_harmony_sample","5",565,5,"T77",383,0.67787610619469,0.643240609122844,0.508349909938132,2.03396688053929,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","10",86,5,"T59",54,0.627906976744186,0.724537372287173,0.569226608977826,2.32140615191463,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","12",33,3,"T59",28,0.848484848484848,0.327629760674738,0.268135904499541,1.366373902133,"moderate_sample_dominance"
"GSE154600","Myeloid_like","B_harmony_sample","0",1191,5,"T76",1135,0.952980688497061,0.154166919605142,0.0911383374186895,1.10027745824358,"strong_sample_dominance"
