dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","Myeloid_like","C_RPCA","0",1090,5,"T59",799,0.73302752293578,0.497328696512193,0.421972897904217,1.73002268643503,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","2",866,5,"T59",348,0.401847575057737,0.781127786881185,0.667175140941602,3.00458325988366,"mixed"
"GSE154600","Myeloid_like","C_RPCA","5",566,5,"T59",389,0.687279151943463,0.530702260127062,0.465675685799548,1.87152254431164,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","8",341,5,"T59",258,0.756598240469208,0.459556515478824,0.391723497389943,1.64398919851267,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","12",62,4,"T59",42,0.67741935483871,0.528478206849073,0.478147762747138,1.91625124626122,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","9",271,5,"T59",201,0.74169741697417,0.507850121019115,0.416851622390763,1.71482943003246,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","4",571,5,"T59",235,0.411558669001751,0.861532348582469,0.711757110302079,3.46929633215931,"mixed"
"GSE154600","Myeloid_like","C_RPCA","1",886,5,"T59",466,0.525959367945824,0.704712805609687,0.61404389321729,2.59096820189191,"mixed"
"GSE154600","Myeloid_like","C_RPCA","7",455,4,"T59",164,0.36043956043956,0.776556436894029,0.695181741335588,3.28064337215752,"mixed"
"GSE154600","Myeloid_like","C_RPCA","6",545,5,"T59",244,0.447706422018349,0.804515544831311,0.683067081895463,3.15524182839904,"mixed"
"GSE154600","Myeloid_like","C_RPCA","3",633,5,"T77",403,0.636650868878357,0.70662988438709,0.558303322526947,2.26399710706678,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","10",193,5,"T59",130,0.673575129533679,0.64307838288465,0.512872828800773,2.05285202535134,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","11",143,5,"T76",43,0.300699300699301,0.957783663188094,0.773142940975109,4.40806208234533,"mixed"
"GSE154600","Myeloid_like","C_RPCA","14",29,3,"T77",24,0.827586206896552,0.339229799218014,0.294887039239001,1.41821247892074,"moderate_sample_dominance"
"GSE154600","Myeloid_like","C_RPCA","15",17,4,"T76",7,0.411764705882353,0.797279993283769,0.698961937716263,3.32183908045977,"mixed"
"GSE154600","Myeloid_like","C_RPCA","13",53,1,"T76",53,1,0,0,1,"moderate_sample_dominance"
