dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","T_NK_like","A_uncorrected","2",1181,3,"T59",1177,0.996613039796782,0.0155292155029322,0.00675671315730797,1.00680267689378,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","11",170,2,"T59",169,0.994117647058824,0.0224150286520174,0.0116955017301037,1.01183390518871,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","8",287,2,"T59",286,0.996515679442509,0.0144135373598392,0.00694436013548772,1.00699292150079,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","0",1502,3,"T76",1500,0.99866844207723,0.00687843979295004,0.0026604562757867,1.0026675531844,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","12",55,1,"T76",55,1,0,0,1,"moderate_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","3",953,2,"T77",949,0.995802728226653,0.0168763668906486,0.00835930936601592,1.00842977647546,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","7",302,2,"T77",299,0.990066225165563,0.0346064917213551,0.0196701899039518,1.02006486970138,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","10",199,3,"T89",119,0.597989949748744,0.4770639800151,0.499734855180425,1.99893998283782,"mixed"
"GSE154600","T_NK_like","A_uncorrected","1",1312,2,"T89",1263,0.96265243902439,0.0990537986466311,0.0719054413295657,1.07747641730879,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","6",319,2,"T90",176,0.551724137931035,0.427345980654768,0.494649227110583,1.97882352941176,"mixed"
"GSE154600","T_NK_like","A_uncorrected","9",205,2,"T89",204,0.995121951219512,0.0191570198554732,0.00970850684116598,1.0098036859937,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","5",610,2,"T90",605,0.991803278688525,0.0295384229113139,0.0162590701424348,1.01652779674908,"strong_sample_dominance"
"GSE154600","T_NK_like","A_uncorrected","4",763,2,"T90",755,0.989515072083879,0.0361729674917604,0.0207499884054285,1.02118967389302,"strong_sample_dominance"
