dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE154600","T_NK_like","C_RPCA","4",560,5,"T59",486,0.867857142857143,0.339136503873592,0.240886479591837,1.31732602979106,"strong_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","0",1383,5,"T76",1037,0.749819233550253,0.560653317265624,0.42127183248296,1.72792695453268,"moderate_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","1",1107,5,"T59",363,0.327913279132791,0.925022176908995,0.759612191123417,4.15994473543959,"mixed"
"GSE154600","T_NK_like","C_RPCA","15",39,2,"T59",38,0.974358974358974,0.0740922812088457,0.0499671268902038,1.05259515570934,"moderate_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","14",98,2,"T59",94,0.959183673469388,0.105956157196275,0.0783007080383175,1.08495255309535,"moderate_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","13",136,4,"T90",44,0.323529411764706,0.807221371931846,0.714532871972318,3.5030303030303,"mixed"
"GSE154600","T_NK_like","C_RPCA","2",1004,5,"T89",905,0.901394422310757,0.280994569812404,0.184743099315884,1.22660721934504,"strong_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","11",202,5,"T77",82,0.405940594059406,0.837269215457665,0.713704538770709,3.49289505221709,"mixed"
"GSE154600","T_NK_like","C_RPCA","10",320,5,"T59",174,0.54375,0.737693909043133,0.61880859375,2.62335399907773,"mixed"
"GSE154600","T_NK_like","C_RPCA","7",454,5,"T77",336,0.740088105726872,0.509815839114321,0.41917172854121,1.72167927964049,"moderate_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","9",337,5,"T76",154,0.456973293768546,0.796776790203965,0.676346538227862,3.08972440623555,"mixed"
"GSE154600","T_NK_like","C_RPCA","5",544,5,"T90",149,0.273897058823529,0.973071067058299,0.782770599048443,4.60342842920698,"mixed"
"GSE154600","T_NK_like","C_RPCA","12",191,5,"T89",176,0.921465968586387,0.228118360898537,0.148734957923303,1.17472226694574,"strong_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","8",381,4,"T90",366,0.960629921259842,0.124685568922565,0.0764943752109727,1.08283043779885,"strong_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","6",488,5,"T77",468,0.959016393442623,0.137798914988447,0.0797248723461436,1.08663156261692,"strong_sample_dominance"
"GSE154600","T_NK_like","C_RPCA","3",614,3,"T90",599,0.97557003257329,0.0809983434260253,0.0479315430402445,1.05034463928498,"strong_sample_dominance"
