cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Endothelial_like__A_uncorrected__0",5.65012841093827e-25,4.94380098695333,0.282,0.005,1.89494006646048e-20,"GPRIN3"
"Endothelial_like__A_uncorrected__0",7.89827756749884e-20,4.0918945047618,0.246,0.01,2.64892433058776e-15,"IGF2.1"
"Endothelial_like__A_uncorrected__0",1.88634290294077e-24,3.75487106040438,0.345,0.026,6.32641682788277e-20,"ADAMTS7"
"Endothelial_like__A_uncorrected__0",8.41070223318269e-72,3.58698643828102,0.937,0.128,2.82078131496481e-67,"LY6H"
"Endothelial_like__A_uncorrected__0",1.62213649047685e-24,3.51923188655368,0.317,0.016,5.44032136176125e-20,"COL22A1"
"Endothelial_like__A_uncorrected__0",4.4066855327888e-20,3.45348859962618,0.261,0.013,1.47791419398671e-15,"COL27A1"
"Endothelial_like__A_uncorrected__0",3.30488055141769e-13,3.31553223931808,0.204,0.021,1.10839083933446e-08,"CYP46A1"
"Endothelial_like__A_uncorrected__0",7.5792580870092e-16,3.21601756852355,0.204,0.01,2.54193157722114e-11,"AC087627.1"
"Endothelial_like__A_uncorrected__0",2.08591458470736e-41,3.20358069609011,0.542,0.034,6.99574033419153e-37,"PRND"
"Endothelial_like__A_uncorrected__0",1.51821944168438e-41,3.01432488868981,0.592,0.05,5.09180436352108e-37,"NID2"
"Endothelial_like__A_uncorrected__0",1.47717153991252e-27,2.99448189066329,0.408,0.034,4.95413791055861e-23,"DPEP1"
"Endothelial_like__A_uncorrected__0",7.66703809679504e-15,2.99328977386329,0.239,0.026,2.57137123690312e-10,"HOXB5"
"Endothelial_like__A_uncorrected__0",2.20190498422652e-32,2.98997630730197,0.5,0.052,7.38474893609891e-28,"PRSS2"
"Endothelial_like__A_uncorrected__0",1.75014066762784e-43,2.98052218831327,0.669,0.086,5.86962177109025e-39,"CHST1"
"Endothelial_like__A_uncorrected__0",2.62581229316069e-49,2.88666921209274,0.739,0.092,8.80644926880233e-45,"APLN"
"Endothelial_like__A_uncorrected__0",6.3146247103463e-62,2.83614724740787,0.958,0.22,2.11779883535594e-57,"PGF"
"Endothelial_like__A_uncorrected__0",5.30475493019223e-19,2.72783630027904,0.296,0.029,1.77910870848787e-14,"NETO2"
"Endothelial_like__A_uncorrected__0",3.06845424510883e-11,2.59783460837404,0.225,0.039,1.0290981847246e-06,"OSBPL10"
"Endothelial_like__A_uncorrected__0",2.6023987089552e-16,2.54431754345997,0.303,0.045,8.72792479009394e-12,"PALD1"
