cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Endothelial_like__B_harmony_sample__0",1.88893669413761e-17,4.34523417805288,0.244,0.012,6.33511588479872e-13,"MMRN1"
"Endothelial_like__B_harmony_sample__0",1.51313588163094e-17,3.94390153792647,0.313,0.043,5.07475511981383e-13,"TFPI"
"Endothelial_like__B_harmony_sample__0",1.84772118995715e-43,3.80989712955083,0.622,0.065,6.1968873268783e-39,"ACKR1"
"Endothelial_like__B_harmony_sample__0",1.52369645505424e-22,3.65608153244819,0.328,0.022,5.1101731709609e-18,"SLCO2A1"
"Endothelial_like__B_harmony_sample__0",1.3827031680127e-18,3.2876771482245,0.318,0.04,4.637309884881e-14,"NR2F2"
"Endothelial_like__B_harmony_sample__0",1.72397646509805e-21,3.21281277752865,0.398,0.068,5.78187226864585e-17,"POSTN"
"Endothelial_like__B_harmony_sample__0",6.07112297754689e-16,2.80155919542624,0.299,0.046,2.03613322420968e-11,"HAPLN3"
"Endothelial_like__B_harmony_sample__0",1.28785234324003e-46,2.70458435249632,0.756,0.13,4.31919918875843e-42,"RAMP3"
"Endothelial_like__B_harmony_sample__0",1.08173248944394e-32,2.47030266508445,0.806,0.322,3.62791442309707e-28,"MGP"
"Endothelial_like__B_harmony_sample__0",3.07355371671935e-12,2.33468065176791,0.244,0.04,1.03080844551333e-07,"ZNF385D"
"Endothelial_like__B_harmony_sample__0",2.73036395147558e-12,2.32463140344164,0.274,0.056,9.15709462045878e-08,"TSPAN7"
"Endothelial_like__B_harmony_sample__0",5.69733339193578e-30,2.15609461531598,0.642,0.158,1.91077167298742e-25,"PRCP"
"Endothelial_like__B_harmony_sample__0",1.87345824611379e-12,2.11790608901744,0.219,0.025,6.28320426581642e-08,"IL33"
"Endothelial_like__B_harmony_sample__0",3.07989062608486e-08,2.10979282201701,0.239,0.068,0.00103293371817634,"IFI44L"
"Endothelial_like__B_harmony_sample__0",5.55921015201369e-13,2.00235602744036,0.303,0.065,1.86444790078235e-08,"CFI"
"Endothelial_like__B_harmony_sample__0",8.94358651431504e-05,1.98803402964637,0.219,0.099,1,"CXCL3"
"Endothelial_like__B_harmony_sample__0",2.58887296978829e-16,1.97689687851361,0.393,0.093,8.68256216607598e-12,"NFKBIZ"
"Endothelial_like__B_harmony_sample__0",8.48047549203247e-19,1.9714321135299,0.527,0.176,2.84418187051785e-14,"PCDH17"
"Endothelial_like__B_harmony_sample__0",2.53376298029804e-10,1.921215635819,0.259,0.062,8.49773428332355e-06,"CFH"
"Endothelial_like__B_harmony_sample__0",7.5062459831317e-09,1.90813184492984,0.289,0.099,0.000251744477782271,"PLPP3"
"Endothelial_like__B_harmony_sample__1",1.68723850520253e-21,4.10316484442141,0.266,0.01,5.65866049874826e-17,"GPRIN3"
"Endothelial_like__B_harmony_sample__1",1.22561914076542e-19,4.07798864694566,0.245,0.01,4.11048147429906e-15,"IGF2.1"
"Endothelial_like__B_harmony_sample__1",7.86178559482109e-23,3.43849254887507,0.308,0.018,2.6366856527911e-18,"COL22A1"
"Endothelial_like__B_harmony_sample__1",2.03519462045875e-21,3.39284282873078,0.329,0.031,6.82563571809454e-17,"ADAMTS7"
"Endothelial_like__B_harmony_sample__1",1.0688968854731e-64,3.35888955602628,0.902,0.139,3.58486637449967e-60,"LY6H"
"Endothelial_like__B_harmony_sample__1",1.51296759842126e-39,3.1305254553196,0.531,0.037,5.07419073158523e-35,"PRND"
"Endothelial_like__B_harmony_sample__1",2.35121902154383e-13,3.08822141844513,0.238,0.034,7.8855183544537e-09,"OSBPL10"
"Endothelial_like__B_harmony_sample__1",8.90443427669431e-41,2.93344995530583,0.587,0.05,2.98636916771774e-36,"NID2"
"Endothelial_like__B_harmony_sample__1",5.21980102761874e-17,2.9129966150003,0.245,0.018,1.75061686864277e-12,"COL27A1"
"Endothelial_like__B_harmony_sample__1",3.13326612926413e-61,2.86476916478126,0.951,0.22,1.0508347944326e-56,"PGF"
"Endothelial_like__B_harmony_sample__1",3.04373499480346e-40,2.84307488462715,0.65,0.092,1.02080784255718e-35,"CHST1"
"Endothelial_like__B_harmony_sample__1",8.52034493439079e-26,2.80196737215667,0.399,0.037,2.85755328409598e-21,"DPEP1"
"Endothelial_like__B_harmony_sample__1",5.17330298648084e-20,2.78659917295041,0.301,0.026,1.73502235560594e-15,"NETO2"
"Endothelial_like__B_harmony_sample__1",1.27261970899727e-43,2.75042713503223,0.706,0.102,4.26811198003505e-39,"APLN"
"Endothelial_like__B_harmony_sample__1",8.49528307851814e-27,2.65095816382012,0.469,0.063,2.84914803887341e-22,"PRSS2"
"Endothelial_like__B_harmony_sample__1",1.22765987263626e-23,2.58705552761977,0.469,0.084,4.1173256808475e-19,"AFAP1L1"
"Endothelial_like__B_harmony_sample__1",8.24458301656587e-41,2.58089554005144,0.685,0.092,2.76506825209586e-36,"TNFAIP8L1"
"Endothelial_like__B_harmony_sample__1",1.14051443839455e-35,2.55673388930263,0.664,0.129,3.82505732348765e-31,"TP53I11"
"Endothelial_like__B_harmony_sample__1",2.65236267324207e-12,2.55610987751297,0.217,0.029,8.89549393351924e-08,"KCNQ3"
"Endothelial_like__B_harmony_sample__1",3.13789028644905e-25,2.54726166102781,0.503,0.092,1.05238564426928e-20,"LBH"
"Endothelial_like__B_harmony_sample__2",0.0496770304184247,1.63392006256077,0.326,0.319,1,"S100A4"
"Endothelial_like__B_harmony_sample__2",0.0409451999342707,1.45274327670298,0.206,0.358,1,"CCL4"
"Endothelial_like__B_harmony_sample__2",0.0143105881778196,1.10024298479917,0.518,0.637,1,"UQCRH"
"Endothelial_like__B_harmony_sample__2",4.79139554323248e-12,1.03330959278233,0.943,0.971,1.60693823728931e-07,"RPL35A"
