cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Epithelial_like__A_uncorrected__0",8.75151061976101e-152,6.41948143483812,0.202,0.004,2.93508163165545e-147,"ALDH1A2"
"Epithelial_like__A_uncorrected__0",3.58985073846748e-260,5.64828046656306,0.367,0.013,1.20396414066722e-255,"SAP25"
"Epithelial_like__A_uncorrected__0",9.31307689881842e-176,5.1278506712638,0.272,0.013,3.12341973032572e-171,"CITED4"
"Epithelial_like__A_uncorrected__0",6.21825321823117e-110,3.51955411452369,0.247,0.03,2.08547776433037e-105,"MMD"
"Epithelial_like__A_uncorrected__0",1.31158965119357e-186,3.51840715001181,0.652,0.211,4.398809372173e-182,"FABP5"
"Epithelial_like__A_uncorrected__0",0,3.48702378550007,0.888,0.285,0,"NDUFA13"
"Epithelial_like__A_uncorrected__0",4.4244470982785e-98,3.48095231606873,0.24,0.033,1.48387106782064e-93,"EPB41L5"
"Epithelial_like__A_uncorrected__0",5.03633446011711e-188,3.33820073421898,0.452,0.068,1.68908585123408e-183,"SMIM22"
"Epithelial_like__A_uncorrected__0",2.07622348100233e-151,3.3168591877736,0.376,0.058,6.96323831058563e-147,"UFM1"
"Epithelial_like__A_uncorrected__0",3.47320960273067e-95,3.27038435669125,0.263,0.044,1.16484503656381e-90,"KLK8"
"Epithelial_like__A_uncorrected__0",1.03043867063138e-169,3.23476451002133,0.467,0.09,3.45588521356351e-165,"PPP1R14A"
"Epithelial_like__A_uncorrected__0",8.93065649827312e-103,3.21892319954479,0.279,0.046,2.99516357639084e-98,"H1F0"
"Epithelial_like__A_uncorrected__0",5.88033039855741e-22,3.20426348051855,0.207,0.094,1.97214520906818e-17,"S100A9"
"Epithelial_like__A_uncorrected__0",5.84424156341921e-195,3.04106406232763,0.671,0.223,1.96004173553954e-190,"IGFBP2"
"Epithelial_like__A_uncorrected__0",2.26931278293211e-76,3.01776021239718,0.206,0.032,7.61082121139772e-72,"NDUFA7"
"Epithelial_like__A_uncorrected__0",1.09565880755004e-95,2.89379546243712,0.322,0.072,3.67462050876131e-91,"THOC3"
"Epithelial_like__A_uncorrected__0",1.10803112662882e-66,2.78489225263448,0.277,0.073,3.71611479248773e-62,"SLC40A1"
"Epithelial_like__A_uncorrected__0",4.32222191503594e-80,2.7789673486781,0.292,0.07,1.44958678586475e-75,"EMX2OS"
"Epithelial_like__A_uncorrected__0",0,2.77383350123978,0.962,0.577,0,"COX6B1"
"Epithelial_like__A_uncorrected__0",1.90373536902765e-69,2.74355025120734,0.25,0.057,6.38474768064495e-65,"TNNI3"
"Epithelial_like__A_uncorrected__1",2.65788252246022e-112,3.14870878636125,0.372,0.078,8.9140064038271e-108,"IGHGP"
"Epithelial_like__A_uncorrected__1",1.49853179245039e-93,2.89918490347345,0.293,0.056,5.02577592552013e-89,"PCP4"
"Epithelial_like__A_uncorrected__1",3.91744315285551e-162,2.55653965340352,0.661,0.202,1.31383208460468e-157,"IGHG1"
"Epithelial_like__A_uncorrected__1",1.00863787166819e-228,2.50963283364293,0.818,0.265,3.38276969400076e-224,"IGLC3"
"Epithelial_like__A_uncorrected__1",5.17439250409343e-78,2.39467766754531,0.318,0.082,1.73538775802285e-73,"LY6K"
"Epithelial_like__A_uncorrected__1",3.65618430359333e-300,2.25816859027135,1,0.782,1.22621109173913e-295,"IGKC"
"Epithelial_like__A_uncorrected__1",5.14363282435472e-146,2.25803394774718,0.632,0.218,1.72507157663209e-141,"SNHG25"
"Epithelial_like__A_uncorrected__1",1.33423556736548e-37,2.20235767634881,0.222,0.074,4.47475924583035e-33,"ADIRF"
"Epithelial_like__A_uncorrected__1",8.46529028413699e-77,2.18876254642257,0.371,0.116,2.83908905549386e-72,"SNHG19"
"Epithelial_like__A_uncorrected__1",5.20262973970341e-115,2.1771761528623,0.499,0.148,1.74485796210173e-110,"TPPP3"
"Epithelial_like__A_uncorrected__1",3.24370078405143e-151,2.11448138537833,0.75,0.301,1.08787236895517e-146,"IGHG4"
"Epithelial_like__A_uncorrected__1",4.8379053706675e-48,2.06535309231055,0.281,0.097,1.62253670321447e-43,"SELENBP1"
"Epithelial_like__A_uncorrected__1",2.47058199504241e-211,2.03249802734584,0.879,0.379,8.28583789497324e-207,"IGHG3"
"Epithelial_like__A_uncorrected__1",6.60826074776463e-77,1.95461929620612,0.496,0.204,2.2162784895853e-72,"PTGDS"
"Epithelial_like__A_uncorrected__1",1.28627443756594e-73,1.94106811131412,0.366,0.11,4.31390720870866e-69,"ZSCAN16-AS1"
"Epithelial_like__A_uncorrected__1",1.44728216218272e-180,1.88445375927802,0.831,0.416,4.85389491552841e-176,"UQCRH"
