cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Fibroblast_like__B_harmony_sample__0",0,4.59663853034387,0.485,0.077,0,"GZMK"
"Fibroblast_like__B_harmony_sample__0",9.55389027939041e-217,4.00172684559222,0.603,0.388,3.20418372190196e-212,"CCL4"
"Fibroblast_like__B_harmony_sample__0",3.30313013072065e-151,3.93989613951877,0.237,0.046,1.10780378324109e-146,"CD8B"
"Fibroblast_like__B_harmony_sample__0",2.32706766225958e-73,3.79363308425384,0.297,0.154,7.80451952568617e-69,"CCL4L2"
"Fibroblast_like__B_harmony_sample__0",4.48640524740121e-151,3.70054050944824,0.246,0.051,1.50465059187342e-146,"CD8A"
"Fibroblast_like__B_harmony_sample__0",3.99770095707317e-219,3.68635184151535,0.371,0.094,1.3407489469832e-214,"CD69"
"Fibroblast_like__B_harmony_sample__0",9.59720015394632e-304,3.5081273912221,0.46,0.111,3.21870898763052e-299,"GZMA"
"Fibroblast_like__B_harmony_sample__0",5.63743330976134e-117,3.40042703772719,0.215,0.05,1.89068238342776e-112,"GZMM"
"Fibroblast_like__B_harmony_sample__0",0,3.34705974989918,0.891,0.54,0,"CXCR4"
"Fibroblast_like__B_harmony_sample__0",2.1635484089838e-112,3.331142889122,0.236,0.066,7.25610865404986e-108,"GZMH"
"Fibroblast_like__B_harmony_sample__0",0,3.22425665341601,0.774,0.399,0,"CCL5"
"Fibroblast_like__B_harmony_sample__0",2.96520814846184e-236,3.22011284571357,0.401,0.104,9.94471508831132e-232,"PTPRC"
"Fibroblast_like__B_harmony_sample__0",3.40705821960886e-252,3.1280484998111,0.42,0.107,1.14265918569242e-247,"CD2"
"Fibroblast_like__B_harmony_sample__0",1.89965998315281e-170,3.11991649832345,0.324,0.089,6.37107965149788e-166,"FYB1"
"Fibroblast_like__B_harmony_sample__0",1.06828222380638e-114,3.04818129382095,0.224,0.056,3.58280492220182e-110,"SAMSN1"
"Fibroblast_like__B_harmony_sample__0",2.15482280597491e-187,3.04671568928693,0.387,0.127,7.22684472667864e-183,"DUSP4"
"Fibroblast_like__B_harmony_sample__0",5.68224127497194e-125,3.03764259380777,0.265,0.076,1.90571007880009e-120,"CTSW"
"Fibroblast_like__B_harmony_sample__0",1.01289443749499e-116,3.03507711886943,0.254,0.075,3.39704536447069e-112,"CD3E"
"Fibroblast_like__B_harmony_sample__0",3.04466905898205e-221,3.01789620382699,0.511,0.231,1.0211211090014e-216,"TUBA4A"
"Fibroblast_like__B_harmony_sample__0",2.90365652114649e-95,2.90213166395964,0.229,0.073,9.7382832406211e-91,"IL2RG"
"Fibroblast_like__B_harmony_sample__1",4.5289268406081e-289,2.51509136335295,0.477,0.102,1.51891148380315e-284,"EPYC"
"Fibroblast_like__B_harmony_sample__1",0,2.40459731528856,0.588,0.137,0,"SFRP4"
"Fibroblast_like__B_harmony_sample__1",0,2.23462282457247,0.625,0.134,0,"PLAU"
"Fibroblast_like__B_harmony_sample__1",8.02352295312839e-244,2.03806720169877,0.465,0.11,2.6909291280202e-239,"C1QTNF3"
"Fibroblast_like__B_harmony_sample__1",4.96372024294713e-294,2.02252618947009,0.475,0.09,1.66473249507961e-289,"PDGFRL"
"Fibroblast_like__B_harmony_sample__1",1.70838546563909e-267,2.00732462423305,0.545,0.149,5.72958317466039e-263,"ACTG2"
"Fibroblast_like__B_harmony_sample__1",2.67153328224214e-242,2.00690755328394,0.405,0.079,8.95978832198369e-238,"SLC12A8"
"Fibroblast_like__B_harmony_sample__1",0,1.90085932949676,0.878,0.256,0,"COL8A1"
"Fibroblast_like__B_harmony_sample__1",0,1.88413003581079,0.559,0.118,0,"COL10A1"
"Fibroblast_like__B_harmony_sample__1",0,1.87424517680196,0.968,0.376,0,"CTHRC1"
"Fibroblast_like__B_harmony_sample__1",6.28635992566547e-129,1.84381025563975,0.217,0.038,2.10831939186969e-124,"BMP4"
"Fibroblast_like__B_harmony_sample__1",7.6400051717803e-236,1.81284512428622,0.396,0.074,2.56230493451168e-231,"IQCA1"
