cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Myeloid_like__A_uncorrected__0",6.28971171411481e-236,1.82606956359784,0.898,0.646,2.10944351467982e-231,"APOE"
"Myeloid_like__A_uncorrected__0",2.06071718227001e-80,1.65623087796154,0.5,0.297,6.91123328589715e-76,"MS4A4A"
"Myeloid_like__A_uncorrected__0",4.17927388504949e-25,1.60779297846016,0.235,0.136,1.4016448755679e-20,"CH25H"
"Myeloid_like__A_uncorrected__0",3.28507371109996e-76,1.55340507767779,0.555,0.368,1.10174802122871e-71,"CTSL"
"Myeloid_like__A_uncorrected__0",7.97451550854165e-45,1.4693148473186,0.282,0.137,2.6744930112547e-40,"RARRES1"
"Myeloid_like__A_uncorrected__0",5.17791826640188e-202,1.43493469391045,0.944,0.761,1.73657022818586e-197,"C1QA"
"Myeloid_like__A_uncorrected__0",1.9443898230738e-149,1.43490525922098,0.644,0.296,6.52109458862491e-145,"MMP7"
"Myeloid_like__A_uncorrected__0",2.4836655924922e-156,1.39163262266989,0.909,0.754,8.32971766410035e-152,"C1QB"
"Myeloid_like__A_uncorrected__0",2.32105440775172e-33,1.33837652177974,0.267,0.143,7.78435227271772e-29,"LCN2"
"Myeloid_like__A_uncorrected__0",4.53507016631625e-22,1.32106524821279,0.227,0.134,1.52097183237914e-17,"GPR34"
"Myeloid_like__A_uncorrected__0",3.74853144582312e-17,1.31101254458893,0.243,0.165,1.25718247630016e-12,"RB1"
"Myeloid_like__A_uncorrected__0",1.03661728082074e-117,1.29019206684477,0.725,0.506,3.47660703641658e-113,"C1QC"
"Myeloid_like__A_uncorrected__0",2.78797099282075e-16,1.27184668630775,0.206,0.13,9.35029711572223e-12,"ACP5"
"Myeloid_like__A_uncorrected__0",2.84745661001633e-67,1.2664078077456,0.691,0.546,9.54979997867278e-63,"IFI27"
"Myeloid_like__A_uncorrected__0",7.81327520585541e-27,1.25619561841241,0.29,0.179,2.62041623853979e-22,"CD163"
"Myeloid_like__A_uncorrected__0",1.25123964296148e-37,1.24511234377512,0.348,0.208,4.19640751456422e-33,"LGMN"
"Myeloid_like__A_uncorrected__0",6.90595420350725e-111,1.23554227850284,0.782,0.532,2.31611892077226e-106,"RNASE1"
"Myeloid_like__A_uncorrected__0",2.7472291689677e-16,1.2178541440297,0.218,0.141,9.21365718688386e-12,"TFDP2"
"Myeloid_like__A_uncorrected__0",1.28841584578169e-20,1.20195082647358,0.297,0.204,4.32108906358262e-16,"MSR1"
"Myeloid_like__A_uncorrected__0",6.28401979081022e-42,1.18363410874264,0.539,0.406,2.10753455744193e-37,"FABP5"
"Myeloid_like__A_uncorrected__1",0,3.86009423911111,0.494,0.024,0,"COMP"
"Myeloid_like__A_uncorrected__1",5.56491928627863e-294,3.65654456474782,0.317,0.017,1.86636263023213e-289,"CXCL14"
"Myeloid_like__A_uncorrected__1",2.24973524977188e-215,3.37071433736516,0.257,0.018,7.54516208068492e-211,"MTRNR2L1"
"Myeloid_like__A_uncorrected__1",0,2.9903655662575,0.594,0.064,0,"AEBP1"
"Myeloid_like__A_uncorrected__1",1.69976819757082e-299,2.98429971689605,0.385,0.035,5.700682581013e-295,"SFRP2"
"Myeloid_like__A_uncorrected__1",0,2.92161261424615,0.67,0.084,0,"TIMP3"
"Myeloid_like__A_uncorrected__1",1.3786992225023e-163,2.89856157987984,0.221,0.021,4.62388145242821e-159,"COL11A1"
"Myeloid_like__A_uncorrected__1",1.07339270857251e-164,2.89679115131149,0.23,0.024,3.59994446601049e-160,"COL6A3"
"Myeloid_like__A_uncorrected__1",1.57753253042174e-143,2.62230690523474,0.216,0.025,5.29072860052843e-139,"CPE"
"Myeloid_like__A_uncorrected__1",2.12681210638854e-153,2.6068239496694,0.245,0.033,7.1329024424059e-149,"MTRNR2L8"
"Myeloid_like__A_uncorrected__1",0,2.54424346653911,0.983,0.334,0,"COL1A1"
"Myeloid_like__A_uncorrected__1",2.03747256907683e-232,2.47038174218974,0.382,0.056,6.83327550216988e-228,"COL6A1"
"Myeloid_like__A_uncorrected__1",3.85404394643414e-257,2.45894765301443,0.462,0.081,1.29256925875508e-252,"HTRA1"
"Myeloid_like__A_uncorrected__1",0,2.45455183123941,0.635,0.108,0,"BGN"
"Myeloid_like__A_uncorrected__1",3.50672346725896e-180,2.43728277972719,0.292,0.04,1.17608491644931e-175,"HSPG2"
"Myeloid_like__A_uncorrected__1",5.70389876956192e-170,2.40788583995838,0.294,0.044,1.91297356933568e-165,"COL6A2"
"Myeloid_like__A_uncorrected__1",1.50087388671841e-263,2.37997950877175,0.455,0.074,5.03363084127619e-259,"NBL1"
"Myeloid_like__A_uncorrected__1",3.07348928774374e-160,2.36595099522536,0.264,0.037,1.0307868373235e-155,"SPARCL1"
"Myeloid_like__A_uncorrected__1",0,2.33456970984911,0.886,0.243,0,"COL1A2"
"Myeloid_like__A_uncorrected__1",7.36207828405313e-163,2.29070188357412,0.293,0.047,2.46909381490574e-158,"NDUFA4L2"
