cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Myeloid_like__B_harmony_sample__0",0,3.18386214483242,0.474,0.043,0,"COMP"
"Myeloid_like__B_harmony_sample__0",2.31425754380352e-217,3.06973718536371,0.301,0.03,7.76155695040825e-213,"CXCL14"
"Myeloid_like__B_harmony_sample__0",1.61416016774938e-172,2.94564234295286,0.251,0.027,5.41357037059786e-168,"MTRNR2L1"
"Myeloid_like__B_harmony_sample__0",0,2.68614395001284,0.581,0.083,0,"AEBP1"
"Myeloid_like__B_harmony_sample__0",2.23378560201661e-141,2.68337314451811,0.231,0.03,7.4916701520433e-137,"COL6A3"
"Myeloid_like__B_harmony_sample__0",1.56371333912871e-134,2.64453857191895,0.218,0.028,5.24438179676985e-130,"COL11A1"
"Myeloid_like__B_harmony_sample__0",7.13756028814486e-234,2.60937091544509,0.373,0.049,2.39379496943802e-229,"SFRP2"
"Myeloid_like__B_harmony_sample__0",0,2.5223536173085,0.635,0.109,0,"TIMP3"
"Myeloid_like__B_harmony_sample__0",6.24223197936512e-130,2.40883148049409,0.244,0.04,2.09351976123947e-125,"MTRNR2L8"
"Myeloid_like__B_harmony_sample__0",3.9321803526454e-116,2.3299718637985,0.212,0.032,1.31877464667021e-111,"CPE"
"Myeloid_like__B_harmony_sample__0",4.68546200061042e-220,2.29541764274587,0.463,0.093,1.57141024576472e-215,"HTRA1"
"Myeloid_like__B_harmony_sample__0",0,2.24355723768992,0.95,0.361,0,"COL1A1"
"Myeloid_like__B_harmony_sample__0",2.54169853332202e-140,2.23651363826919,0.291,0.053,8.52434854105538e-136,"COL6A2"
"Myeloid_like__B_harmony_sample__0",5.09069143403847e-55,2.21317661119603,0.202,0.063,1.70731609314782e-50,"FCGBP"
"Myeloid_like__B_harmony_sample__0",5.69470285533356e-145,2.19865587316866,0.286,0.049,1.90988944362177e-140,"HSPG2"
"Myeloid_like__B_harmony_sample__0",1.9496221070689e-217,2.19393579520331,0.45,0.086,6.53864262268769e-213,"NBL1"
"Myeloid_like__B_harmony_sample__0",6.90980569681201e-299,2.13599274511517,0.619,0.127,2.31741063459681e-294,"BGN"
"Myeloid_like__B_harmony_sample__0",4.64558449105238e-125,2.12826790341102,0.256,0.045,1.55803612660915e-120,"SPARCL1"
"Myeloid_like__B_harmony_sample__0",4.71051474098327e-164,2.11081424938104,0.359,0.071,1.57981243383097e-159,"COL6A1"
"Myeloid_like__B_harmony_sample__0",0,2.06507103868395,0.853,0.27,0,"COL1A2"
"Myeloid_like__B_harmony_sample__1",4.77407955841844e-21,1.51241775069826,0.204,0.107,1.60113080230238e-16,"MMP19"
"Myeloid_like__B_harmony_sample__1",6.01121918843089e-48,1.43090814645741,0.324,0.146,2.01604269141595e-43,"SDS"
"Myeloid_like__B_harmony_sample__1",7.34043755718013e-29,1.42493812232642,0.202,0.089,2.46183594792707e-24,"LHFPL2"
"Myeloid_like__B_harmony_sample__1",1.49377057817574e-30,1.4043916138384,0.276,0.142,5.00980776508579e-26,"FNIP2"
"Myeloid_like__B_harmony_sample__1",5.70685954357081e-26,1.31987154457178,0.25,0.13,1.91396655372278e-21,"CLN8"
"Myeloid_like__B_harmony_sample__1",2.00328001315012e-174,1.27496751807862,0.965,0.708,6.71860050810289e-170,"SPP1"
"Myeloid_like__B_harmony_sample__1",3.67363844037933e-50,1.26741556127444,0.585,0.375,1.23206486013442e-45,"CTSL"
"Myeloid_like__B_harmony_sample__1",2.69516199490935e-21,1.26663979735742,0.222,0.119,9.03903429852698e-17,"AXL"
"Myeloid_like__B_harmony_sample__1",1.78249396172795e-69,1.24348004215324,0.577,0.336,5.97812824884321e-65,"TREM2"
"Myeloid_like__B_harmony_sample__1",5.58485894249973e-50,1.23262560456582,0.37,0.175,1.87304999213556e-45,"PKIB"
"Myeloid_like__B_harmony_sample__1",5.70704745189092e-32,1.23253113508866,0.259,0.124,1.91402957441518e-27,"SDSL"
"Myeloid_like__B_harmony_sample__1",2.55364053646818e-30,1.19620032609404,0.272,0.136,8.56439963120697e-26,"GNB4"
"Myeloid_like__B_harmony_sample__1",2.42195346397776e-120,1.14913143810466,0.7,0.308,8.12274752748862e-116,"MMP7"
"Myeloid_like__B_harmony_sample__1",1.41504563857122e-30,1.13050981864621,0.373,0.221,4.74578006264015e-26,"NFKB1"
"Myeloid_like__B_harmony_sample__1",8.53058435981217e-60,1.12917704512996,0.634,0.397,2.86098738259381e-55,"FABP5"
"Myeloid_like__B_harmony_sample__1",4.73296251666625e-19,1.09464504156714,0.213,0.116,1.58734096883953e-14,"NFKBID"
"Myeloid_like__B_harmony_sample__1",9.49338750590907e-30,1.0841087033937,0.32,0.175,3.18389230173178e-25,"PHLDA1"
