cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"T_NK_like__B_harmony_sample__0",7.80943961746895e-64,1.96800345727224,0.281,0.119,2.61912985890674e-59,"MT1X"
"T_NK_like__B_harmony_sample__0",1.76532738306028e-94,1.95770545220536,0.255,0.075,5.92055497730758e-90,"YBX3"
"T_NK_like__B_harmony_sample__0",6.16322649959626e-39,1.71091336564577,0.247,0.122,2.06702290343459e-34,"MT1E"
"T_NK_like__B_harmony_sample__0",3.22791602520647e-107,1.66437577921551,0.367,0.136,1.08257847653375e-102,"CMC1"
"T_NK_like__B_harmony_sample__0",2.5004166212026e-58,1.56606128536742,0.229,0.087,8.38589726418928e-54,"PPP1R14B"
"T_NK_like__B_harmony_sample__0",1.44768123991885e-60,1.52592593444668,0.23,0.084,4.85523334243982e-56,"CRTAM"
"T_NK_like__B_harmony_sample__0",8.54734386325284e-77,1.5062349870369,0.276,0.099,2.86660818485774e-72,"TRGC2"
"T_NK_like__B_harmony_sample__0",4.7445215019615e-73,1.47802041510632,0.305,0.124,1.59121762132785e-68,"RBM38"
"T_NK_like__B_harmony_sample__0",6.8247651660053e-71,1.33173348239896,0.32,0.136,2.28888974137486e-66,"LYAR"
"T_NK_like__B_harmony_sample__0",1.19361193597465e-44,1.30897821508634,0.229,0.1,4.00313571087178e-40,"LYST"
"T_NK_like__B_harmony_sample__0",1.79920010246602e-78,1.26853302443172,0.453,0.232,6.03415730365053e-74,"KLF2"
"T_NK_like__B_harmony_sample__0",1.75178085138196e-45,1.2218462660008,0.206,0.083,5.87512261936481e-41,"PIP4K2A"
"T_NK_like__B_harmony_sample__0",1.00669719935082e-44,1.17360015728066,0.28,0.138,3.37626106718277e-40,"UBE2S"
"T_NK_like__B_harmony_sample__0",1.28355102172336e-50,1.16402189077987,0.271,0.121,4.30477341665579e-46,"LINC00513"
"T_NK_like__B_harmony_sample__0",1.02275028411053e-33,1.1614484646923,0.203,0.096,3.4300999028499e-29,"PARP8"
