dataset_id,sample_id,percent_mt_available,max_percent_mt,n_before,n_after_mt_qc
"GSE158722","P01_Time2",FALSE,NA,162,162
"GSE158722","P01_Time1",FALSE,NA,215,215
"GSE158722","P02_Time1",FALSE,NA,94,94
"GSE158722","P02_Time3",FALSE,NA,204,204
"GSE158722","P02_Time2",FALSE,NA,73,73
"GSE158722","P03_Time1",FALSE,NA,88,88
"GSE158722","P03_Time3",FALSE,NA,143,143
"GSE158722","P03_Time2",FALSE,NA,122,122
"GSE158722","P04_Time3",TRUE,17.2540804430195,1803,1606
"GSE158722","P04_Time2",TRUE,25,5120,1432
"GSE158722","P04_Time1",TRUE,25,4679,3015
"GSE158722","P05_Time3",TRUE,25,4094,2066
"GSE158722","P05_Time2",TRUE,25,3774,2406
"GSE158722","P05_Time1",TRUE,25,3256,2476
"GSE158722","P06_Time3",TRUE,25,863,625
"GSE158722","P06_Time2",TRUE,25,171,108
"GSE158722","P06_Time1",TRUE,25,1267,992
"GSE158722","P07_Time2",TRUE,11.613505907819,9462,8281
"GSE158722","P07_Time1",TRUE,21.5067920820327,4354,3765
"GSE158722","P08_Time2",TRUE,2.05485335763963,4540,3726
"GSE158722","P08_Time3",TRUE,13.8076869074398,3834,3298
"GSE158722","P08_Time1",TRUE,1.68540192608547,4891,4302
"GSE158722","P09_Time3",TRUE,25,1418,706
"GSE158722","P09_Time1",TRUE,25,1206,441
"GSE158722","P09_Time2",TRUE,25,1742,1170
"GSE158722","P10_Pre-treatment",TRUE,25,278,46
"GSE158722","P11_Pre-treatment",TRUE,25,3402,2114
"GSE158722","P12_Pre-treatment",TRUE,25,6011,2302
"GSE158722","P13_Pre-treatment",TRUE,25,2437,1722
"GSE158722","P14_Pre-treatment",TRUE,25,3569,2487
"GSE158722","P15_Pre-treatment",TRUE,25,2333,1758
"GSE158722","P16_Pre-treatment",TRUE,25,3608,2250
"GSE158722","P17_Pre-treatment",TRUE,25,3669,2198
"GSE158722","P18_Post-treatment",TRUE,25,1703,1023
"GSE158722","P19_Post-treatment",TRUE,11.3161702847337,1651,1501
"GSE158722","P20_Post-treatment",TRUE,8.30302017018479,1397,1028
"GSE158722","P21_Post-treatment",TRUE,25,5802,4866
"GSE158722","P23_Post-treatment",TRUE,25,3064,1920
"GSE158722","P24_Post-treatment",TRUE,21.6342537708243,2333,1837
