patient_id,source_file,percent_mt_available
"P01","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P01.counts.txt.gz",FALSE
"P02","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P02.counts.txt.gz",FALSE
"P03","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P03.counts.txt.gz",FALSE
"P04","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P04.counts.txt.gz",TRUE
"P05","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P05.counts.txt.gz",TRUE
"P06","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P06.counts.txt.gz",TRUE
"P07","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P07.counts.txt.gz",TRUE
"P08","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P08.counts.txt.gz",TRUE
"P09","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P09.counts.txt.gz",TRUE
"P10","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P10.counts.txt.gz",TRUE
"P11","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P11.counts.txt.gz",TRUE
"P12","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P12.counts.txt.gz",TRUE
"P13","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P13.counts.txt.gz",TRUE
"P14","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P14.counts.txt.gz",TRUE
"P15","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P15.counts.txt.gz",TRUE
"P16","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P16.counts.txt.gz",TRUE
"P17","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P17.counts.txt.gz",TRUE
"P18","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P18.counts.txt.gz",TRUE
"P19","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P19.counts.txt.gz",TRUE
"P20","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P20.counts.txt.gz",TRUE
"P21","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P21.counts.txt.gz",TRUE
"P23","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P23.counts.txt.gz",TRUE
"P24","D:/OC_spatiogenomics/公开集/单细胞/raw_counts/GSE158722/GSE158722_P24.counts.txt.gz",TRUE
