patient_id,timepoint,cluster,n_cells,cluster_fraction
"P01","Time1","0",0,0
"P01","Time2","0",0,0
"P02","Time1","0",0,0
"P02","Time2","0",0,0
"P02","Time3","0",0,0
"P03","Time1","0",0,0
"P03","Time2","0",0,0
"P03","Time3","0",0,0
"P04","Time1","0",0,0
"P04","Time2","0",0,0
"P04","Time3","0",0,0
"P05","Time1","0",3049,0.936425061425062
"P05","Time2","0",3534,0.936406995230525
"P05","Time3","0",3787,0.925012212994626
"P06","Time1","0",0,0
"P06","Time2","0",0,0
"P06","Time3","0",2,0.00231749710312862
"P07","Time1","0",0,0
"P07","Time2","0",0,0
"P08","Time1","0",0,0
"P08","Time2","0",0,0
"P08","Time3","0",1,0.000260824204486176
"P09","Time1","0",0,0
"P09","Time2","0",1,0.000574052812858783
"P09","Time3","0",3,0.00211565585331453
"P10","Pre-treatment","0",0,0
"P11","Pre-treatment","0",0,0
"P12","Pre-treatment","0",2,0.000332723340542339
"P13","Pre-treatment","0",0,0
"P14","Pre-treatment","0",0,0
"P15","Pre-treatment","0",1,0.00042863266180883
"P16","Pre-treatment","0",20,0.00554323725055432
"P17","Pre-treatment","0",12,0.00327064595257563
"P18","Post-treatment","0",0,0
"P19","Post-treatment","0",1,0.000605693519079346
"P20","Post-treatment","0",1,0.000715819613457409
"P21","Post-treatment","0",3,0.000517063081695967
"P23","Post-treatment","0",1,0.000326370757180157
"P24","Post-treatment","0",0,0
"P01","Time1","1",0,0
"P01","Time2","1",0,0
"P02","Time1","1",0,0
"P02","Time2","1",0,0
"P02","Time3","1",0,0
"P03","Time1","1",0,0
"P03","Time2","1",0,0
"P03","Time3","1",0,0
"P04","Time1","1",3022,0.645864500961744
"P04","Time2","1",3782,0.738671875
"P04","Time3","1",36,0.0199667221297837
"P05","Time1","1",0,0
"P05","Time2","1",2,0.000529941706412295
"P05","Time3","1",6,0.00146555935515388
"P06","Time1","1",4,0.00315706393054459
"P06","Time2","1",4,0.0233918128654971
"P06","Time3","1",6,0.00695249130938586
"P07","Time1","1",55,0.0126320624712908
"P07","Time2","1",24,0.00253646163601776
"P08","Time1","1",22,0.00449805765692088
"P08","Time2","1",3,0.00066079295154185
"P08","Time3","1",7,0.00182576943140323
"P09","Time1","1",5,0.00414593698175788
"P09","Time2","1",1,0.000574052812858783
