dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE158722","Combined_broad_lineages","B_harmony_patient","5",2175,31,"P24_Post-treatment",680,0.31264367816092,0.59216397123879,0.826029118773946,5.74808837520702,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","9",1349,24,"P04_Time3",761,0.56412157153447,0.371132903906446,0.6050068111843,2.53168922481494,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","13",46,1,"P01_Time1",46,1,0,0,1,"moderate_sample_dominance"
"GSE158722","Combined_broad_lineages","B_harmony_patient","10",325,22,"P08_Time1",71,0.218461538461538,0.685280027043063,0.890755029585799,9.15373949215703,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","4",2612,35,"P21_Post-treatment",323,0.123660030627871,0.857454555453411,0.943919746065397,17.8315883014035,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","8",1535,33,"P07_Time2",886,0.577198697068404,0.442190761733082,0.629368587465119,2.69809834293494,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","6",2121,31,"P08_Time2",602,0.283828382838284,0.68961356134258,0.868807713262739,7.62239934122575,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","0",6257,36,"P05_Time1",816,0.130413936391242,0.815525853085145,0.935999645875284,15.6249135442488,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","3",3057,33,"P15_Pre-treatment",309,0.10107948969578,0.844357153582011,0.945908022354461,18.4870297505653,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","1",4672,35,"P08_Time1",532,0.113869863013699,0.787406503504605,0.930774748135203,14.4455956903284,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","12",147,23,"P04_Time1",52,0.353741496598639,0.596424729862417,0.795224212133833,4.88338983050848,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","11",158,4,"P01_Time2",98,0.620253164556962,0.223527333270407,0.501281845858036,2.005140562249,"moderate_sample_dominance"
"GSE158722","Combined_broad_lineages","B_harmony_patient","2",3985,36,"P21_Post-treatment",405,0.101631116687578,0.859504464380427,0.947808862909688,19.1603413098586,"mixed"
"GSE158722","Combined_broad_lineages","B_harmony_patient","7",1561,34,"P07_Time2",286,0.183215887251762,0.79079683726764,0.920285088034289,12.544704313669,"mixed"
