dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE158722","Cycling_like","A_uncorrected","8",102,11,"P24_Post-treatment",59,0.57843137254902,0.420426936084019,0.636293733179546,2.74947145877378,"mixed"
"GSE158722","Cycling_like","A_uncorrected","6",178,20,"P06_Time3",49,0.275280898876405,0.645636546947996,0.857088751420275,6.99734982332156,"mixed"
"GSE158722","Cycling_like","A_uncorrected","9",85,4,"P14_Pre-treatment",82,0.964705882352941,0.0530234365356593,0.0689273356401384,1.07403002824439,"moderate_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","7",126,7,"P04_Time3",101,0.801587301587302,0.199836709382384,0.338372385991434,1.51142421934501,"strong_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","0",653,12,"P07_Time2",614,0.940275650842267,0.086538917827048,0.114359687530047,1.12912656065882,"strong_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","5",196,19,"P15_Pre-treatment",38,0.193877551020408,0.668598326720455,0.885047896709704,8.69927536231884,"mixed"
"GSE158722","Cycling_like","A_uncorrected","4",243,22,"P11_Pre-treatment",69,0.283950617283951,0.645094455022279,0.855086453623262,6.9006661213042,"mixed"
"GSE158722","Cycling_like","A_uncorrected","2",309,6,"P15_Pre-treatment",304,0.983818770226537,0.0301369671041735,0.0320482609105477,1.03310935826273,"strong_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","1",355,5,"P08_Time2",347,0.977464788732394,0.0374097417315008,0.0443880182503471,1.04644983434498,"strong_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","3",272,7,"P08_Time1",238,0.875,0.150848582529513,0.228752162629758,1.29660007010165,"strong_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","12",22,3,"P09_Time3",12,0.545454545454545,0.267708891120128,0.582644628099174,2.3960396039604,"mixed"
"GSE158722","Cycling_like","A_uncorrected","11",26,1,"P13_Pre-treatment",26,1,0,0,1,"moderate_sample_dominance"
"GSE158722","Cycling_like","A_uncorrected","10",61,1,"P18_Post-treatment",61,1,0,0,1,"moderate_sample_dominance"
