dataset_id,lineage,strategy,cluster,n_cells,n_samples,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label
"GSE158722","Epithelial_like","B_harmony_patient","9",940,26,"P07_Time2",462,0.491489361702128,0.499718432612708,0.715998189225894,3.52110431012497,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","8",1804,30,"P24_Post-treatment",556,0.30820399113082,0.62164867815411,0.840599357918594,6.27350045107912,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","0",5920,36,"P08_Time1",757,0.127871621621622,0.772789209281912,0.92582593361943,13.4818009689429,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","7",1891,31,"P08_Time2",637,0.336858804865151,0.646774727942772,0.84065828812536,6.27582061366791,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","5",2251,36,"P21_Post-treatment",332,0.14749000444247,0.809085224729787,0.932090994258734,14.7255874104535,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","2",4079,37,"P06_Time1",354,0.0867859769551361,0.841215597360092,0.945427223947531,18.3241548686942,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","3",3222,29,"P05_Time1",650,0.201738050900062,0.672843125687359,0.87432768432113,7.95720198675497,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","4",2421,35,"P21_Post-treatment",348,0.143742255266419,0.844376701094853,0.93901206246254,16.3966849901389,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","6",2022,36,"P07_Time2",470,0.2324431256182,0.759108238957247,0.898974289736734,9.89847037347292,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","1",5392,36,"P21_Post-treatment",537,0.0995919881305638,0.858001004325656,0.947474938143331,19.0385306490227,"mixed"
"GSE158722","Epithelial_like","B_harmony_patient","10",58,15,"P04_Time1",18,0.310344827586207,0.598848435699718,0.832936979785969,5.98576512455516,"mixed"
