dataset_id,lineage,strategy,cluster,n_cells,top_markers,cell_type_manual,cell_subtype_manual,confidence,notes
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__0",131,"VPREB3;FCMR;TNFRSF13B;HVCN1;BANK1;PAX5;CD19;MS4A1;CD79B;TNFRSF13C;ARHGAP24;CD22;P2RX5;RCSD1;CD79A;BCAS4;PARP15;GNG7;ZBP1;TMEM154","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__1",103,"CLEC9A;VMO1;APOBR;XCR1;CPVL;C1orf54;LGALS2;CLNK;CD93;BATF3;LYZ;CLEC7A;ANPEP;FKBP1B;SIGLEC1;CST3;CD14;C15orf48;SLC8A1;SPP1","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__2",97,"CD2;ITK;TRAT1;CD3G;CD8A;ICOS;BCL11B;GZMM;F2R;CD6;CD3D;GIMAP7;GZMH;GZMK;SH2D1A;TIGIT;GZMA;CTSW;OXNAD1;CD247","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__3",73,"S100A1;SAA1;MMP7;RARRES1;NUPR1;CRYAB;GPX3;LAPTM4B;LCN2;CLDN3;S100A13;SLC34A2;MFGE8;MDK;CDKN2A;RND3;CD151;MGAT4B;PRDX2;SLPI","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__4",69,"LAMP5;PTCRA;PACSIN1;SCN9A;MAP1A;SCT;SMPD3;GZMB;LILRA4;SCAMP5;SHD;PTGDS;LRRC26;IL3RA;PROC;SMIM3;PLD4;PFKFB2;SERPINF1;NECTIN1","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__5",43,"GABRE;TSHZ2;RNF207;ERRFI1;RNPC3;SRGAP3;NRBP2;DPY19L3;TNFAIP2;RAPGEF3;ITGB8;KAZN;ENOSF1;SLC11A2;CALD1;MUC16;MAFF;DGKH;ESR1;SRGAP1","","","",""
"GSE158722","B_Plasma_like","B_harmony_patient","B_Plasma_like__B_harmony_patient__6",34,"NEIL1;FAM43A;ZBTB16;TLE1;ICOSLG;MOB3A;ABHD17B;S1PR1;ABCA1;AKIRIN2;PRR7;GNA12;CHPT1;USP12;TMEM131L;ZEB1;MFHAS1;TMEM38B;PELI1;ZCCHC10","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__0",690,"SPP1;HLA-DRA;FTL;ISG15;ANAPC16;BAX;CD74;C4orf48;IFI27;PPDPF;LCN2;ABRACL;SMIM22;S100A11;DPY30;LAP3;IFITM3;RPL29;CLIC1;NUPR1","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__1",583,"S100A9;CDKN3;CENPW;CYB5A;EXOSC4;JPT1;NDUFB3;S100A1;CDC20;TIMM13;C12orf75;TSTD1;PQBP1;COX5A;TNNT1;METTL5;PTTG1;GTF3C6;AP1M2;PPIH","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__2",495,"PGGHG;KIFC2;DGCR8;LENG8;NHLRC3;RHPN1;NSUN6;PABPC1L;RNPC3;NRBP2;PLXNB1;HOXB3;ANKRD36;CHD7;HOOK2;ANKRD36C;RAD9A;TARBP1;WDR60;CHTF18","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__3",385,"CFAP69;DNHD1;ZNF141;SYNM;CFAP44;C5orf63;USP49;TIGD1;KCNJ14;SAP25;YJEFN3;ZNF26;ZNF726;ZNF682;DNAJA4;NEU3;RBM12B;ZNF10;KNTC1;UBE2G2","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__4",141,"EEF1G;ADIRF;LEMD1;S100A7;DPEP3;FXYD3;VGLL1;MAL;FOXQ1;S100A9;CXCL17;SOX18;HIST1H1A;SYNGR1;NEIL2;HACD4;TOMM70;PTN;CRABP1;RNASE1","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__5",117,"IL1RL1;DIRAS1;IL26;TMEM233;CXCL6;TNFAIP8L3;PRR9;IGFBP1;VTN;DAB1;FDCSP;PLA2G2A;EPGN;BMP2;PDGFRA;LINC01638;IL6;PRG4;PLAC9;GPR176","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__6",93,"FLNA;MDK;S100A1;EZR;TUBB;HSP90AB1;RPL23;STUB1;UBC;RPLP2;EEF1A1;CLDN3;PKM;HSP90AA1;RPL27A;KIF11;RPL4;CNOT2;RPLP0;RPL13A","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__7",83,"GZMK;CD2;CD84;SLA;CD247;MYO1F;GZMM;MARCO;ITM2A;ARHGAP45;FCGR3A;S1PR4;IKZF1;FYB1;SAMSN1;CD52;SRGN;CD53;CD3G;GNG2","","","",""
"GSE158722","Cycling_like","B_harmony_sample","Cycling_like__B_harmony_sample__8",41,"GNLY;KLRD1;MATK;NKG7;PYHIN1;CTSW;GZMB;KLRB1;SAMD3;RCSD1;PTPN7;IL2RB;CD3D;GZMA;PRF1;ARHGAP9;TBC1D10C;GZMH;CD2;CD3G","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__0",3253,"AOC1;LY6D;LYPD2;VSTM2L;PHACTR3;KRT17;UPK2;KRT16;MXRA8;PPP1R1C;CLIC3;ASPG;HLA-G;TMEM176A;TNNT2;ICAM4;KRT13;CDC42EP5;TMEM176B;DHRS9","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__1",3200,"SST;C12orf75;H2AFJ;MT1H;MT1G;IGFBP5;FTL;LDHB;S100A1;BRK1;IL32;MIF;RPL32;MRPL12;RPLP1;IGFBP2;BANF1;TKT;TALDO1;RPL29","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__10",1082,"HOXA9;HOXA5;AJAP1;HOXA3;HOXA4;NDUFA4L2;LCN12;NAT8L;SLC25A38;SYT8;MTMR12;GDF15;ATF5;ADRA2C;COL23A1;COL9A2;EXOC3;SLC12A7;RAI14;TRAK1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__11",1055,"B4GALNT3;MAP2;SLC6A12;DTNA;WNK1;CCDC77;COL6A1;COL16A1;APOA1;ITFG2;ZNF692;SH3BP5L;UCHL1;OSBPL1A;FLCN;KDM5A;RNF43;TTC39C;LAMA3;NPC1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__12",978,"S100A7;ADGRG2;LY6G6C;ZNF486;S100A8;S100A9;BATF;C10orf99;CRABP1;SOX18;ADIRF;GPR12;DPEP3;PIFO;FAM3B;RNASE1;MX1;GLIPR2;HEBP2;HOXD8","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__13",947,"CRLF1;SFRP1;CLDN9;ACSL4;AGR2;L1CAM;PCSK1N;SCD;NUPR2;SSR4;CADM1;SLC7A5;ITM2C;ABHD2;SIX1;BCAT1;CHPF;PYCR1;ATP6AP1;DAP","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__14",914,"CNR1;FAIM2;SLC13A2;ACHE;CST1;CREB3L1;CYP4F3;SGCD;SATB2;PLVAP;HOXD1;CD44;DMBT1;TMC5;PTPRH;CACNB1;ACPP;TSPYL2;INSR;CYP4X1","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__15",764,"SORCS1;GUCY1A2;SYNE1;PLA2R1;MLXIPL;KIF12;GRIK5;ITGA1;NPIPB15;PNCK;ZNF774;CCHCR1;KCNC3;ZMAT1;THBS1;MAPK10;VPS53;SPATA6L;HSF4;SCN1B","","","",""
"GSE158722","Epithelial_like","A_uncorrected","Epithelial_like__A_uncorrected__16",760,"AREG;SPESP1;PQLC2L;GCK;GABBR2;PTGDS;HOXD9;ID1;LDHC;FAM71E1;CCNA1;CA2;TENM1;ZFR2;ID3;MYC;TAGLN;TCF15;SYNGR3;ZNF556","","","",""
