cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"B_Plasma_like__A_uncorrected__0",6.14391745264811e-67,7.86002494932652,0.644,0.01,1.12998929789104e-62,"VPREB3"
"B_Plasma_like__A_uncorrected__0",4.45807483026274e-42,6.39833159031438,0.437,0.01,8.19929122781922e-38,"FCMR"
"B_Plasma_like__A_uncorrected__0",3.50408330635748e-20,6.03868436717923,0.215,0.005,6.44471001705267e-16,"TNFRSF13B"
"B_Plasma_like__A_uncorrected__0",1.04478677040999e-23,5.66177713369667,0.281,0.014,1.92157182813805e-19,"PAX5"
"B_Plasma_like__A_uncorrected__0",1.0258755026802e-26,5.58562448210946,0.304,0.012,1.88679022452942e-22,"HVCN1"
"B_Plasma_like__A_uncorrected__0",5.24031938579104e-54,5.1169823287615,0.615,0.039,9.63799541434689e-50,"BANK1"
"B_Plasma_like__A_uncorrected__0",3.37483711974896e-14,4.57811852139187,0.2,0.019,6.20700043064228e-10,"AFF3"
"B_Plasma_like__A_uncorrected__0",1.26314217031866e-17,4.42642997123899,0.215,0.012,2.32317107965007e-13,"CD19"
"B_Plasma_like__A_uncorrected__0",7.7488753824377e-66,4.17174732277872,0.77,0.06,1.42517316033794e-61,"MS4A1"
"B_Plasma_like__A_uncorrected__0",6.26193506436044e-42,3.65143202897725,0.57,0.055,1.15169509703717e-37,"TNFRSF13C"
"B_Plasma_like__A_uncorrected__0",4.99147477775924e-28,3.49127236675741,0.415,0.043,9.18032041125479e-24,"ARHGAP24"
"B_Plasma_like__A_uncorrected__0",8.20385903473055e-15,3.45598446201168,0.237,0.029,1.50885375366764e-10,"CD22"
"B_Plasma_like__A_uncorrected__0",1.37638604692792e-21,3.43952553614913,0.319,0.034,2.53144921750983e-17,"P2RX5"
"B_Plasma_like__A_uncorrected__0",2.7366484213122e-49,3.3884357503561,0.667,0.067,5.03324377647741e-45,"CD79B"
"B_Plasma_like__A_uncorrected__0",1.09433511039735e-24,3.33178057443768,0.437,0.075,2.0127011350428e-20,"RCSD1"
"B_Plasma_like__A_uncorrected__0",9.39338135444723e-63,3.21161125294327,0.867,0.104,1.72763069870993e-58,"CD79A"
