cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"B_Plasma_like__B_harmony_patient__0",1.43822974841883e-67,7.09964473638299,0.656,0.012,2.64519215329191e-63,"VPREB3"
"B_Plasma_like__B_harmony_patient__0",8.90330512061064e-44,6.45556309329283,0.45,0.01,1.63749587778271e-39,"FCMR"
"B_Plasma_like__B_harmony_patient__0",5.73587768307589e-21,6.09591587015767,0.221,0.005,1.05494262347132e-16,"TNFRSF13B"
"B_Plasma_like__B_harmony_patient__0",8.27398170022319e-28,5.6428559850879,0.313,0.012,1.52175071430505e-23,"HVCN1"
"B_Plasma_like__B_harmony_patient__0",7.53743767156661e-60,5.51697168992418,0.649,0.033,1.38628553655453e-55,"BANK1"
"B_Plasma_like__B_harmony_patient__0",5.35039619454599e-23,5.03547862839059,0.282,0.017,9.84044868100899e-19,"PAX5"
"B_Plasma_like__B_harmony_patient__0",6.61603258728148e-20,4.69682534423589,0.229,0.01,1.21682071345281e-15,"CD19"
"B_Plasma_like__B_harmony_patient__0",1.76879455251294e-70,4.27915189370287,0.802,0.057,3.2531669409818e-66,"MS4A1"
"B_Plasma_like__B_harmony_patient__0",1.45174533322518e-53,3.64223918389498,0.695,0.064,2.67005001686775e-49,"CD79B"
"B_Plasma_like__B_harmony_patient__0",2.84475999575132e-42,3.61661556373714,0.58,0.057,5.23208258418583e-38,"TNFRSF13C"
"B_Plasma_like__B_harmony_patient__0",2.42150639639186e-29,3.54850386973585,0.427,0.043,4.45363456424391e-25,"ARHGAP24"
"B_Plasma_like__B_harmony_patient__0",1.69067998750896e-15,3.51321596499013,0.244,0.029,3.10949863302648e-11,"CD22"
"B_Plasma_like__B_harmony_patient__0",1.40156453875476e-22,3.49675703912757,0.328,0.033,2.57775749967775e-18,"P2RX5"
"B_Plasma_like__B_harmony_patient__0",1.44517814939148e-24,3.1717569756441,0.443,0.076,2.65797165236082e-20,"RCSD1"
"B_Plasma_like__B_harmony_patient__0",1.09569456865475e-60,3.11415109551457,0.87,0.11,2.01520145066981e-56,"CD79A"
"B_Plasma_like__B_harmony_patient__0",2.01384803816689e-11,2.96734590336004,0.214,0.036,3.70386931179654e-07,"BCAS4"
"B_Plasma_like__B_harmony_patient__0",1.87835070475608e-14,2.8976794156721,0.244,0.033,3.45466261618739e-10,"PARP15"
"B_Plasma_like__B_harmony_patient__0",2.68129849858368e-11,2.86469199807768,0.244,0.053,4.9314441985951e-07,"GNG7"
"B_Plasma_like__B_harmony_patient__0",1.09571073723451e-16,2.8150729070474,0.313,0.053,2.01523118792171e-12,"ZBP1"
"B_Plasma_like__B_harmony_patient__0",3.67102151759865e-17,2.78963190185504,0.29,0.038,6.75174277516744e-13,"TMEM154"
"B_Plasma_like__B_harmony_patient__1",3.40529655309376e-39,10.4718477198224,0.359,0,6.26302142045004e-35,"CLEC9A"
"B_Plasma_like__B_harmony_patient__1",1.32993822670488e-29,10.4260656704083,0.272,0,2.44602238655561e-25,"VMO1"
"B_Plasma_like__B_harmony_patient__1",1.48451165332641e-28,9.86730156426149,0.262,0,2.73031383279794e-24,"APOBR"
"B_Plasma_like__B_harmony_patient__1",2.28492264482347e-23,9.1298150870316,0.214,0,4.20242972835933e-19,"XCR1"
"B_Plasma_like__B_harmony_patient__1",3.62926536122317e-41,8.90514479003717,0.398,0.004,6.67494485236165e-37,"CPVL"
"B_Plasma_like__B_harmony_patient__1",4.95928684732601e-40,7.79560003946871,0.388,0.004,9.121120369602e-36,"C1orf54"
"B_Plasma_like__B_harmony_patient__1",6.49468463886612e-39,7.62781607661943,0.369,0.002,1.19450239878026e-34,"LGALS2"
"B_Plasma_like__B_harmony_patient__1",3.43222750537098e-28,6.88406098997575,0.301,0.009,6.31255282787831e-24,"CLNK"
"B_Plasma_like__B_harmony_patient__1",6.23403433094212e-23,6.73342379033342,0.233,0.004,1.14656359414687e-18,"CD93"
"B_Plasma_like__B_harmony_patient__1",5.82844515924155e-27,6.19631762072578,0.282,0.007,1.0719676336877e-22,"BATF3"
"B_Plasma_like__B_harmony_patient__1",2.05789148567587e-50,6.10528403905345,0.534,0.018,3.78487402045505e-46,"LYZ"
"B_Plasma_like__B_harmony_patient__1",2.8621446125443e-47,5.96477650482767,0.466,0.007,5.26405637139149e-43,"CLEC7A"
"B_Plasma_like__B_harmony_patient__1",5.12033534715426e-24,5.95683543848777,0.233,0.002,9.41732077048611e-20,"ANPEP"
"B_Plasma_like__B_harmony_patient__1",7.89700316012726e-21,5.90947761863091,0.214,0.004,1.45241682121061e-16,"FKBP1B"
"B_Plasma_like__B_harmony_patient__1",8.24028349390577e-23,5.77348696227298,0.233,0.004,1.51555294019915e-18,"SIGLEC1"
"B_Plasma_like__B_harmony_patient__1",4.66598116242566e-57,5.50071268126963,0.893,0.208,8.58167255393327e-53,"CST3"
"B_Plasma_like__B_harmony_patient__1",7.44395058305334e-22,5.41975769536298,0.252,0.011,1.36909139123517e-17,"CD14"
"B_Plasma_like__B_harmony_patient__1",2.21635965904581e-37,5.4092414733072,0.398,0.011,4.07632868491705e-33,"C15orf48"
"B_Plasma_like__B_harmony_patient__1",1.1205402557282e-18,5.17341033764129,0.223,0.011,2.06089763833531e-14,"SLC8A1"
"B_Plasma_like__B_harmony_patient__1",8.30099763121457e-25,5.15041363804887,0.456,0.076,1.52671948433298e-20,"SPP1"
"B_Plasma_like__B_harmony_patient__2",1.72062919627976e-51,10.9352998007872,0.464,0,3.16458121779774e-47,"CD2"
"B_Plasma_like__B_harmony_patient__2",3.04287447324706e-27,9.88073593547315,0.247,0,5.59645473119599e-23,"ITK"
"B_Plasma_like__B_harmony_patient__2",3.93158672819018e-35,9.82262508851476,0.32,0,7.23097431048737e-31,"TRAT1"
"B_Plasma_like__B_harmony_patient__2",7.37069727741161e-33,9.71735079261734,0.299,0,1.35561864326154e-28,"CD3G"
"B_Plasma_like__B_harmony_patient__2",8.12840630348214e-23,9.55908085628737,0.206,0,1.49497648733643e-18,"CD8A"
"B_Plasma_like__B_harmony_patient__2",6.43617701497122e-24,9.24963008460217,0.216,0,1.18374167659351e-19,"ICOS"
"B_Plasma_like__B_harmony_patient__2",5.05535555148774e-25,8.97999214270913,0.227,0,9.29780993029625e-21,"BCL11B"
"B_Plasma_like__B_harmony_patient__2",4.40017221993388e-43,8.61306561466244,0.402,0.002,8.09279674690239e-39,"GZMM"
"B_Plasma_like__B_harmony_patient__2",6.31640716310639e-26,7.98123320796189,0.247,0.002,1.16171360543853e-21,"F2R"
"B_Plasma_like__B_harmony_patient__2",4.69586355998637e-36,7.71267276398777,0.34,0.002,8.63663225952693e-32,"CD6"
"B_Plasma_like__B_harmony_patient__2",1.10379540346185e-23,7.5658531475067,0.227,0.002,2.03010050604703e-19,"CD3D"
