cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Cycling_like__A_uncorrected__0",9.79271749850782e-75,6.43580244779417,0.201,0.01,1.80107660232556e-70,"DMBT1"
"Cycling_like__A_uncorrected__0",1.30225833479969e-105,6.04233344068211,0.28,0.015,2.39511352936359e-101,"TYROBP"
"Cycling_like__A_uncorrected__0",6.30583931218625e-82,6.01151961251917,0.21,0.008,1.15976996629729e-77,"LYZ"
"Cycling_like__A_uncorrected__0",9.80454482286052e-185,5.30546964113347,0.498,0.037,1.80325188382051e-180,"SPP1"
"Cycling_like__A_uncorrected__0",4.4819881240353e-59,5.15462652656408,0.204,0.023,8.24327255772573e-55,"CD14"
"Cycling_like__A_uncorrected__0",2.08998944448265e-75,4.35470353622782,0.312,0.057,3.84390858629249e-71,"PDLIM4"
"Cycling_like__A_uncorrected__0",8.22271848083262e-136,3.85696155427153,0.57,0.146,1.51232238299473e-131,"PDZK1IP1"
"Cycling_like__A_uncorrected__0",1.73933387372383e-89,3.54500157806182,0.412,0.095,3.19898286055287e-85,"SLC40A1"
"Cycling_like__A_uncorrected__0",3.66543946947143e-74,3.33064206930879,0.415,0.123,6.74147627225185e-70,"HLA-DPA1"
"Cycling_like__A_uncorrected__0",5.14770698228065e-62,3.29636583625649,0.312,0.071,9.46766268181057e-58,"LRRC75A"
"Cycling_like__A_uncorrected__0",8.54906647738455e-32,3.16164826410665,0.283,0.115,1.57234430652057e-27,"HLA-DPB1"
"Cycling_like__A_uncorrected__0",4.85393772518156e-41,3.02855674301529,0.354,0.151,8.92736226415392e-37,"TYMP"
"Cycling_like__A_uncorrected__0",2.69697491322161e-19,3.02585051255345,0.211,0.094,4.96027626039718e-15,"IFNGR1"
"Cycling_like__A_uncorrected__0",1.04425369279077e-35,3.02543850864484,0.236,0.069,1.92059139178079e-31,"IGFBP7"
"Cycling_like__A_uncorrected__0",1.01066906412093e-253,3.00103211360354,0.94,0.45,1.85882254273122e-249,"LY6E"
"Cycling_like__A_uncorrected__0",1.24997767322763e-43,2.98800742182986,0.26,0.071,2.29895893660026e-39,"HLA-DRB5"
"Cycling_like__A_uncorrected__0",1.33352381228349e-270,2.98291291131479,0.966,0.483,2.4526169955518e-266,"IFI27"
"Cycling_like__A_uncorrected__0",3.51274617457475e-233,2.97059467706072,0.908,0.372,6.46064276427788e-229,"ISG15"
"Cycling_like__A_uncorrected__0",3.90820508302473e-22,2.96332367612465,0.276,0.141,7.18797078869909e-18,"CTSL"
"Cycling_like__A_uncorrected__0",2.26479920187044e-32,2.95519063067363,0.23,0.072,4.16541869208012e-28,"PKP2"
"Cycling_like__A_uncorrected__1",6.66752547640215e-98,6.23645262307211,0.203,0.002,1.22629128561988e-93,"SLC9A5"
"Cycling_like__A_uncorrected__1",2.96823360553892e-178,5.22327234573152,0.428,0.014,5.45917524730719e-174,"DNHD1"
"Cycling_like__A_uncorrected__1",4.45053987039043e-103,4.64507573944971,0.265,0.011,8.18543292962208e-99,"TAS2R4"
"Cycling_like__A_uncorrected__1",1.12177352341491e-123,4.58848141176786,0.335,0.017,2.06316586426471e-119,"KLK1"
"Cycling_like__A_uncorrected__1",4.9717357026648e-80,4.57544352073124,0.214,0.01,9.14401630434109e-76,"LCAT"
"Cycling_like__A_uncorrected__1",2.91568663426488e-141,4.02401553516552,0.462,0.04,5.36253085773996e-137,"DNAJA4"
"Cycling_like__A_uncorrected__1",1.69563387773487e-73,3.80298093104252,0.282,0.031,3.11860982792998e-69,"C5orf63"
"Cycling_like__A_uncorrected__1",1.7873787053494e-171,3.79405719330695,0.575,0.055,3.28734691487862e-167,"ZNF26"
"Cycling_like__A_uncorrected__1",2.63587415488014e-68,3.74309455953744,0.256,0.026,4.84789974565555e-64,"HIST1H4H"
"Cycling_like__A_uncorrected__1",4.17348699372574e-55,3.66845524470722,0.206,0.021,7.67587727886039e-51,"SPAG17"
"Cycling_like__A_uncorrected__1",1.76445524495887e-214,3.66801119242016,0.93,0.227,3.24518608652835e-210,"UBE2G2"
"Cycling_like__A_uncorrected__1",9.52062001611594e-44,3.57023906736364,0.2,0.028,1.75103243336404e-39,"FBXO43"
"Cycling_like__A_uncorrected__1",3.0841252538003e-109,3.54814526219077,0.425,0.05,5.67232316678952e-105,"CCNE2"
"Cycling_like__A_uncorrected__1",2.50368904782873e-77,3.54612876148386,0.217,0.011,4.60478489676661e-73,"RHBDL1"
"Cycling_like__A_uncorrected__1",5.64753842545391e-157,3.5458772934268,0.504,0.04,1.03869526720948e-152,"CFAP44"
"Cycling_like__A_uncorrected__1",3.55632754398024e-99,3.52643395303822,0.327,0.026,6.54079761888845e-95,"USP49"
"Cycling_like__A_uncorrected__1",5.14731270408168e-74,3.51483873582087,0.273,0.027,9.46693752534703e-70,"PCLO"
"Cycling_like__A_uncorrected__1",9.84290885814885e-87,3.4067152588216,0.31,0.029,1.81030779719074e-82,"HSPBAP1"
"Cycling_like__A_uncorrected__1",7.71406415683963e-80,3.39723373707801,0.285,0.026,1.41877067972594e-75,"SYNM"
"Cycling_like__A_uncorrected__1",3.2275441901033e-73,3.37919226270277,0.262,0.024,5.93609927443798e-69,"ZNF10"
"Cycling_like__A_uncorrected__10",8.49184351746835e-296,9.76613490731657,0.639,0.004,1.56181985973278e-291,"RBP2"
"Cycling_like__A_uncorrected__10",7.78172848881116e-125,7.44199045489223,0.377,0.006,1.43121550366215e-120,"SERPINA5"
"Cycling_like__A_uncorrected__10",1.13737519020721e-247,6.23333436458826,0.934,0.026,2.0918604498291e-243,"LY6K"
"Cycling_like__A_uncorrected__10",1.04186205808707e-57,5.11279037718438,0.295,0.012,1.91619269723375e-53,"AKR1C3"
"Cycling_like__A_uncorrected__10",1.8757179898582e-34,5.05614996025633,0.311,0.028,3.4498205269472e-30,"CA9"
"Cycling_like__A_uncorrected__10",1.9100814735328e-67,5.02147013003112,0.492,0.034,3.51302184612153e-63,"KRT5"
"Cycling_like__A_uncorrected__10",1.87334487274451e-46,4.65063037735756,0.246,0.011,3.4454558899517e-42,"CHST2"
"Cycling_like__A_uncorrected__10",1.80586935037161e-39,4.53952260645128,0.246,0.014,3.32135490920346e-35,"GPT"
"Cycling_like__A_uncorrected__10",1.90693822143548e-46,4.33297200186238,0.377,0.029,3.50724077686413e-42,"NPR3"
"Cycling_like__A_uncorrected__10",6.09102334291731e-56,4.14112201359106,0.361,0.021,1.12026101322935e-51,"AGR3"
"Cycling_like__A_uncorrected__10",1.82051469917275e-52,4.07571590036657,0.738,0.117,3.34829063471853e-48,"S100A2"
"Cycling_like__A_uncorrected__10",2.13206160992507e-48,3.84743350910983,0.689,0.108,3.9212877129742e-44,"FOLR1"
"Cycling_like__A_uncorrected__10",5.96739067642952e-42,3.80521971749306,0.443,0.046,1.09752249320892e-37,"ITGB6"
"Cycling_like__A_uncorrected__10",1.66961596710864e-31,3.7431585017579,0.361,0.041,3.07075768670621e-27,"IGFBP5"
"Cycling_like__A_uncorrected__10",1.87494824720316e-28,3.7310867094368,0.295,0.03,3.44840481625605e-24,"SMARCAL1"
"Cycling_like__A_uncorrected__10",1.88048271196558e-33,3.65894480029235,0.328,0.032,3.45858380384709e-29,"RASIP1"
"Cycling_like__A_uncorrected__10",3.18416884750001e-49,3.65036295018706,0.869,0.189,5.85632334432202e-45,"RARRES1"
"Cycling_like__A_uncorrected__10",1.73773607029758e-57,3.48780073628177,0.656,0.075,3.19604418049131e-53,"GPNMB"
"Cycling_like__A_uncorrected__10",1.52485943448693e-32,3.31860525664139,0.459,0.065,2.80452147190837e-28,"TINAGL1"
"Cycling_like__A_uncorrected__10",5.55923751778049e-20,3.27102811975945,0.295,0.044,1.02245496427019e-15,"PTN"
"Cycling_like__A_uncorrected__11",3.61090294357162e-286,12.2252701077422,0.5,0,6.64117269381693e-282,"SLC1A2"
"Cycling_like__A_uncorrected__11",5.28157279676032e-222,10.6215335923085,0.423,0,9.71386868780158e-218,"CNR1"
"Cycling_like__A_uncorrected__11",6.75081962901848e-114,10.2029736702863,0.231,0,1.24161074616908e-109,"ADCY4"
"Cycling_like__A_uncorrected__11",8.20098883880248e-288,7.45011178791014,0.654,0.002,1.50832586723255e-283,"RIMBP2"
"Cycling_like__A_uncorrected__11",3.8550362792462e-98,7.04854783279591,0.269,0.002,7.09018272478961e-94,"SLC28A2"
