cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Cycling_like__B_harmony_sample__0",6.92403140020976e-17,1.64254118122486,0.241,0.12,1.27346785512658e-12,"SPP1"
"Cycling_like__B_harmony_sample__0",3.49728583981409e-06,1.16948702231064,0.371,0.356,0.0643220811658607,"HLA-DRA"
"Cycling_like__B_harmony_sample__0",9.09942039460572e-69,1.11653493338425,0.893,0.765,1.67356539897588e-64,"FTL"
"Cycling_like__B_harmony_sample__0",4.96928141110983e-13,1.1074638612294,0.523,0.499,9.1395023713132e-09,"ISG15"
"Cycling_like__B_harmony_sample__0",0.0436079954585179,1.08531732349253,0.171,0.245,1,"ANAPC16"
"Cycling_like__B_harmony_sample__0",0.0107224417910753,1.05339890427918,0.139,0.21,1,"BAX"
"Cycling_like__B_harmony_sample__0",0.000722408792377977,1.046443711805,0.404,0.442,1,"CD74"
"Cycling_like__B_harmony_sample__0",0.0300163756027352,1.01502104392131,0.162,0.235,1,"C4orf48"
"Cycling_like__B_harmony_sample__0",4.79589392801136e-21,1.00790994036416,0.646,0.587,8.8206081123985e-17,"IFI27"
"Cycling_like__B_harmony_sample__0",6.41246586063328e-06,0.968679244331279,0.412,0.416,0.117938072108767,"PPDPF"
"Cycling_like__B_harmony_sample__0",0.000588894541034769,0.963696432729834,0.448,0.507,1,"LCN2"
"Cycling_like__B_harmony_sample__0",0.00234777930175455,0.957571199899393,0.138,0.217,1,"ABRACL"
"Cycling_like__B_harmony_sample__0",0.0216880565510857,0.950473209820197,0.143,0.211,1,"SMIM22"
"Cycling_like__B_harmony_sample__0",2.73264113034406e-26,0.947726082331252,0.675,0.603,5.02587356692879e-22,"S100A11"
"Cycling_like__B_harmony_sample__0",7.82460767748181e-05,0.927566603221117,0.145,0.252,1,"DPY30"
"Cycling_like__B_harmony_sample__0",0.00711699002725165,0.927223904776131,0.174,0.263,1,"LAP3"
"Cycling_like__B_harmony_sample__0",4.31337137422129e-26,0.924006869132788,0.645,0.513,7.93315263146779e-22,"IFITM3"
"Cycling_like__B_harmony_sample__0",4.00877609849872e-32,0.920795941831829,0.781,0.732,7.37294100035884e-28,"RPL29"
"Cycling_like__B_harmony_sample__0",3.4223481641496e-05,0.919803308593084,0.442,0.487,0.629438274350395,"CLIC1"
"Cycling_like__B_harmony_sample__0",3.12787516351666e-05,0.912731290271446,0.164,0.282,0.575278800073984,"NUPR1"
"Cycling_like__B_harmony_sample__1",1.02970858032923e-09,1.39057942678834,0.322,0.209,1.89384002094151e-05,"S100A9"
"Cycling_like__B_harmony_sample__1",1.57138255703964e-36,1.26028930150152,0.437,0.194,2.8900867989073e-32,"CDKN3"
"Cycling_like__B_harmony_sample__1",8.62330232542532e-29,1.22115307855998,0.388,0.178,1.58599776369223e-24,"CENPW"
"Cycling_like__B_harmony_sample__1",1.14728571715561e-13,1.1528486991717,0.23,0.113,2.11008789099261e-09,"CYB5A"
"Cycling_like__B_harmony_sample__1",2.33214636948387e-13,1.10998899632871,0.232,0.117,4.28928360275474e-09,"EXOSC4"
"Cycling_like__B_harmony_sample__1",5.43273541443548e-41,1.10786133182018,0.647,0.368,9.99188697422974e-37,"JPT1"
"Cycling_like__B_harmony_sample__1",1.70756168497091e-21,1.10387045648252,0.319,0.152,3.1405474509985e-17,"NDUFB3"
"Cycling_like__B_harmony_sample__1",1.5277487555136e-22,1.09190838946385,0.338,0.156,2.80983551114062e-18,"S100A1"
"Cycling_like__B_harmony_sample__1",4.9257598828581e-26,1.08498465516177,0.432,0.222,9.05945757655262e-22,"CDC20"
"Cycling_like__B_harmony_sample__1",2.08572095951779e-21,1.07588946140269,0.321,0.152,3.83605798874512e-17,"TIMM13"
"Cycling_like__B_harmony_sample__1",7.92647135262644e-20,1.07211982431516,0.333,0.163,1.45783661117505e-15,"C12orf75"
"Cycling_like__B_harmony_sample__1",1.04703412472458e-23,1.06395159823439,0.379,0.191,1.92570516219345e-19,"TSTD1"
"Cycling_like__B_harmony_sample__1",1.72703940343363e-10,1.06240371128298,0.221,0.122,3.17637087079514e-06,"PQBP1"
