cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"Fibroblast_like__A_uncorrected__0",5.0071089235107e-81,1.78270457083511,0.674,0.275,9.20907473212088e-77,"RCAN2"
"Fibroblast_like__A_uncorrected__0",3.00938197758346e-38,1.57612036094426,0.473,0.221,5.53485533317149e-34,"CXCL14"
"Fibroblast_like__A_uncorrected__0",3.56041868444926e-16,1.45311945219299,0.203,0.079,6.54832204443907e-12,"DHRS9"
"Fibroblast_like__A_uncorrected__0",1.36690092023097e-40,1.37539359492871,0.259,0.055,2.51400417248881e-36,"HLA-DRB5"
"Fibroblast_like__A_uncorrected__0",4.78324824118184e-16,1.33612642831197,0.293,0.152,8.79735016518164e-12,"A1BG"
"Fibroblast_like__A_uncorrected__0",4.50980132346826e-31,1.32667229458667,0.52,0.297,8.29442659412283e-27,"IL32"
"Fibroblast_like__A_uncorrected__0",1.77376939344947e-29,1.30523601689433,0.503,0.283,3.26231666843227e-25,"OLFML3"
"Fibroblast_like__A_uncorrected__0",5.05619947613262e-12,1.2282665390881,0.388,0.237,9.29936207650312e-08,"APOE"
"Fibroblast_like__A_uncorrected__0",1.64016118747051e-26,1.22321273166928,0.488,0.266,3.01658445599577e-22,"IL13RA2"
"Fibroblast_like__A_uncorrected__0",4.36168204145727e-27,1.1601846657406,0.505,0.261,8.02200561064821e-23,"ALDH1A1"
"Fibroblast_like__A_uncorrected__0",7.57030457444962e-11,1.15003170258859,0.351,0.25,1.39233041733277e-06,"SMCO4"
"Fibroblast_like__A_uncorrected__0",5.56558358647668e-10,1.13269351653986,0.24,0.141,1.02362213322479e-05,"S100A3"
"Fibroblast_like__A_uncorrected__0",1.56313987756225e-44,1.13068223353555,0.777,0.51,2.8749268628125e-40,"SOD3"
"Fibroblast_like__A_uncorrected__0",9.6244726178363e-10,1.112004894069,0.225,0.128,1.77013300387245e-05,"UST"
"Fibroblast_like__A_uncorrected__0",5.18318216453211e-09,1.09760633850064,0.298,0.208,9.53290863700745e-05,"MPI"
"Fibroblast_like__A_uncorrected__0",2.0471979801316e-31,1.0595226248547,0.63,0.418,3.76520652505805e-27,"RGS3"
"Fibroblast_like__A_uncorrected__0",2.10009261271832e-06,0.989610952672162,0.218,0.147,0.0386249033331154,"SPAG4"
"Fibroblast_like__A_uncorrected__0",1.61239280480089e-43,0.978021350057556,0.899,0.617,2.96551284658981e-39,"PTGDS"
"Fibroblast_like__A_uncorrected__0",1.18597365847382e-09,0.975601749328423,0.27,0.163,2.18124275266505e-05,"OLFML2B"
"Fibroblast_like__A_uncorrected__0",1.29328874454986e-32,0.964748211734876,0.647,0.429,2.3786166589761e-28,"IDH2"
"Fibroblast_like__A_uncorrected__1",1.23075300995742e-75,2.48916983346295,0.58,0.194,2.26360093591368e-71,"CLIC3"
"Fibroblast_like__A_uncorrected__1",5.22449734126615e-45,2.40343956607861,0.254,0.046,9.60889551005669e-41,"SPRR2F"
"Fibroblast_like__A_uncorrected__1",9.36824005755512e-33,2.03485355594199,0.32,0.104,1.72300671138554e-28,"PRR9"
"Fibroblast_like__A_uncorrected__1",1.90565028733504e-24,1.96835102038568,0.304,0.119,3.5048720084666e-20,"TPPP3"
"Fibroblast_like__A_uncorrected__1",2.83688129199022e-25,1.92639245737178,0.247,0.079,5.21759207222842e-21,"GATA5"
"Fibroblast_like__A_uncorrected__1",1.91025610406946e-20,1.91851760221683,0.209,0.07,3.51334302660456e-16,"NSG1"
"Fibroblast_like__A_uncorrected__1",1.25714261507988e-105,1.90799447172329,0.88,0.426,2.31213669765492e-101,"CRIP1"
"Fibroblast_like__A_uncorrected__1",2.57243880216198e-89,1.79764309331096,0.719,0.24,4.73122944493631e-85,"PODXL"
"Fibroblast_like__A_uncorrected__1",3.79982761463316e-39,1.79430950671879,0.308,0.082,6.98864294883331e-35,"PLLP"
"Fibroblast_like__A_uncorrected__1",6.19775107757442e-86,1.77883026465135,0.737,0.279,1.13989037818749e-81,"IFIT1"
"Fibroblast_like__A_uncorrected__1",2.18334875467399e-26,1.75628884242805,0.286,0.101,4.01561502959641e-22,"TGM1"
"Fibroblast_like__A_uncorrected__1",5.2779494051261e-102,1.67646396027423,0.93,0.596,9.70720454590792e-98,"ISG15"
"Fibroblast_like__A_uncorrected__1",1.07696516178911e-48,1.65177412327038,0.315,0.065,1.98075432556254e-44,"SMPD3"
"Fibroblast_like__A_uncorrected__1",1.54596929820382e-42,1.61137721734609,0.454,0.16,2.84334673325647e-38,"CAVIN2"
"Fibroblast_like__A_uncorrected__1",3.47946648295285e-53,1.60249482919622,0.585,0.244,6.39943475544688e-49,"TMEM151A"
"Fibroblast_like__A_uncorrected__1",9.96089173191541e-75,1.58971893450333,0.868,0.576,1.83200720733388e-70,"UPK3B"
"Fibroblast_like__A_uncorrected__1",2.12571747908505e-33,1.58117848629328,0.288,0.079,3.90961958753323e-29,"LGALS2"
"Fibroblast_like__A_uncorrected__1",6.6396008349629e-46,1.57716164253603,0.485,0.176,1.22115538556638e-41,"WNT4"
"Fibroblast_like__A_uncorrected__1",2.28014152815231e-90,1.55838162512141,0.85,0.434,4.19363629857773e-86,"MX1"
"Fibroblast_like__A_uncorrected__1",4.0000371310717e-49,1.5402841076375,0.499,0.182,7.35686829146707e-45,"HERC6"
"Fibroblast_like__A_uncorrected__2",2.44720857336055e-252,5.02009624218235,0.92,0.132,4.50090600812473e-248,"SAA2"
"Fibroblast_like__A_uncorrected__2",8.7322830627051e-98,4.79650080979531,0.314,0.019,1.60604150089272e-93,"IL26"
"Fibroblast_like__A_uncorrected__2",4.84392712903576e-202,4.42595854708099,0.969,0.249,8.90895077572258e-198,"SAA1"
"Fibroblast_like__A_uncorrected__2",9.70617922795213e-117,4.23381729404624,0.355,0.018,1.78516048360496e-112,"TSLP"
"Fibroblast_like__A_uncorrected__2",2.40058026391152e-161,4.15834661007092,0.463,0.02,4.41514722138606e-157,"SAA4"
"Fibroblast_like__A_uncorrected__2",7.73127029749297e-76,4.08392085838324,0.26,0.019,1.42193523311491e-71,"PPP1R14C"
"Fibroblast_like__A_uncorrected__2",7.47045930988001e-210,3.80960963997465,0.837,0.126,1.37396687627313e-205,"FST"
"Fibroblast_like__A_uncorrected__2",1.92716237720869e-185,3.61757491342845,0.678,0.073,3.54443704416223e-181,"SERPINF1"
"Fibroblast_like__A_uncorrected__2",2.05523241122881e-147,3.45280716653573,0.629,0.087,3.77998345073202e-143,"PI3"
"Fibroblast_like__A_uncorrected__2",1.1792596919275e-76,3.30962401087904,0.281,0.024,2.16889442539305e-72,"IRX3"
"Fibroblast_like__A_uncorrected__2",1.60498208497225e-49,3.30061648695773,0.21,0.024,2.95188305068097e-45,"CCL7"
"Fibroblast_like__A_uncorrected__2",5.30030612739448e-223,3.20722458128202,0.818,0.091,9.74832302950392e-219,"CHST11"
"Fibroblast_like__A_uncorrected__2",2.27730645270274e-102,3.20718050103861,0.378,0.033,4.18842202781088e-98,"SMIM3"
"Fibroblast_like__A_uncorrected__2",3.88693366951217e-60,3.1744742875645,0.255,0.029,7.14884840496678e-56,"IL33"
"Fibroblast_like__A_uncorrected__2",4.04854911633711e-128,3.16774915039331,0.47,0.042,7.44609153476722e-124,"CTSE"
"Fibroblast_like__A_uncorrected__2",5.41120040142908e-154,2.99578805662355,0.757,0.145,9.95227977830837e-150,"STEAP4"
"Fibroblast_like__A_uncorrected__2",2.83833791156975e-139,2.92919977337238,0.799,0.188,5.22027108695909e-135,"C11orf96"
"Fibroblast_like__A_uncorrected__2",9.58650078445886e-83,2.73834770244064,0.868,0.392,1.76314922427767e-78,"MT1G"
"Fibroblast_like__A_uncorrected__2",4.66223534602763e-160,2.73177960427214,0.934,0.347,8.57478324841402e-156,"IL6"
"Fibroblast_like__A_uncorrected__2",3.99265390391718e-147,2.71408724653411,0.998,0.919,7.34328906008449e-143,"SLPI"
"Fibroblast_like__A_uncorrected__3",2.92511299365878e-09,2.03426262856177,0.232,0.125,5.37986781793722e-05,"MMP24"
"Fibroblast_like__A_uncorrected__3",1.41520579121878e-06,1.72682079637363,0.226,0.137,0.0260284649120958,"SLC34A2"
"Fibroblast_like__A_uncorrected__3",0.000447146901168352,1.58507913261287,0.229,0.168,1,"CILP"
