cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"T_NK_like__A_uncorrected__0",2.18252432621155e-125,4.78738371519622,0.354,0.016,4.01409874076829e-121,"POU3F1"
"T_NK_like__A_uncorrected__0",1.89308836164307e-50,3.23580449762731,0.222,0.031,3.48176811473393e-46,"PARD6G"
"T_NK_like__A_uncorrected__0",1.33035055757191e-55,3.07625317837821,0.228,0.028,2.44678074548626e-51,"ST8SIA1"
"T_NK_like__A_uncorrected__0",9.74286900736821e-90,2.53796273737864,0.514,0.128,1.79190846783516e-85,"FAM160B1"
"T_NK_like__A_uncorrected__0",1.37478689890911e-44,2.48925561743685,0.267,0.059,2.52850806447363e-40,"PELO"
"T_NK_like__A_uncorrected__0",5.62222317103913e-127,2.47267174195776,0.71,0.196,1.03403928561752e-122,"HLA-DRB1"
"T_NK_like__A_uncorrected__0",7.39255110282965e-59,2.38687443601282,0.247,0.031,1.35963799883243e-54,"IFNG"
"T_NK_like__A_uncorrected__0",1.04589147478068e-78,2.36287487600473,0.565,0.181,1.92360360041663e-74,"PMAIP1"
"T_NK_like__A_uncorrected__0",1.77373574051709e-38,2.36073225968381,0.217,0.043,3.26225477395904e-34,"HLA-DQA2"
"T_NK_like__A_uncorrected__0",1.35123308021405e-87,2.24956201383475,0.478,0.096,2.48518788112967e-83,"CD8B"
"T_NK_like__A_uncorrected__0",1.6314189495477e-69,2.212195019446,0.475,0.137,3.00050573200814e-65,"HAUS3"
"T_NK_like__A_uncorrected__0",2.63217581341389e-83,2.11452332715041,0.578,0.173,4.84109775603083e-79,"CXCR3"
"T_NK_like__A_uncorrected__0",4.25132945598707e-78,2.08704342080826,0.548,0.163,7.81904513545143e-74,"DUSP4"
"T_NK_like__A_uncorrected__0",3.53066825850978e-43,2.07604959277612,0.318,0.089,6.49360506105118e-39,"PDE4DIP"
"T_NK_like__A_uncorrected__0",2.60850776616251e-68,2.06739508646489,0.54,0.182,4.7975674835261e-64,"HLA-DRA"
"T_NK_like__A_uncorrected__0",1.75543713276571e-93,2.06215280323615,0.663,0.23,3.22859997458269e-89,"FAM102A"
"T_NK_like__A_uncorrected__0",1.11509080900995e-49,1.98850333774109,0.362,0.096,2.0508750159311e-45,"F2R"
