cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
"T_NK_like__B_harmony_patient__0",1.59082711848374e-124,4.71478842508987,0.354,0.017,2.92584923631529e-120,"POU3F1"
"T_NK_like__B_harmony_patient__0",1.30356864183106e-49,3.14291276187043,0.222,0.032,2.39752344605569e-45,"PARD6G"
"T_NK_like__B_harmony_patient__0",4.1914783945849e-56,3.08676724827843,0.229,0.028,7.70896706332054e-52,"ST8SIA1"
"T_NK_like__B_harmony_patient__0",2.88908389682131e-87,2.49369821412473,0.511,0.13,5.31360310303375e-83,"FAM160B1"
"T_NK_like__B_harmony_patient__0",5.07648237919205e-45,2.46975758527781,0.269,0.059,9.33666639181002e-41,"PELO"
"T_NK_like__B_harmony_patient__0",1.00777772595377e-124,2.45599110779212,0.708,0.197,1.85350479357417e-120,"HLA-DRB1"
"T_NK_like__B_harmony_patient__0",1.31881183913085e-60,2.40780989706366,0.25,0.031,2.42555873452945e-56,"IFNG"
"T_NK_like__B_harmony_patient__0",2.75651742841256e-81,2.38041822473276,0.572,0.179,5.06978685433638e-77,"PMAIP1"
"T_NK_like__B_harmony_patient__0",7.46033944589638e-38,2.34432444800978,0.216,0.043,1.37210563088926e-33,"HLA-DQA2"
"T_NK_like__B_harmony_patient__0",9.16653258203556e-90,2.27898561899854,0.483,0.096,1.68590867248798e-85,"CD8B"
"T_NK_like__B_harmony_patient__0",1.50556873338283e-68,2.20379033785951,0.473,0.138,2.76904201443769e-64,"HAUS3"
"T_NK_like__B_harmony_patient__0",1.51711554487061e-82,2.11341179662832,0.578,0.173,2.79027891012602e-78,"CXCR3"
"T_NK_like__B_harmony_patient__0",6.35147880773769e-95,2.07761202813643,0.667,0.23,1.16816398231912e-90,"FAM102A"
"T_NK_like__B_harmony_patient__0",1.02413287254288e-77,2.07146679968304,0.549,0.163,1.88358517918086e-73,"DUSP4"
"T_NK_like__B_harmony_patient__0",5.30287891728753e-42,2.0569338977299,0.316,0.09,9.75305490467523e-38,"PDE4DIP"
"T_NK_like__B_harmony_patient__0",4.18665797691213e-66,2.05640780132203,0.536,0.184,7.70010135113678e-62,"HLA-DRA"
"T_NK_like__B_harmony_patient__0",2.77719885846404e-50,1.99901740764131,0.364,0.096,5.10782414048707e-46,"F2R"
"T_NK_like__B_harmony_patient__0",8.20782608569304e-27,1.99783752445843,0.206,0.057,1.50958337368066e-22,"TRIM59"
"T_NK_like__B_harmony_patient__0",1.09159423234668e-63,1.98429697706687,0.502,0.16,2.00766011213201e-59,"ITM2C"
"T_NK_like__B_harmony_patient__0",5.1643571735677e-39,1.88387092907713,0.352,0.119,9.49828571362571e-35,"SAP30"
"T_NK_like__B_harmony_patient__1",3.99226838354146e-209,3.47568663391146,0.71,0.079,7.34258001100945e-205,"KLRC1"
"T_NK_like__B_harmony_patient__1",1.82707777780558e-55,3.33640685176856,0.223,0.025,3.36036144894003e-51,"CD160"
"T_NK_like__B_harmony_patient__1",2.40736576075391e-97,3.32860911621584,0.369,0.04,4.42762710717859e-93,"STARD3NL"
"T_NK_like__B_harmony_patient__1",4.18181589019696e-188,3.3197218743739,0.643,0.063,7.69119578525026e-184,"XCL1"
"T_NK_like__B_harmony_patient__1",1.03005985358618e-253,3.3189741649658,0.907,0.16,1.89448608271571e-249,"IL2RB"
"T_NK_like__B_harmony_patient__1",1.19629154467739e-69,3.28919001976967,0.227,0.015,2.20021940897065e-65,"ADGRG3"
"T_NK_like__B_harmony_patient__1",9.02539429886767e-76,3.27785554746669,0.258,0.02,1.65995051944774e-71,"ITGAX"
"T_NK_like__B_harmony_patient__1",2.80768665987028e-68,3.27245436783169,0.241,0.021,5.16389730483343e-64,"ATP8B4"
"T_NK_like__B_harmony_patient__1",3.60337815231835e-109,3.26552682739053,0.375,0.031,6.62733309774391e-105,"LAT2"
"T_NK_like__B_harmony_patient__1",1.42274302687977e-262,3.26155129268084,0.86,0.095,2.61670897503727e-258,"FCER1G"
"T_NK_like__B_harmony_patient__1",7.95227880859764e-79,3.11648619112786,0.304,0.033,1.46258311847728e-74,"NDFIP2"
"T_NK_like__B_harmony_patient__1",7.01534505791935e-179,3.06536442977328,0.682,0.091,1.29026226305253e-174,"CD38"
"T_NK_like__B_harmony_patient__1",9.17780214817927e-196,2.97794732268862,0.746,0.109,1.68798137109313e-191,"XCL2"
"T_NK_like__B_harmony_patient__1",8.62269320828328e-60,2.90071648591742,0.219,0.02,1.58588573486746e-55,"RNF165"
"T_NK_like__B_harmony_patient__1",7.0625581533883e-95,2.87673840456624,0.349,0.033,1.29894569557118e-90,"NCAM1"
"T_NK_like__B_harmony_patient__1",1.45381353882091e-52,2.80233725837388,0.201,0.02,2.67385386059942e-48,"FGR"
"T_NK_like__B_harmony_patient__1",8.05479696812895e-246,2.79291171612369,0.955,0.187,1.48143825837828e-241,"TYROBP"
